model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Random Forest,random_forest,0,179372,179372.0,1e-12,9.392560552894743e-08,6.330451236206324e-08,0.0,0.011355056991408007,0.0,
Random Forest,random_forest,1,179372,179372.0,9.392560552894743e-08,1.7762823873236927e-07,1.239345313735368e-07,0.0,0.022230384761534043,0.0,
Random Forest,random_forest,2,179372,179372.0,1.7763010213619282e-07,3.4659281105965215e-07,2.719632681973436e-07,0.0,0.04878259534309391,0.0,
Random Forest,random_forest,3,179372,179372.0,3.4659314159635735e-07,5.576710452687315e-07,4.40854307732487e-07,5.575006132506746e-06,0.07907691888659166,1.0,0.07907691888659166
Random Forest,random_forest,4,179373,179373.0,5.576710452687315e-07,8.723377455014012e-07,7.034678465925226e-07,0.0,0.12618313804684056,0.0,
Random Forest,random_forest,5,179372,179372.0,8.7233899339036e-07,1.3325886593164528e-06,1.0885409161741477e-06,0.0,0.1952537612159892,0.0,
Random Forest,random_forest,6,179372,179372.0,1.3325886593164528e-06,2.027558094758988e-06,1.657436004111174e-06,0.0,0.2972976109294295,0.0,
Random Forest,random_forest,7,179372,179372.0,2.027560995200301e-06,3.1119394078814294e-06,2.5261792671701934e-06,0.0,0.45312582751085195,0.0,
Random Forest,random_forest,8,179372,179372.0,3.111946827308904e-06,4.647988949588769e-06,3.8499881622399895e-06,0.0,0.6905800766373114,0.0,
Random Forest,random_forest,9,179373,179373.0,4.648013329211654e-06,6.742711139628391e-06,5.621637033810018e-06,5.574975051986642e-06,1.0083698996656043,1.0,1.0083698996656043
Random Forest,random_forest,10,179372,179372.0,6.742728822996045e-06,9.631140684122746e-06,8.125023301597281e-06,0.0,1.4574016796541074,0.0,
Random Forest,random_forest,11,179372,179372.0,9.63115446145717e-06,1.3329645088933789e-05,1.1397420517266378e-05,1.1150012265013491e-05,2.0443781130231047,2.0,1.0221890565115523
Random Forest,random_forest,12,179372,179372.0,1.3329662567904986e-05,1.8150639597587882e-05,1.5674050827108272e-05,6.132506745757421e-05,2.811485844960065,11.0,0.2555896222690968
Random Forest,random_forest,13,179372,179372.0,1.8150643924959558e-05,2.3546115661599653e-05,2.0768857316632286e-05,0.00020627522690274959,3.725351474598966,37.0,0.10068517498916126
Random Forest,random_forest,14,179373,179373.0,2.354613250270344e-05,3.0621812516587077e-05,2.6882409356652587e-05,0.00012264945114370614,4.821978413530845,22.0,0.21918083697867477
Random Forest,random_forest,15,179372,179372.0,3.0622086289765825e-05,4.060214478106101e-05,3.530988159909691e-05,0.0001338001471801619,6.333604082193212,24.0,0.26390017009138383
Random Forest,random_forest,16,179372,179372.0,4.0602244000286645e-05,5.5014323400941124e-05,4.727867158677474e-05,0.00034565038021541826,8.480469879862959,62.0,0.13678177225585417
Random Forest,random_forest,17,179372,179372.0,5.5014454558249696e-05,7.999939442990035e-05,6.612500042163005e-05,0.000351225386347925,11.860973575628625,63.0,0.188269421835375
Random Forest,random_forest,18,179372,179372.0,7.999964355588594e-05,0.00013836400221283121,0.00010388165601177882,0.00041255045380549917,18.63346040214479,74.0,0.2518035189479026
Random Forest,random_forest,19,179373,179373.0,0.00013836471137031243,0.0009443937099014939,0.00025614466571199414,0.00033449850311919856,45.945437122757525,60.0,0.7657572853792921
