Model,model,model_name,model_type,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,PR-AUC,average_precision,ROC-AUC,roc_auc,weighted_brier_score,Brier,weighted_logloss,reliability_ece,reliability_mce,reliability_rmse,daily_expected_observed_count_mae,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,calibration_intercept,calibration_slope,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,weighted_brier_score_error,weighted_logloss_error,expected_observed_count_ratio_error,mean_calibrated_predicted_probability_error
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Global,global,Global,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,3.0396793889560883e-05,0.0003435997360521789,0.0003435997360521789,0.8453711122397523,0.8453711122397523,9.950065437292292e-05,9.950065437292292e-05,0.0009924788441299697,7.098734375483372e-05,0.00030866879779372036,0.00012790813655664168,9.061652140852848,0.0010095911155981827,0.0005081874647092038,0.07563025210084033,0.00027375764142785014,53130.0,-0.06952382460607728,0.8725664618163254,109.04679585834285,357.0,0.3054532096872349,0.0,0.00012180634463834855,0.008185579550189313,0.00041873707969658426,1.6413202011048324e-09,8.1916241284969e-06,0.00393179003393973,3.9317900339397235e-07
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Eastern Siberia,eastern_siberia,Eastern Siberia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,2698426,2698426.0,243.0,9.00524972706311e-05,3.5424755750975274e-05,0.0002690766818170114,0.0002690766818170114,0.817717070470724,0.817717070470724,9.00415222353322e-05,9.00415222353322e-05,0.0009064246525850507,6.250071572346257e-05,0.00029207775237705884,0.0001069951809320899,5.9992625005639635,0.001011804384485666,0.0005082161612739285,0.1111111111111111,0.00027375764142785014,53127.0,-0.071862901192721,0.8767033482336877,95.59108196208221,243.0,0.3933789381155647,0.0,0.00038360842457535964,0.05915539778603318,0.0008915225104457954,9.108220053795403e-09,4.84639022758082e-05,0.0060863707428487875,6.086370742848792e-07
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Far East,far_east,Far East,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,147467,147467.0,29.0,0.00019665416669492158,1.3476209467052045e-05,0.05137787165343791,0.05137787165343791,0.9025781029641448,0.9025781029641448,0.00019661206064290466,0.00019661206064290466,0.001939682481798205,0.00019274748022040956,0.0018345899428486524,0.00047526191190103774,0.9841897611083145,0.23684210526315788,0.19148936170212766,0.3103448275862069,0.0002742615489048856,47.0,-0.05709462975946527,0.7591466859294365,1.9872961814777639,29.0,0.06852745453371599,0.0,0.1181305804567431,0.035203280689698274,0.08081220356417686,1.938041962446302e-09,2.4478322401115416e-05,0.00013081188949119076,2.6162377898237674e-08
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Central Asia,central_asia,Central Asia,test,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,144708,144708.0,15.0,0.00010365701965337093,3.0317658122514925e-05,0.0007997393845789431,0.0007997393845789431,0.8566408418744054,0.8566408418744054,0.00010363920822466536,0.00010363920822466536,0.0010139959364120388,9.042916562113834e-05,0.0008231345271377163,0.00020091244951251088,0.5303418211469576,0.003127443315089914,0.0015822784810126582,0.13333333333333333,0.00016882942941351127,1264.0,-0.0768537566422367,0.8786444370178857,4.38720767159289,15.0,0.29248051143952597,0.0,0.00024310011208691543,0.010713739108887075,0.001333409516713578,7.278324626369727e-12,4.534096951558133e-06,0.000862888424853176,8.628884248531714e-08
