experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,status,feature_count,threshold,threshold_source,validation_f1_at_threshold,model_path,prediction_paths,notes,primary_full_grid_metrics,sample_weight
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,completed,268,1.0,validation_f1_max,0.4422589801937625,results/full_grid_improvements_bounded/models/logistic_regression_full.joblib,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/logistic_regression_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/logistic_regression_full_test_predictions.parquet')}",Linear logistic model trained with SGDClassifier and train-only ordinal categorical encoding to keep the full feature table tractable.,"{'Model': 'Logistic Regression (linear SGD)', 'model': 'Logistic Regression (linear SGD)', 'model_name': 'Logistic Regression (linear SGD)', 'model_type': 'linear_sgd', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 0.27637329591793514, 'PR-AUC': 0.00035511645027246986, 'average_precision': 0.00035511645027246986, 'ROC-AUC': 0.8545967843562654, 'roc_auc': 0.8545967843562654, 'weighted_brier_score': 0.2759086088930572, 'Brier': 0.2759086088930572, 'weighted_logloss': 7.493276839325877, 'reliability_ece': 0.2762776846693167, 'reliability_mce': 0.9997435497169046, 'reliability_rmse': 0.5135355534893908, 'daily_expected_observed_count_mae': 31971.50716777486, 'max_f1': 0.0007204822204256709, 'precision_at_max_f1': 0.00036037583847619686, 'recall_at_max_f1': 0.9635854341736695, 'threshold_at_max_f1': 0.999999999999, 'predicted_positive_grid_cells_at_max_f1': 954559.0, 'calibration_intercept': -10.142005537495777, 'calibration_slope': 0.07999558846541394, 'expected_fire_positive_grid_cells': 991473.7222026259, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 2777.2373170941905, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00016086795451388439, 'roc_auc_error': 0.17966728332353948, 'max_f1_error': 0.00026082007079839323, 'weighted_brier_score_error': 0.0007963191244696212, 'weighted_logloss_error': 0.024279277124463972, 'expected_observed_count_ratio_error': 9.164212180958323, 'mean_calibrated_predicted_probability_error': 0.0009164212180981691}",
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,completed,268,0.3036547601222992,validation_f1_max,0.4746069449153164,results/full_grid_improvements_bounded/models/poisson_point_process_full.joblib,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/poisson_point_process_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/poisson_point_process_full_test_predictions.parquet')}",Poisson GLM estimates cell-day event intensity and converts it to ignition probability as 1-exp(-lambda); equal exposure is assumed for sampled grid-cell days.,"{'Model': 'Poisson Point-Process GLM', 'model': 'Poisson Point-Process GLM', 'model_name': 'Poisson Point-Process GLM', 'model_type': 'poisson_glm', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 2.0951767498399215e-05, 'PR-AUC': 9.951374850729378e-05, 'average_precision': 9.951374850729378e-05, 'ROC-AUC': 0.24347945840176166, 'roc_auc': 0.24347945840176166, 'weighted_brier_score': 9.951473539709684e-05, 'Brier': 9.951473539709684e-05, 'weighted_logloss': 0.002770618747770311, 'reliability_ece': 0.00012046551559934106, 'reliability_mce': 0.0004460004896005397, 'reliability_rmse': 0.0001737464600513825, 'daily_expected_observed_count_mae': 9.739220319772548, 'max_f1': 0.00019900769301307402, 'precision_at_max_f1': 9.951374850729378e-05, 'recall_at_max_f1': 1.0, 'threshold_at_max_f1': 1e-12, 'predicted_positive_grid_cells_at_max_f1': 3587444.0, 'calibration_intercept': -12.61459085343173, 'calibration_slope': -0.1477441728903593, 'expected_fire_positive_grid_cells': 75.1632943280396, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.21054144069478878, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.0, 'roc_auc_error': 0.002033135309442271, 'max_f1_error': 0.0, 'weighted_brier_score_error': 9.252759390782187e-12, 'weighted_logloss_error': 1.9148208542235436e-07, 'expected_observed_count_ratio_error': 0.0019147745889670205, 'mean_calibrated_predicted_probability_error': 1.9147746313542635e-07}",
catboost_full,main_model_comparison,legacy_sampled_case_control,False,CatBoost,all features,completed,268,0.4920829446562272,validation_f1_max,0.509106199573785,results/full_grid_improvements_bounded/models/catboost_full.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_test_predictions.parquet')}",,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9093786403803264e-05, 'PR-AUC': 0.0001945614138752741, 'average_precision': 0.0001945614138752741, 'ROC-AUC': 0.7435688835844695, 'roc_auc': 0.7435688835844695, 'weighted_brier_score': 9.95082543755694e-05, 'Brier': 9.95082543755694e-05, 'weighted_logloss': 0.0010625584520153482, 'reliability_ece': 8.376724029142074e-05, 'reliability_mce': 0.00033159034250084397, 'reliability_rmse': 0.0001267247764992453, 'daily_expected_observed_count_mae': 9.887186291132465, 'max_f1': 0.002033898305084746, 'precision_at_max_f1': 0.0011569610489780178, 'recall_at_max_f1': 0.008403361344537815, 'threshold_at_max_f1': 0.00010221713109309058, 'predicted_positive_grid_cells_at_max_f1': 2593.0, 'calibration_intercept': -0.07281444280394134, 'calibration_slope': 0.8387473736656303, 'expected_fire_positive_grid_cells': 68.4978894716056, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19187083885603812, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00017317502526348528, 'roc_auc_error': 0.13349743236172668, 'max_f1_error': 0.00034743885925663854, 'weighted_brier_score_error': 2.1245961151556465e-09, 'weighted_logloss_error': 3.880866945654718e-05, 'expected_observed_count_ratio_error': 0.00017965211409397147, 'mean_calibrated_predicted_probability_error': 1.7965211409398287e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
catboost_deployment_weighted,main_model_comparison,legacy_sampled_case_control,False,CatBoost deployment-weighted,all features,completed,268,0.4627082306595781,validation_f1_max,0.3819641792428177,results/full_grid_improvements_bounded/models/catboost_deployment_weighted.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_deployment_weighted_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_deployment_weighted_test_predictions.parquet')}",,"{'Model': 'CatBoost deployment-weighted', 'model': 'CatBoost deployment-weighted', 'model_name': 'CatBoost deployment-weighted', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9508513894127813e-05, 'PR-AUC': 0.00010208569964293617, 'average_precision': 0.00010208569964293617, 'ROC-AUC': 0.46635204592041896, 'roc_auc': 0.46635204592041896, 'weighted_brier_score': 9.951025018997562e-05, 'Brier': 9.951025018997562e-05, 'weighted_logloss': 0.0010987987582672689, 'reliability_ece': 8.558497872002316e-05, 'reliability_mce': 0.0003374370087513753, 'reliability_rmse': 0.00012489489035036422, 'daily_expected_observed_count_mae': 9.82668884879336, 'max_f1': 0.0003061207669973556, 'precision_at_max_f1': 0.0001531891626916043, 'recall_at_max_f1': 0.18207282913165265, 'threshold_at_max_f1': 1.957214337597572e-05, 'predicted_positive_grid_cells_at_max_f1': 424312.0, 'calibration_intercept': -0.07777372691688993, 'calibration_slope': 0.8433804808550662, 'expected_fire_positive_grid_cells': 69.98570111840546, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19603837848292846, 'observed_prevalence_error': 0.0, 'average_precision_error': 3.110351943603285e-05, 'roc_auc_error': 0.11520805429548296, 'max_f1_error': 3.0886370994562384e-05, 'weighted_brier_score_error': 1.7545919209751078e-12, 'weighted_logloss_error': 4.495898039706319e-08, 'expected_observed_count_ratio_error': 1.8322231897707655e-07, 'mean_calibrated_predicted_probability_error': 1.8322231898018147e-11}","{'sample_weight_column': 'sample_weight', 'used_sample_weight': True, 'sample_weight_power': 0.5, 'sample_weight_cap_quantile': 0.99, 'sample_weight_cap_value_after_power': 370.9184546500753, 'sample_weight_min_normalized': 0.011347368392277547, 'sample_weight_mean_normalized': 1.0000000000000002, 'sample_weight_max_normalized': 4.208948348408697, 'positive_weight_mean_normalized': 0.011347368392277546, 'negative_weight_mean_normalized': 1.166617311552205}"
catboost_weather_only,main_model_comparison,legacy_sampled_case_control,False,Weather-only CatBoost,meteorology/history features only,completed,162,0.4820661726878472,validation_f1_max,0.4082500104585721,results/full_grid_improvements_bounded/models/catboost_weather_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_weather_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_weather_only_test_predictions.parquet')}",,"{'Model': 'Weather-only CatBoost', 'model': 'Weather-only CatBoost', 'model_name': 'Weather-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'meteorology/history features only', 'feature_set': 'meteorology/history features only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.924982485399986e-05, 'PR-AUC': 0.00016310016596110912, 'average_precision': 0.00016310016596110912, 'ROC-AUC': 0.6611154924637753, 'roc_auc': 0.6611154924637753, 'weighted_brier_score': 9.951014733547307e-05, 'Brier': 9.951014733547307e-05, 'weighted_logloss': 0.001096223766340515, 'reliability_ece': 8.939366715555468e-05, 'reliability_mce': 0.0003530320537516582, 'reliability_rmse': 0.000126890329852008, 'daily_expected_observed_count_mae': 9.849075356915664, 'max_f1': 0.0004200703617855991, 'precision_at_max_f1': 0.0002101477338569014, 'recall_at_max_f1': 0.39215686274509803, 'threshold_at_max_f1': 2.0518330933875012e-05, 'predicted_positive_grid_cells_at_max_f1': 666198.0, 'calibration_intercept': -0.07743790093489207, 'calibration_slope': 0.8426924051308855, 'expected_fire_positive_grid_cells': 69.05766867353267, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.1934388478250215, 'observed_prevalence_error': 0.0, 'average_precision_error': 6.952424584812258e-06, 'roc_auc_error': 0.008574527174604347, 'max_f1_error': 3.6484259832747676e-05, 'weighted_brier_score_error': 7.42394561329512e-12, 'weighted_logloss_error': 2.065647108507711e-07, 'expected_observed_count_ratio_error': 0.00012320392612304948, 'mean_calibrated_predicted_probability_error': 1.2320392612306358e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
catboost_fwi_only,main_model_comparison,legacy_sampled_case_control,False,FWI-only CatBoost,fire-weather variables only,completed,40,0.4773367906247884,validation_f1_max,0.3996330908175126,results/full_grid_improvements_bounded/models/catboost_fwi_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_fwi_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_fwi_only_test_predictions.parquet')}",,"{'Model': 'FWI-only CatBoost', 'model': 'FWI-only CatBoost', 'model_name': 'FWI-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'fire-weather variables only', 'feature_set': 'fire-weather variables only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9512499707312478e-05, 'PR-AUC': 0.00030755757933704635, 'average_precision': 0.00030755757933704635, 'ROC-AUC': 0.7530456614297363, 'roc_auc': 0.7530456614297363, 'weighted_brier_score': 9.950959583902119e-05, 'Brier': 9.950959583902119e-05, 'weighted_logloss': 0.0010832058087790373, 'reliability_ece': 9.419460460953269e-05, 'reliability_mce': 0.00034296092831373156, 'reliability_rmse': 0.00014448774346921471, 'daily_expected_observed_count_mae': 9.826222684703435, 'max_f1': 0.0026586905948820204, 'precision_at_max_f1': 0.0013493569470799072, 'recall_at_max_f1': 0.0896358543417367, 'threshold_at_max_f1': 2.5104544365738588e-05, 'predicted_positive_grid_cells_at_max_f1': 23715.0, 'calibration_intercept': -0.07703592601848389, 'calibration_slope': 0.844417765050608, 'expected_fire_positive_grid_cells': 69.9999999999999, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19607843137254874, 'observed_prevalence_error': 0.0, 'average_precision_error': 7.3764387135965885e-06, 'roc_auc_error': 0.03719753644405682, 'max_f1_error': 5.46919968157971e-05, 'weighted_brier_score_error': 9.493838041381923e-12, 'weighted_logloss_error': 2.2605854734350153e-07, 'expected_observed_count_ratio_error': 0.00032585426464644954, 'mean_calibrated_predicted_probability_error': 3.2585426464646376e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
random_forest_full,main_model_comparison,legacy_sampled_case_control,False,Random Forest,full features,completed,268,0.3723723590373993,validation_f1_max,0.5049757792750135,results/full_grid_improvements_bounded/models/random_forest_full.joblib,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/random_forest_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/random_forest_full_test_predictions.parquet')}",Training capped to stratified 30000 rows for feasibility.,"{'Model': 'Random Forest', 'model': 'Random Forest', 'model_name': 'Random Forest', 'model_type': 'random_forest', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9604140707318095e-05, 'PR-AUC': 0.0004952894451177958, 'average_precision': 0.0004952894451177958, 'ROC-AUC': 0.8186534231873184, 'roc_auc': 0.8186534231873184, 'weighted_brier_score': 9.950593874931323e-05, 'Brier': 9.950593874931323e-05, 'weighted_logloss': 0.001035819880059201, 'reliability_ece': 8.268308440560143e-05, 'reliability_mce': 0.000328301082667526, 'reliability_rmse': 0.00013440022485530247, 'daily_expected_observed_count_mae': 9.775962841515842, 'max_f1': 0.006756756756756757, 'precision_at_max_f1': 0.00851063829787234, 'recall_at_max_f1': 0.0056022408963585435, 'threshold_at_max_f1': 0.00022924369610302002, 'predicted_positive_grid_cells_at_max_f1': 235.0, 'calibration_intercept': -0.06949990396349613, 'calibration_slope': 0.8387300107212204, 'expected_fire_positive_grid_cells': 70.32875697176418, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19699931924863914, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00027557120528493435, 'roc_auc_error': 0.018545729909608146, 'max_f1_error': 0.0006475336824052634, 'weighted_brier_score_error': 1.7285932188473166e-09, 'weighted_logloss_error': 1.4262399145067923e-05, 'expected_observed_count_ratio_error': 0.0016196095063553606, 'mean_calibrated_predicted_probability_error': 1.6196095042341272e-07}",
ablation_full,feature_ablation,legacy_sampled_case_control,False,CatBoost,all features,completed,268,0.4920829446562272,validation_f1_max,0.509106199573785,results/full_grid_improvements_bounded/models/catboost_full.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_test_predictions.parquet')}",,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9093786403803264e-05, 'PR-AUC': 0.0001945614138752741, 'average_precision': 0.0001945614138752741, 'ROC-AUC': 0.7435688835844695, 'roc_auc': 0.7435688835844695, 'weighted_brier_score': 9.95082543755694e-05, 'Brier': 9.95082543755694e-05, 'weighted_logloss': 0.0010625584520153482, 'reliability_ece': 8.376724029142074e-05, 'reliability_mce': 0.00033159034250084397, 'reliability_rmse': 0.0001267247764992453, 'daily_expected_observed_count_mae': 9.887186291132465, 'max_f1': 0.002033898305084746, 'precision_at_max_f1': 0.0011569610489780178, 'recall_at_max_f1': 0.008403361344537815, 'threshold_at_max_f1': 0.00010221713109309058, 'predicted_positive_grid_cells_at_max_f1': 2593.0, 'calibration_intercept': -0.07281444280394134, 'calibration_slope': 0.8387473736656303, 'expected_fire_positive_grid_cells': 68.4978894716056, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19187083885603812, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00017317502526348528, 'roc_auc_error': 0.13349743236172668, 'max_f1_error': 0.00034743885925663854, 'weighted_brier_score_error': 2.1245961151556465e-09, 'weighted_logloss_error': 3.880866945654718e-05, 'expected_observed_count_ratio_error': 0.00017965211409397147, 'mean_calibrated_predicted_probability_error': 1.7965211409398287e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_weather_only,feature_ablation,legacy_sampled_case_control,False,Weather-only CatBoost,meteorology/history features only,completed,162,0.4820661726878472,validation_f1_max,0.4082500104585721,results/full_grid_improvements_bounded/models/catboost_weather_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_weather_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_weather_only_test_predictions.parquet')}",,"{'Model': 'Weather-only CatBoost', 'model': 'Weather-only CatBoost', 'model_name': 'Weather-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'meteorology/history features only', 'feature_set': 'meteorology/history features only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.924982485399986e-05, 'PR-AUC': 0.00016310016596110912, 'average_precision': 0.00016310016596110912, 'ROC-AUC': 0.6611154924637753, 'roc_auc': 0.6611154924637753, 'weighted_brier_score': 9.951014733547307e-05, 'Brier': 9.951014733547307e-05, 'weighted_logloss': 0.001096223766340515, 'reliability_ece': 8.939366715555468e-05, 'reliability_mce': 0.0003530320537516582, 'reliability_rmse': 0.000126890329852008, 'daily_expected_observed_count_mae': 9.849075356915664, 'max_f1': 0.0004200703617855991, 'precision_at_max_f1': 0.0002101477338569014, 'recall_at_max_f1': 0.39215686274509803, 'threshold_at_max_f1': 2.0518330933875012e-05, 'predicted_positive_grid_cells_at_max_f1': 666198.0, 'calibration_intercept': -0.07743790093489207, 'calibration_slope': 0.8426924051308855, 'expected_fire_positive_grid_cells': 69.05766867353267, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.1934388478250215, 'observed_prevalence_error': 0.0, 'average_precision_error': 6.952424584812258e-06, 'roc_auc_error': 0.008574527174604347, 'max_f1_error': 3.6484259832747676e-05, 'weighted_brier_score_error': 7.42394561329512e-12, 'weighted_logloss_error': 2.065647108507711e-07, 'expected_observed_count_ratio_error': 0.00012320392612304948, 'mean_calibrated_predicted_probability_error': 1.2320392612306358e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_fwi_only,feature_ablation,legacy_sampled_case_control,False,FWI-only CatBoost,fire-weather variables only,completed,40,0.4773367906247884,validation_f1_max,0.3996330908175126,results/full_grid_improvements_bounded/models/catboost_fwi_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_fwi_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_fwi_only_test_predictions.parquet')}",,"{'Model': 'FWI-only CatBoost', 'model': 'FWI-only CatBoost', 'model_name': 'FWI-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'fire-weather variables only', 'feature_set': 'fire-weather variables only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9512499707312478e-05, 'PR-AUC': 0.00030755757933704635, 'average_precision': 0.00030755757933704635, 'ROC-AUC': 0.7530456614297363, 'roc_auc': 0.7530456614297363, 'weighted_brier_score': 9.950959583902119e-05, 'Brier': 9.950959583902119e-05, 'weighted_logloss': 0.0010832058087790373, 'reliability_ece': 9.419460460953269e-05, 'reliability_mce': 0.00034296092831373156, 'reliability_rmse': 0.00014448774346921471, 'daily_expected_observed_count_mae': 9.826222684703435, 'max_f1': 0.0026586905948820204, 'precision_at_max_f1': 0.0013493569470799072, 'recall_at_max_f1': 0.0896358543417367, 'threshold_at_max_f1': 2.5104544365738588e-05, 'predicted_positive_grid_cells_at_max_f1': 23715.0, 'calibration_intercept': -0.07703592601848389, 'calibration_slope': 0.844417765050608, 'expected_fire_positive_grid_cells': 69.9999999999999, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19607843137254874, 'observed_prevalence_error': 0.0, 'average_precision_error': 7.3764387135965885e-06, 'roc_auc_error': 0.03719753644405682, 'max_f1_error': 5.46919968157971e-05, 'weighted_brier_score_error': 9.493838041381923e-12, 'weighted_logloss_error': 2.2605854734350153e-07, 'expected_observed_count_ratio_error': 0.00032585426464644954, 'mean_calibrated_predicted_probability_error': 3.2585426464646376e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
