Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold
Random Forest,full features,Europe,52062,2848,0.22939560439560439,0.293188202247191,0.2573982737361282,0.0037043006346236047,0.19815271013964433,0.008169613183627822,0.85888067014593,0.057850391652490035,0.3723723590373993
Poisson Point-Process GLM,full features,Europe,52062,2848,0.1443079023724185,0.59375,0.2321845393381848,0.0005723236677605632,0.16164913677103,0.014161789652147564,0.8124624789899465,0.06978635302050616,0.3036547601222992
Weather-only CatBoost,meteorology/history features only,Europe,52062,2848,0.09076382230744647,0.797752808988764,0.1629842180774749,6.362434965858494e-05,0.14581395180129472,0.00510590636243975,0.7480498421135303,0.22803061456277068,0.4820661726878472
Logistic Regression (linear SGD),full features,Europe,52062,2848,0.12616215135459363,0.8862359550561798,0.22088037105101951,0.0013745555383131215,0.11991789968584869,0.0009793769166250054,0.7718643929481562,0.3488342461432599,1.0
FWI-only CatBoost,fire-weather variables only,Europe,52062,2848,0.07943362120907813,0.8332162921348315,0.1450400342277367,0.0021930402280250704,0.11277836660792036,0.0052109054283299705,0.7294695328256826,0.21426350251006276,0.4773367906247884
CatBoost deployment-weighted,all features,Europe,52062,2848,0.0567584287039901,0.1288623595505618,0.07880609834657505,0.0021883354093330054,0.0737604983688098,0.0003659380159034491,0.6317943314693498,0.215549894317955,0.4627082306595781
Random Forest,full features,Far East,10457,1230,0.31216361679224974,0.7073170731707317,0.43315907393577296,0.0012298184890286435,0.38741914223857615,0.0031308396077931663,0.8346482706725843,0.11401259447972158,0.3723723590373993
CatBoost,all features,Far East,10457,1230,0.30345572354211664,0.6853658536585366,0.42065868263473055,0.0033251134286332884,0.3490091183495905,0.007318459658032298,0.8195531671367434,0.15084377717728992,0.4920829446562272
Poisson Point-Process GLM,full features,Far East,10457,1230,0.21334971334971334,0.8471544715447155,0.3408570493948315,0.0004096742499200051,0.3076848461899862,0.008906325525981036,0.7836978080412644,0.13006481032697786,0.3036547601222992
FWI-only CatBoost,fire-weather variables only,Far East,10457,1230,0.19054002297970127,0.8089430894308943,0.30843149411035337,0.005862129884104958,0.30662564310223717,0.0009156033356464581,0.7613265592935543,0.21712921807369487,0.4773367906247884
Weather-only CatBoost,meteorology/history features only,Far East,10457,1230,0.1370379683178275,0.8861788617886179,0.23736933797909407,0.0025276058193480387,0.18818695059731258,0.00968653314383702,0.6439976879447997,0.24093701981166138,0.4820661726878472
Logistic Regression (linear SGD),full features,Far East,10457,1230,0.16432947583390062,0.9813008130081301,0.2815160349854227,0.003161194430363295,0.16372479738420723,0.002093518118718469,0.6585084776825876,0.6003274377991046,1.0
CatBoost deployment-weighted,all features,Far East,10457,1230,0.10624272974020939,0.6682926829268293,0.1833389093342255,0.005807755542625949,0.10511821025843529,0.002058470227118829,0.4441673913867133,0.2225633902919959,0.4627082306595781
CatBoost,all features,Global,321173,49514,0.3866930421881538,0.8211818879508825,0.5257917264745057,0.004048385807888288,0.54627891056253,0.003915456891489145,0.8694764922273414,0.14869584247424097,0.4920829446562272
Random Forest,full features,Global,321173,49514,0.38924094500663403,0.7939370683039141,0.5223775480373136,0.00404289371919934,0.5367527497528798,0.010407908233234037,0.8661485406002367,0.11333696055430674,0.3723723590373993
Poisson Point-Process GLM,full features,Global,321173,49514,0.29631200530863266,0.8747828896877651,0.4426774864454676,0.0003309861995186175,0.45125413572215334,0.006390832576562919,0.8367300038097026,0.12369724625549353,0.3036547601222992
Weather-only CatBoost,meteorology/history features only,Global,321173,49514,0.22527276925741335,0.9457325200953266,0.3638715994125463,0.0009490343827047262,0.35079560274721466,0.0034177045441915305,0.7879567300655438,0.23573152424892674,0.4820661726878472
FWI-only CatBoost,fire-weather variables only,Global,321173,49514,0.2130441354292624,0.9109342812133941,0.34532550358693237,0.0011497029084153844,0.31060983949734317,0.002969252548730986,0.7287576125387063,0.22281875391847247,0.4773367906247884
Logistic Regression (linear SGD),full features,Global,321173,49514,0.2436765139274209,0.9685543482651371,0.389387788242936,0.002149298913700736,0.24198571085052614,0.0016162553760759812,0.7124738799518786,0.4763168711036003,1.0
CatBoost deployment-weighted,all features,Global,321173,49514,0.1954436617435242,0.8522842024477926,0.3179710134007452,0.0028867655494939936,0.1951066095880184,0.0016384206796568855,0.6183467230152369,0.22482611970163213,0.4627082306595781
