Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold
Random Forest,full features,Central Asia,45961,2503,0.14966832504145938,0.7211346384338794,0.24788848451555312,0.009191970727775618,0.17634217026687407,0.016787529310956454,0.8231209345232864,0.09526616856319856,0.3723723590373993
CatBoost,all features,Central Asia,45961,2503,0.1343710860619073,0.600079904115062,0.2195745925005482,0.007330577037581582,0.15673435638012506,0.015828456774160428,0.7897245841692071,0.14616752925301987,0.4920829446562272
Poisson Point-Process GLM,full features,Central Asia,45961,2503,0.09382842509603073,0.7319216939672393,0.166333757036499,0.00024862871227352524,0.11655124141466192,0.009588659262004706,0.7345275916955247,0.1023880421746297,0.3036547601222992
Logistic Regression (linear SGD),full features,Central Asia,45961,2503,0.08384458077709611,0.9500599280862965,0.1540903936497651,7.360839419168693e-05,0.08299014271466568,0.00016413543675993701,0.6796518392113273,0.5719970795464392,1.0
FWI-only CatBoost,fire-weather variables only,Central Asia,45961,2503,0.06623406323251958,0.9256891729924092,0.12362278244631186,0.00011984299639071956,0.07281831347675709,0.001994293530513565,0.6264002640891863,0.23058805784184278,0.4773367906247884
CatBoost deployment-weighted,all features,Central Asia,45961,2503,0.07028034143593744,0.6480223731522173,0.1268079118129935,0.00012799706092765864,0.07057901074079463,0.0005386921341079945,0.6192805505775598,0.2167657183397155,0.4627082306595781
Weather-only CatBoost,meteorology/history features only,Central Asia,45961,2503,0.06906824641303975,0.8058330003995205,0.12723143884438276,0.0010389658462157181,0.0692916337287443,0.0007148839438799239,0.6047241768159768,0.23614048068935156,0.4820661726878472
CatBoost,all features,Eastern Siberia,128260,31267,0.43778106373572767,0.9184763488662168,0.5929428282369459,0.0014751799720204705,0.6302041747524663,0.003880753966746449,0.8549782337727195,0.18610827615782555,0.4920829446562272
Random Forest,full features,Eastern Siberia,128260,31267,0.4451196964581424,0.88547030415454,0.5924293325915306,0.003926509712097143,0.6182630013816124,0.00499766265659673,0.8491261561603841,0.14872198024170702,0.3723723590373993
Poisson Point-Process GLM,full features,Eastern Siberia,128260,31267,0.3776934284180661,0.9451818210893274,0.539716745957101,0.002658255740352763,0.5361317396161538,0.010435481955806828,0.820812220865241,0.15746261803905684,0.3036547601222992
Weather-only CatBoost,meteorology/history features only,Eastern Siberia,128260,31267,0.31074898785425104,0.9819298301723862,0.47209515096065874,0.002401295120987749,0.4434523379588713,0.005188672163429214,0.7611062988165829,0.24087008571737634,0.4820661726878472
FWI-only CatBoost,fire-weather variables only,Eastern Siberia,128260,31267,0.31001721609385957,0.9329964499312374,0.46539305228732103,0.0031431027699493036,0.3903543520588144,0.010583236386694858,0.7203357369178477,0.22955395333868384,0.4773367906247884
Logistic Regression (linear SGD),full features,Eastern Siberia,128260,31267,0.3268160562009353,0.9879425592477692,0.4911555431887745,0.0011840344692367912,0.3262099307667461,0.000797098195230996,0.6664937603668432,0.507244254145458,1.0
CatBoost deployment-weighted,all features,Eastern Siberia,128260,31267,0.25845524478633997,0.9294783637701091,0.4044477844578045,0.00025352041633054694,0.2627204159631155,0.0018810035788384902,0.5438399487440042,0.23218971435802646,0.4627082306595781
CatBoost,all features,Europe,52062,2848,0.22818944029005211,0.3535814606741573,0.2773722627737226,0.0076026807475035535,0.20493888954481776,0.0033182762815813617,0.8420446276420386,0.0844342892116714,0.4920829446562272
