Experiment,Experiment ID,Model,Feature set,Region,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,Delta F1 vs full,Delta PR-AUC vs full
CatBoost-no-geography,ablation_no_geography,CatBoost,full minus direct geography/location variables,Far East,0.30345572354211664,0.6853658536585366,0.42065868263473055,0.0033251134286332884,0.3490091183495905,0.007318459658032298,0.0,0.0
CatBoost-no-geography,ablation_no_geography,CatBoost,full minus direct geography/location variables,Central Asia,0.1343710860619073,0.600079904115062,0.2195745925005482,0.007330577037581582,0.15673435638012506,0.015828456774160428,0.0,0.0
CatBoost-no-geography,ablation_no_geography,CatBoost,full minus direct geography/location variables,Europe,0.22818944029005211,0.3535814606741573,0.2773722627737226,0.0076026807475035535,0.20493888954481776,0.0033182762815813617,0.0,0.0
CatBoost no fuel/ecoregion/vegetation,ablation_no_fuel_ecoregion_vegetation,CatBoost,full minus ecological/fuel variables,Global,0.3752300613496933,0.7905642848487296,0.5089122040641211,0.002458111342236586,0.509819366521511,0.00393129307068425,0.016879522410384595,0.03645954404101892
CatBoost no fuel/ecoregion/vegetation,ablation_no_fuel_ecoregion_vegetation,CatBoost,full minus ecological/fuel variables,Eastern Siberia,0.43708031471527614,0.8972399014935875,0.5878137702719691,0.002308487480888781,0.5992765242853071,0.005415929501470521,0.005129057964976758,0.030927650467159173
CatBoost no fuel/ecoregion/vegetation,ablation_no_fuel_ecoregion_vegetation,CatBoost,full minus ecological/fuel variables,Far East,0.30286168521462636,0.6195121951219512,0.406833956219968,0.0012886777820186601,0.3282229454490626,0.0033843070448662665,0.013824726414762567,0.020786172900527866
CatBoost no fuel/ecoregion/vegetation,ablation_no_fuel_ecoregion_vegetation,CatBoost,full minus ecological/fuel variables,Central Asia,0.11321444233299226,0.6188573711546145,0.19141180105035527,0.006383999100395757,0.14686819080143768,0.012361284948347689,0.02816279145019293,0.009866165578687386
CatBoost no fuel/ecoregion/vegetation,ablation_no_fuel_ecoregion_vegetation,CatBoost,full minus ecological/fuel variables,Europe,0.19572192513368983,0.25702247191011235,0.2222222222222222,0.0027725825483959706,0.19517268118817874,0.004727574972320522,0.05515004055150041,0.009766208356639022
CatBoost no terrain,ablation_no_terrain,CatBoost,full minus topography,Global,0.3916678073485989,0.8090439067738417,0.5278143775693054,0.0037426395663577566,0.5466730422677655,0.003010852497219617,-0.00202265109479971,-0.0003941317052355009
CatBoost no terrain,ablation_no_terrain,CatBoost,full minus topography,Eastern Siberia,0.4439348951451179,0.9133271500303835,0.5974642760005858,0.001494585148024638,0.6324203473350982,0.005031061748344111,-0.004521447763639941,-0.002216172582631959
