feature,group,importance,normalized_importance,rank
t2m_mean_90,Weather / meteorology history,0.0,0.0,96
fire_index_fwinx_mean_trend,Fire-weather / FWI,0.0,0.0,97
fire_index_fwinx_median_trend,Fire-weather / FWI,0.0,0.0,98
fire_index_fwinx_max_trend,Fire-weather / FWI,0.0,0.0,99
fire_index_fwinx_max,Fire-weather / FWI,0.0,0.0,100
fire_index_fwinx_std,Fire-weather / FWI,0.0,0.0,101
fire_index_fwinx_min,Fire-weather / FWI,0.0,0.0,102
fire_index_ffmcode_max_trend,Fire-weather / FWI,0.0,0.0,103
fire_index_ffmcode_mean,Fire-weather / FWI,0.0,0.0,104
fire_index_ffmcode_mean_trend,Fire-weather / FWI,0.0,0.0,105
fire_index_fdsrte_mean_trend,Fire-weather / FWI,0.0,0.0,106
fire_index_fdsrte_median_trend,Fire-weather / FWI,0.0,0.0,107
fire_index_fdsrte_max,Fire-weather / FWI,0.0,0.0,108
d2m_mean_14,Weather / meteorology history,0.0,0.0,109
d2m_min_7,Weather / meteorology history,0.0,0.0,110
isor,Terrain/topography,0.0,0.0,111
z,Terrain/topography,0.0,0.0,112
anor,Terrain/topography,0.0,0.0,113
slt,Vegetation/fuel/ecoregion,0.0,0.0,114
d2m_median_14,Weather / meteorology history,0.0,0.0,115
d2m_min_14,Weather / meteorology history,0.0,0.0,116
d2m_std_30,Weather / meteorology history,0.0,0.0,117
d2m_mean_90,Weather / meteorology history,0.0,0.0,118
d2m_min_90,Weather / meteorology history,0.0,0.0,119
t2m_median_7,Weather / meteorology history,0.0,0.0,120
fire_index_fdsrte_min,Fire-weather / FWI,0.0,0.0,121
fire_index_fdsrte_std,Fire-weather / FWI,0.0,0.0,122
fire_index_fdsrte_mean,Fire-weather / FWI,0.0,0.0,123
fire_index_fdsrte_max_trend,Fire-weather / FWI,0.0,0.0,124
fire_index_ffmcode_min,Fire-weather / FWI,0.0,0.0,125
fire_index_ffmcode_median_trend,Fire-weather / FWI,0.0,0.0,126
past_fire_count_r0_last_year,Historical fire/proximity/density,0.0,0.0,127
fire_index_ffmcode_std,Fire-weather / FWI,0.0,0.0,128
t2m_lag_120,Weather / meteorology history,0.0,0.0,129
t2m_lag_90,Weather / meteorology history,0.0,0.0,130
t2m_lag_30,Weather / meteorology history,0.0,0.0,131
t2m_max_7,Weather / meteorology history,0.0,0.0,132
is_weekend_today_or_yesterday,Seasonality,0.0,0.0,133
is_holiday_today,Seasonality,0.0,0.0,134
is_holiday_yesterday,Seasonality,0.0,0.0,135
t2m_lag_7,Weather / meteorology history,0.0,0.0,136
t2m_lag_14,Weather / meteorology history,0.0,0.0,137
slt_soil_type_stream_oper_daily_mean,Vegetation/fuel/ecoregion,0.0,0.0,138
is_weekend_today,Seasonality,0.0,0.0,139
is_weekend_yesterday,Seasonality,0.0,0.0,140
d2m_diff_120,Weather / meteorology history,0.0,0.0,141
d2m_pct_change_90,Weather / meteorology history,0.0,0.0,142
d2m_diff_90,Weather / meteorology history,0.0,0.0,143
d2m_pct_change_30,Weather / meteorology history,0.0,0.0,144
d2m_diff_30,Weather / meteorology history,0.0,0.0,145
d2m_pct_change_14,Weather / meteorology history,0.0,0.0,146
d2m_diff_14,Weather / meteorology history,0.0,0.0,147
d2m_pct_change_7,Weather / meteorology history,0.0,0.0,148
d2m_diff_7,Weather / meteorology history,0.0,0.0,149
d2m_ewm_120,Weather / meteorology history,0.0,0.0,150
d2m_ewm_90,Weather / meteorology history,0.0,0.0,151
d2m_ewm_30,Weather / meteorology history,0.0,0.0,152
d2m_ewm_14,Weather / meteorology history,0.0,0.0,153
d2m_median_120,Weather / meteorology history,0.0,0.0,154
d2m_std_120,Weather / meteorology history,0.0,0.0,155
d2m_min_120,Weather / meteorology history,0.0,0.0,156
d2m_std_14,Weather / meteorology history,0.0,0.0,157
d2m_min_30,Weather / meteorology history,0.0,0.0,158
d2m_mean_120,Weather / meteorology history,0.0,0.0,159
d2m_median_90,Weather / meteorology history,0.0,0.0,160
d2m_max_90,Weather / meteorology history,0.0,0.0,161
tp_median_30,Weather / meteorology history,0.0,0.0,162
tp_std_120,Weather / meteorology history,0.0,0.0,163
tp_max_90,Weather / meteorology history,0.0,0.0,164
tp_mean_7,Weather / meteorology history,0.0,0.0,165
tp_mean_90,Weather / meteorology history,0.0,0.0,166
tp_min_90,Weather / meteorology history,0.0,0.0,167
tp_std_90,Weather / meteorology history,0.0,0.0,168
tp_median_90,Weather / meteorology history,0.0,0.0,169
tp_mean_120,Weather / meteorology history,0.0,0.0,170
d2m_trend_slope_90,Weather / meteorology history,0.0,0.0,171
d2m_trend_intercept_21,Weather / meteorology history,0.0,0.0,172
stl1_median_7,Weather / meteorology history,0.0,0.0,173
