experiment_label,experiment_id,model,feature_set,region_display,period,support,positives,precision,recall,f1,f1_error,average_precision,average_precision_error,delta_f1_vs_full,delta_average_precision_vs_full,threshold
Full CatBoost,ablation_full,CatBoost,all features,Global,2021,87238,24772,0.5139414256268545,0.9159534958824479,0.6584350198052843,5.4580028934063156e-05,0.6679063511686755,0.005448920825391068,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2021,44639,19789,0.5833057104113304,0.978169690231947,0.7308113414127685,0.000805919923666427,0.7214348812099487,0.0010711574085830113,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2021,2141,270,0.3344103392568659,0.7666666666666667,0.46569178852643417,0.024322386397368036,0.4292843739908073,0.05383706638897778,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2021,10197,903,0.17363896848137536,0.6710963455149501,0.27589346687912586,0.006196976915192281,0.2057136311987202,0.011267742399519031,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2021,11926,847,0.3008356545961003,0.3825265643447462,0.3367983367983368,0.010281125767476066,0.2642483106035508,0.0017405755040546646,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2022,58312,4923,0.2345258375922771,0.5872435506804794,0.33518840579710146,0.0036630577702844967,0.25704638502424976,0.006321963098996343,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2022,18946,1456,0.17444101773323054,0.6215659340659341,0.2724262492474413,0.010422147965353415,0.22425660948293474,0.004984649634407018,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2022,2076,192,0.25675675675675674,0.59375,0.3584905660377358,0.02261784628516681,0.2930376814497801,0.03729098701912285,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2022,9862,698,0.15866666666666668,0.5114613180515759,0.24219810040705564,0.015597034701530446,0.17143645048304942,0.018295589205205236,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2022,10330,382,0.15855354659248957,0.29842931937172773,0.20708446866485014,0.029657167123177872,0.15283663828008123,0.02478026023681261,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2023,60888,6898,0.29749973057441537,0.8003769208466223,0.43376807039597737,0.001030880314837669,0.40775340155630646,0.0008587653067532271,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2023,18853,1391,0.16270566727605118,0.8317757009345794,0.27217125382262997,0.0023896759758783638,0.3260535506094973,0.0037188400611114143,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2023,2267,333,0.36363636363636365,0.7687687687687688,0.49373191899710706,0.015000193047532173,0.3577736217978907,0.008942983345946393,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2023,9281,411,0.12931034482758622,0.8029197080291971,0.22274721565980427,0.0017061148401272103,0.1538442477870802,0.009275292871067585,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2023,10456,494,0.22280471821756226,0.3441295546558704,0.27048528241845665,0.0020596520952877646,0.1898181375148025,0.011469159712964125,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2024,65063,9134,0.3396457832507482,0.7579373768338078,0.46908561168140395,0.00039273328768826664,0.43550132415093157,0.0061111822087264595,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2024,26660,6189,0.3724354850239474,0.8418161253837454,0.5164040043611855,0.0013958383933730797,0.4783162209157108,0.0027070885800716876,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2024,2229,298,0.24935400516795866,0.6476510067114094,0.36007462686567165,0.019354617066643792,0.3028753947257701,0.0034032973627291666,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2024,9003,187,0.05993930197268589,0.42245989304812837,0.10498338870431893,0.012853799689821567,0.08589636840555895,0.008462097927686704,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2024,10472,493,0.17659574468085107,0.3367139959432049,0.2316817864619679,0.003350593242009848,0.17105911448338812,0.0037560758487391903,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2025,49672,3787,0.27078409207686777,0.695801425930816,0.3898505696108892,0.007790984558438626,0.4239983954821372,0.00014880250504560732,0.0,0.0,0.4920829446562272
