experiment_label,experiment_id,model,feature_set,region_display,period,support,positives,precision,recall,f1,f1_error,average_precision,average_precision_error,delta_f1_vs_full,delta_average_precision_vs_full,threshold
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2025,19162,2442,0.34100555011426703,0.8554463554463555,0.4876283846872082,0.0032378923391597043,0.5351379700958673,0.0012777232696251249,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2025,1744,137,0.3080168776371308,0.5328467153284672,0.39037433155080214,0.03315665319165386,0.41169742651371566,0.10080250089735217,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2025,7618,304,0.08290816326530612,0.4276315789473684,0.1388888888888889,0.0008872896353423732,0.08285661358255467,0.002885099334428085,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2025,8878,632,0.2549234135667396,0.3686708860759494,0.3014230271668823,0.0074692207322378254,0.23419692575444856,0.01619405565971892,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2021-2023,206438,36593,0.4145054242076925,0.8499439783565162,0.557248694312308,0.000523603158742155,0.581543694087822,0.0016999180811163672,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2021-2023,82438,22636,0.47091284847418874,0.946236084113801,0.6288608338226659,0.002028394378345299,0.6706191195797011,0.0024539614637184835,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2021-2023,6484,795,0.3265421618562535,0.7257861635220125,0.45042935206869633,0.007862174531228632,0.3653166566982729,0.005738093259950799,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2021-2023,29340,2012,0.15593342981186686,0.6426441351888668,0.2509704968944099,0.000992754652150165,0.1792498449743032,0.006896064768342445,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2021-2023,32712,1723,0.23759280969128566,0.3528728961114335,0.28397944885567494,0.013229531367940953,0.208970251855453,6.835651715402428e-05,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Global,2021-2025,321173,49514,0.3866930421881538,0.8211818879508825,0.5257917264745057,0.00546004789362184,0.54627891056253,0.0008530944872809891,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,2021-2025,128260,31267,0.43778106373572767,0.9184763488662168,0.5929428282369459,0.0013170202350700204,0.6302041747524663,0.0016470548257556238,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Far East,2021-2025,10457,1230,0.30345572354211664,0.6853658536585366,0.42065868263473055,0.00027546897180051106,0.3490091183495905,0.0022660438096129055,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,2021-2025,45961,2503,0.1343710860619073,0.600079904115062,0.2195745925005482,0.002939219676848661,0.15673435638012506,0.000332972651043077,0.0,0.0,0.4920829446562272
Full CatBoost,ablation_full,CatBoost,all features,Europe,2021-2025,52062,2848,0.22818944029005211,0.3535814606741573,0.2773722627737226,0.002112029409610323,0.20493888954481776,0.0021147151063970857,0.0,0.0,0.4920829446562272
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2021,87238,24772,0.37111831985501287,0.983691264330696,0.5389183152167903,0.003250054653110092,0.49212934565155625,0.00018294110889222577,0.11951670458849395,0.17577700551711922,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2021,44639,19789,0.5015272616199155,0.9956541512961746,0.6670503597122303,0.002102292849607167,0.5823578226057171,0.00511690507366874,0.06376098170053823,0.13907705860423158,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2021,2141,270,0.14369158878504673,0.9111111111111111,0.248234106962664,0.004637926746709514,0.16947978084195195,0.009288778569903391,0.21745768156377018,0.2598045931488554,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2021,10197,903,0.11618081960287284,0.9136212624584718,0.20614692653673164,0.004003734240895274,0.10796002701806688,0.001828647379137853,0.06974654034239422,0.0977536041806533,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2021,11926,847,0.1227460711331679,0.8760330578512396,0.21532211259431225,0.0022447296329785975,0.25606227080945876,0.0013806748934287543,0.12147622420402457,0.008186039794092048,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2022,58312,4923,0.13128241244637942,0.8330286410725167,0.22681894859102347,0.0012916126139408334,0.1754793546417576,0.009480961684881672,0.10836945720607799,0.08156703038249216,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2022,18946,1456,0.1227894257064722,0.9251373626373627,0.21680347658136165,0.0005063689503675202,0.15364043996126026,0.004504855855606131,0.05562277266607965,0.07061616952167449,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2022,2076,192,0.11678832116788321,0.9166666666666666,0.20718069452619187,0.002423372662829545,0.16647771202763434,0.0029813352045394577,0.15130987151154396,0.12655996942214576,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2022,9862,698,0.0878561736770692,0.7421203438395415,0.15711252653927812,0.0006966417999908362,0.07812242943956692,0.0013539087285684103,0.08508557386777751,0.0933140210434825,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2022,10330,382,0.06374407582938389,0.7041884816753927,0.11690569317687961,0.0002713469055341153,0.0758320567916108,0.00017417522979256157,0.09017877548797053,0.07700458148847043,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2023,60888,6898,0.16290550070521861,0.9376630907509423,0.2775846530191837,0.0017202384368194832,0.25246500079318884,0.0022565175519254424,0.15618341737679364,0.15528840076311762,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2023,18853,1391,0.09426987060998152,0.9532710280373832,0.17157275021026072,0.0029824296713547955,0.16785969740628215,0.0020357204668014347,0.10059850361236924,0.15819385320321516,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2023,2267,333,0.18356643356643357,0.9459459459459459,0.3074670571010249,0.002772967769359,0.31308236396623124,0.00031042992807105374,0.18626486189608216,0.04469125783165945,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2023,9281,411,0.05453917846047635,0.7688564476885644,0.10185334407735697,0.003749000713818701,0.07492469390895469,0.00038444828571636806,0.1208938715824473,0.0789195538781255,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2023,10456,494,0.07054848966613672,0.7186234817813765,0.12848353239232718,0.003397470628959941,0.11898222989889004,0.001968290465275468,0.14200175002612947,0.07083590761591246,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2024,65063,9134,0.2045147369169848,0.9442741405736808,0.33621143313777846,0.0034728179040800907,0.3317673984684689,0.0010412494352100366,0.1328741785436255,0.10373392568246265,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2024,26660,6189,0.2823638470451912,0.9843270318306673,0.4388416654660712,0.00027806413601778385,0.37579368376531697,0.0034821673989343044,0.07756233889511432,0.10252253715039383,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2024,2229,298,0.14531878230901782,0.8489932885906041,0.24816086316821973,0.0037976619451802105,0.15454412243977073,0.01026282841147665,0.11191376369745193,0.14833127228599935,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2024,9003,187,0.0236664162283997,0.6737967914438503,0.0457267283614589,0.002755179303096623,0.044769359626567064,0.01227398330467737,0.059256660342860035,0.041127008778991885,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2024,10472,493,0.07574340751823452,0.821501014198783,0.1386986301369863,0.0013523361893937472,0.11294615262185617,0.01140749013614761,0.09298315632498161,0.05811296186153195,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2025,49672,3787,0.11223016636876117,0.862160021124901,0.198607013595304,0.0004935953272332168,0.18105574402722524,0.0025819220884360523,0.1912435560155852,0.24294265145491195,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2025,19162,2442,0.17313802991552352,0.9148239148239148,0.29116976213750406,0.0019985185172714174,0.3074017078731733,0.0005998636652458074,0.19645862254970414,0.227736262222694,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2025,1744,137,0.0782472613458529,0.7299270072992701,0.1413427561837456,0.014140494879239997,0.1522823715735395,0.023947849530779112,0.24903157536705656,0.25941505494017614,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2025,7618,304,0.04559748427672956,0.7631578947368421,0.08605341246290801,0.00019059337419851383,0.051535669412810424,0.00017221057648424275,0.05283547642598088,0.03132094416974424,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2025,8878,632,0.1141750227894257,0.7927215189873418,0.199601593625498,0.004858874039940838,0.17096526573086762,0.002258647602429118,0.10182143354138429,0.06323166002358094,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2021-2023,206438,36593,0.25575573010841635,0.9547454431175362,0.40343887849603915,0.0036649366897362136,0.3791297531649369,0.008209699268157126,0.1538098158162688,0.20241394092288512,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2021-2023,82438,22636,0.34787475513821087,0.9885138717087825,0.5146392511327308,0.0022240600332820866,0.47883227888629915,0.0033753438874385673,0.1142215826899351,0.19178684069340196,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2021-2023,6484,795,0.14934143870314084,0.9270440251572327,0.25724258289703317,0.0010784233001184616,0.21836560410902758,0.0021034192581521702,0.19318676917166316,0.14695105258924532,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2021-2023,29340,2012,0.08828694587834601,0.8245526838966203,0.15949622650579243,0.00036505481238586097,0.08317528686760234,0.0001311716669168685,0.0914742703886175,0.09607455810670087,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2021-2023,32712,1723,0.0892985552722756,0.7928032501450958,0.16051703877790835,0.000513529665194715,0.1498561870697578,0.0014714604671563177,0.1234624100777666,0.0591140647856952,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,2021-2025,321173,49514,0.22527276925741335,0.9457325200953266,0.3638715994125463,0.0007582179185458962,0.35079560274721466,0.002056307852957289,0.16192012706195935,0.1954833078153153,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,2021-2025,128260,31267,0.31074898785425104,0.9819298301723862,0.47209515096065874,0.00025186323565225537,0.4434523379588713,0.005182892891347424,0.12084767727628715,0.18675183679359497,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,2021-2025,10457,1230,0.1370379683178275,0.8861788617886179,0.23736933797909407,0.0004937645470447233,0.18818695059731258,0.002400183189328021,0.18328934465563648,0.1608221677522779,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,2021-2025,45961,2503,0.06906824641303975,0.8058330003995205,0.12723143884438276,0.0018005791278351663,0.0692916337287443,0.0017095613748732313,0.09234315365616544,0.08744272265138076,0.4820661726878472
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,2021-2025,52062,2848,0.09076382230744647,0.797752808988764,0.1629842180774749,0.00011380746981542752,0.14581395180129472,0.000677967085955806,0.11438804469624772,0.05912493774352304,0.4820661726878472
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2021,87238,24772,0.36770844907223693,0.9351687388987566,0.5278616431020929,0.0010439375917751428,0.499407157884928,0.00041689907234702305,0.13057337670319136,0.16849919328374746,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2021,44639,19789,0.5116747949758875,0.9490120774167466,0.664872902357856,0.00013024647167339233,0.5751614418646188,0.0015351627856385452,0.06593843905491248,0.14627343934532988,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2021,2141,270,0.21256931608133087,0.8518518518518519,0.34023668639053256,0.005283296254715476,0.35805331822385716,0.013696340335598528,0.1254551021359016,0.07123105576695016,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2021,10197,903,0.11080157021653793,0.9689922480620154,0.19886363636363635,0.002002403288123467,0.12577716037069125,0.0033208905144193742,0.0770298305154895,0.07993647082802893,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2021,11926,847,0.10642541672602934,0.8819362455726092,0.18993135011441648,0.0011330167204702168,0.15607040090791285,0.011036403324260527,0.14686698668392034,0.10817790969563795,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2022,58312,4923,0.1233908252816921,0.9053422709729839,0.21718156125134003,0.0027703463434819308,0.15630868228263722,0.0013404788579256817,0.11800684454576144,0.10073770274161253,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2022,18946,1456,0.11010425020048116,0.9429945054945055,0.19718512135573746,0.0007062298939181159,0.15031055302131302,0.004550625797737134,0.07524112789170384,0.07394605646162172,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2022,2076,192,0.1603585657370518,0.8385416666666666,0.2692307692307692,0.006842935805302479,0.2846809739528567,0.03950381661419322,0.08925979680696661,0.00835670749692341,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2022,9862,698,0.0868920921460326,0.9240687679083095,0.1588474325821943,1.0443458775275912e-05,0.0952107492440504,0.004059808434185664,0.08335066782486134,0.07622570123899902,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2022,10330,382,0.05736103711596519,0.8455497382198953,0.10743389323133211,0.005171867661306775,0.10078160420430637,0.005661791599961141,0.09965057543351803,0.05205503407577486,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2023,60888,6898,0.15506429173693087,0.8531458393737316,0.2624303232998885,0.0005060490681574397,0.18342691279747217,0.005257984439310319,0.17133774709608884,0.2243264887588343,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2023,18853,1391,0.09079445145018916,0.7764198418404026,0.16257714887851873,0.000508371074632249,0.14103820748870535,0.0037484690055963965,0.10959410494411123,0.18501534312079196,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2023,2267,333,0.21108179419525067,0.7207207207207207,0.32653061224489793,0.002707333776189029,0.326300069084378,0.05939470144318699,0.16720130675220912,0.03147355271351271,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2023,9281,411,0.05265441921018371,0.8856447688564477,0.099399235390497,0.0005629714997415482,0.061106008155763294,0.0015049743920047894,0.12334798026930727,0.0927382396313169,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2023,10456,494,0.0694131902371473,0.8117408906882592,0.12789028863020252,0.001087660629986586,0.09741004162815387,0.00760555203203403,0.14259499378825413,0.09240809588664864,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2024,65063,9134,0.19225535368968893,0.881650974381432,0.3156739381823171,0.0014359505868251758,0.2463427876415789,0.004020246068860598,0.15341167349908685,0.18915853650935266,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2024,26660,6189,0.2900556798667846,0.900630150266602,0.43879398567267575,0.0004077346079398984,0.33740362241179916,0.001215638594691221,0.07761001868850975,0.14091259850391163,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2024,2229,298,0.21080139372822299,0.8120805369127517,0.334716459197787,0.0003131713862812798,0.2649064478496568,0.016772618569068098,0.02535816766788468,0.037968946876113296,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2024,9003,187,0.024139472507822977,0.8663101604278075,0.04697013627138301,0.0001779507741289508,0.020241371243524882,0.0018685896018565706,0.058013252432935924,0.06565499716203407,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2024,10472,493,0.06508264462809918,0.7667342799188641,0.11998095540390415,0.002798459045536834,0.09051448908925437,0.0009965674495811395,0.11170083105806376,0.08054462539413375,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2025,49672,3787,0.10817990290372813,0.9355690520200687,0.1939350812852373,0.00017532742096658762,0.18658520204657097,0.0005593197281674017,0.19591548832565192,0.23741319343556622,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2025,19162,2442,0.17121552161007747,0.9684684684684685,0.29098738849584743,0.00120530470332955,0.23094940159233035,0.00571807298017543,0.19664099619136077,0.3041885685035369,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2025,1744,137,0.14336075205640422,0.8905109489051095,0.24696356275303644,0.0023791735299234116,0.40509031903269144,0.019911038672881028,0.1434107687977657,0.006607107481024221,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2025,7618,304,0.04488241139450149,0.8914473684210527,0.08546199936928414,0.0012898522106192442,0.06184662697792908,0.013410988188843287,0.05342688951960475,0.021009986604625587,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2025,8878,632,0.0929242773541408,0.8291139240506329,0.16711848190081327,0.003695218500562517,0.1388423149068652,0.010461279464242466,0.13430454526606903,0.09535461084758337,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2021-2023,206438,36593,0.24445190189240848,0.9156942584647337,0.38588793495597895,0.0012337866745870246,0.35732619711224756,0.0029429236119126734,0.171360759356329,0.22421749697557447,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2021-2023,82438,22636,0.3476943734852951,0.93801908464393,0.507335372264169,0.0011549433827489856,0.43966938739515565,0.006667395958903631,0.12152546155849686,0.23094973218454545,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2021-2023,6484,795,0.19578032888613092,0.7937106918238994,0.31408661025385765,0.0027430897911907,0.3188335200302738,0.01071411699073464,0.13634274181483869,0.04648313666799908,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2021-2023,29340,2012,0.08473890163270814,0.9363817097415507,0.15541348731697258,0.0018762864572020425,0.09462304794787062,0.00010126654192052366,0.09555700957743735,0.0846267970264326,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2021-2023,32712,1723,0.07982851250881857,0.8537434706906558,0.14600496277915634,0.0027621768555257296,0.11443299472043955,0.003903576102019275,0.1379744860765186,0.09453725713501346,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,2021-2025,321173,49514,0.2130441354292624,0.9109342812133941,0.34532550358693237,0.0043421949970232155,0.31060983949734317,0.004054287853973917,0.1804662228875733,0.2356690710651868,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,2021-2025,128260,31267,0.31001721609385957,0.9329964499312374,0.46539305228732103,0.0003892233946612668,0.3903543520588144,0.005823503047697783,0.12754977594962486,0.23984982269365185,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,2021-2025,10457,1230,0.19054002297970127,0.8089430894308943,0.30843149411035337,0.0009761505165765465,0.30662564310223717,0.021535917398225655,0.11222718852437719,0.04238347524735331,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,2021-2025,45961,2503,0.06623406323251958,0.9256891729924092,0.12362278244631186,0.0006747387022308281,0.07281831347675709,0.00010031469530207986,0.09595181005423634,0.08391604290336797,0.4773367906247884
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,2021-2025,52062,2848,0.07943362120907813,0.8332162921348315,0.1450400342277367,0.00046057129075227404,0.11277836660792036,0.004751367307987352,0.13233222854598592,0.0921605229368974,0.4773367906247884
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Global,2021,87238,24772,0.520529677374073,0.8981511383820442,0.6590831667036955,0.002406996018216316,0.6550141834080317,0.004995580521584589,-0.0006481468984111949,0.012892167760643725,0.5002497225079148
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Eastern Siberia,2021,44639,19789,0.5938271604938271,0.9722573146697661,0.7373201249305409,0.0019074435505386992,0.7159342769954996,0.0015678102284413667,-0.0065087835177723985,0.00550060421444909,0.5002497225079148
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Far East,2021,2141,270,0.34460887949260044,0.6037037037037037,0.4387617765814266,0.013195686392799149,0.3902736567163353,0.04257164467375976,0.026930011945007548,0.03901071727447203,0.5002497225079148
