Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Far East,2021,No morphological expansion/dilation,0.3839,0.3599,0.0336
Far East,2021,Stricter MODIS thresholds,0.2366,0.2018,0.0236
Far East,2022,Alternative negative ratio,0.39,0.3709,0.0195
Far East,2022,"Main labels, no historical-fire features",0.3694,0.2787,0.0096
Far East,2022,Main/current labels,0.4456,0.4145,0.0214
Far East,2022,No morphological expansion/dilation,0.3323,0.2395,0.0252
Far East,2022,Stricter MODIS thresholds,0.1751,0.1484,0.013
Far East,2023,Alternative negative ratio,0.5351,0.4663,0.0193
Far East,2023,"Main labels, no historical-fire features",0.5171,0.3858,0.0161
Far East,2023,Main/current labels,0.5527,0.5191,0.0164
Far East,2023,No morphological expansion/dilation,0.4106,0.3264,0.0191
Far East,2023,Stricter MODIS thresholds,0.275,0.2058,0.0278
Far East,2024,Alternative negative ratio,0.3222,0.3087,0.0143
Far East,2024,"Main labels, no historical-fire features",0.2816,0.1805,0.0062
Far East,2024,Main/current labels,0.3405,0.3191,0.0147
Far East,2024,No morphological expansion/dilation,0.269,0.1988,0.0123
Far East,2024,Stricter MODIS thresholds,0.1175,0.0768,0.0107
Far East,2025,Alternative negative ratio,0.3256,0.3671,0.0386
Far East,2025,"Main labels, no historical-fire features",0.247,0.1688,0.0134
Far East,2025,Main/current labels,0.3667,0.4176,0.0452
Far East,2025,No morphological expansion/dilation,0.2391,0.1665,0.0152
Far East,2025,Stricter MODIS thresholds,0.1438,0.1261,0.0158
Global,2021,Alternative negative ratio,0.6814,0.6698,0.0033
Global,2021,"Main labels, no historical-fire features",0.6825,0.5823,0.0032
Global,2021,Main/current labels,0.6865,0.7042,0.0027
Global,2021,No morphological expansion/dilation,0.4813,0.3715,0.0056
Global,2021,Stricter MODIS thresholds,0.3848,0.3088,0.0031
Global,2022,Alternative negative ratio,0.4147,0.3273,0.0047
Global,2022,"Main labels, no historical-fire features",0.3722,0.2542,0.002
Global,2022,Main/current labels,0.4141,0.3537,0.0039
Global,2022,No morphological expansion/dilation,0.2583,0.1829,0.004
Global,2022,Stricter MODIS thresholds,0.205,0.1421,0.0021
Global,2023,Alternative negative ratio,0.4624,0.4934,0.0088
Global,2023,"Main labels, no historical-fire features",0.454,0.3489,0.0013
Global,2023,Main/current labels,0.4769,0.5149,0.0074
Global,2023,No morphological expansion/dilation,0.3061,0.2487,0.0024
Global,2023,Stricter MODIS thresholds,0.2664,0.2051,0.009
Global,2024,Alternative negative ratio,0.3834,0.4023,0.0079
Global,2024,"Main labels, no historical-fire features",0.3795,0.3034,0.0041
Global,2024,Main/current labels,0.3995,0.4225,0.0092
Global,2024,No morphological expansion/dilation,0.242,0.1867,0.002
Global,2024,Stricter MODIS thresholds,0.2002,0.1463,0.0023
Global,2025,Alternative negative ratio,0.2622,0.4022,0.0051
Global,2025,"Main labels, no historical-fire features",0.2325,0.1941,0.0031
Global,2025,Main/current labels,0.2718,0.441,0.0044
Global,2025,No morphological expansion/dilation,0.163,0.1939,0.0024
Global,2025,Stricter MODIS thresholds,0.1745,0.1736,0.0064
