region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-24,2021-09-20,28,377,0.6856,0.1728,18.0,0.1241,0.8217,0.7895
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-12,2021-10-09,28,182,0.6852,0.1413,0.0,0.9003,0.0903,0.0778
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-21,2021-07-18,28,1478,0.6831,0.1977,17.0,0.0725,0.5399,0.7284
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-06,2021-08-02,28,2290,0.6825,0.2211,27.0,0.1151,0.3463,0.4006
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-07,2021-08-03,28,2330,0.6802,0.2202,26.0,0.1141,0.3617,0.4362
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-22,2021-07-19,28,1512,0.6792,0.198,16.0,0.0879,0.5004,0.7542
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-10,2021-10-07,28,330,0.6788,0.1168,1.0,0.8832,0.0952,0.1302
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-26,2022-11-22,28,32,0.6785,0.0466,2.0,0.9091,0.0909,0.1409
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-23,2021-09-19,28,376,0.6773,0.169,19.0,0.1232,0.7448,0.7273
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-08,2021-08-04,28,2352,0.6771,0.219,25.0,0.1173,0.3564,0.4565
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-08,2021-09-04,28,1345,0.6747,0.206,0.0,0.8978,0.0668,0.0912
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-20,2021-07-17,28,1416,0.6701,0.1985,18.0,0.0629,0.5976,0.7114
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-24,2022-11-20,28,36,0.67,0.0493,4.0,0.8919,0.1081,0.234
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-08,2023-04-04,28,138,0.6684,0.0595,23.0,0.071,0.4645,0.5636
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-09,2021-10-06,28,346,0.6679,0.1193,2.0,0.8851,0.0929,0.1728
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-08,2021-10-05,28,364,0.6677,0.1238,3.0,0.8919,0.0923,0.2079
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-23,2021-07-20,28,1515,0.6668,0.1991,15.0,0.1093,0.4999,0.7949
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-10,2021-08-06,28,3286,0.6659,0.1986,23.0,0.1426,0.4398,0.5388
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-11,2021-10-08,28,300,0.6655,0.1077,0.0,0.8569,0.1029,0.1137
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-24,2021-07-21,28,1508,0.6633,0.1987,14.0,0.1253,0.5502,0.8424
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-07,2021-10-04,28,365,0.6621,0.124,4.0,0.8458,0.1408,0.2689
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-05,2021-08-01,28,2137,0.6608,0.2219,25.0,0.1415,0.3282,0.4591
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-25,2021-07-22,28,1486,0.6597,0.1981,13.0,0.157,0.5124,0.8417
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-09,2023-04-05,28,143,0.6591,0.0617,22.0,0.1223,0.4415,0.5928
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-06,2021-10-03,28,373,0.6591,0.1245,5.0,0.7612,0.2225,0.3422
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-28,2021-07-25,28,1553,0.6577,0.1943,10.0,0.2615,0.5699,0.7792
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-23,2022-11-19,28,36,0.6572,0.0516,5.0,0.8649,0.1351,0.2916
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-22,2021-09-18,28,380,0.6569,0.1692,20.0,0.0894,0.6297,0.6664
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-29,2021-07-26,28,1659,0.6562,0.1961,27.0,0.2386,0.5426,0.5108
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-27,2021-07-24,28,1508,0.6551,0.1958,11.0,0.2609,0.5463,0.8028
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-02,2021-07-29,28,1895,0.6549,0.2061,27.0,0.2772,0.3402,0.4321
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-09,2021-08-05,28,3227,0.6534,0.1993,24.0,0.1316,0.3947,0.5022
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-03,2021-07-30,28,1983,0.6534,0.215,27.0,0.2069,0.3027,0.4002
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-26,2021-07-23,28,1475,0.6533,0.1975,12.0,0.2263,0.5146,0.8261
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-30,2021-07-27,28,1752,0.6508,0.2003,26.0,0.2226,0.5063,0.5251
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-05,2021-10-02,28,377,0.6502,0.1257,6.0,0.5952,0.3842,0.4444
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-04,2021-07-31,28,2057,0.6482,0.2189,26.0,0.1647,0.3146,0.4267
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-06,2021-07-03,28,707,0.6475,0.1938,26.0,0.0253,0.1861,0.3001
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-01,2021-07-28,28,1817,0.6473,0.2037,25.0,0.2459,0.4418,0.5296
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-13,2023-04-09,28,235,0.647,0.076,26.0,0.1757,0.3642,0.4123
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-10,2023-04-06,28,146,0.6452,0.0636,21.0,0.2063,0.4497,0.6188
