region_display,model_name,period_rank,period_start,period_end,window_days,observed_positive_locations,average_precision,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Global,Spatial climate TSN-MLP (ECMWF global full),1,2021-07-22,2021-08-18,28,3269,0.7135,16.0,0.1428,0.8182,0.8547
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),1,2021-09-02,2021-09-29,28,306,0.7506,9.0,0.126,0.8549,0.7391
