experiment_id,model,model_group,status,threshold,validation_f1,feature_count,notes
representative_model_ablation_era5_to_ecmwf_no_tp_catboost_full,CatBoost,Gradient boosted trees,completed,0.5304404326809543,0.69718972703998,230.0,"Representative model-family ablation on ERA5 -> SEAS5/ECMWF source shift with tp removed. Rows use ERA5-covered sampled case-control domain, years 2021-2024; coverage filter 1574798 -> 1550839 rows. Best tabular model family; trained on ERA5 features and tested on SEAS5/ECMWF."
representative_model_ablation_era5_to_ecmwf_no_tp_random_forest,Random Forest,Bagged tree ensemble,completed,0.3669232428073883,0.6411855727657962,230.0,"Representative model-family ablation on ERA5 -> SEAS5/ECMWF source shift with tp removed. Rows use ERA5-covered sampled case-control domain, years 2021-2024; coverage filter 1574798 -> 1550839 rows. Tree ensemble baseline with different bias/variance behavior from CatBoost."
representative_model_ablation_era5_to_ecmwf_no_tp_logistic_regression,Logistic Regression,Linear discriminative,completed,1.0,0.5171064679926098,230.0,"Representative model-family ablation on ERA5 -> SEAS5/ECMWF source shift with tp removed. Rows use ERA5-covered sampled case-control domain, years 2021-2024; coverage filter 1574798 -> 1550839 rows. Linear SGD baseline with train-only ordinal categorical encoding."
representative_model_ablation_era5_to_ecmwf_no_tp_poisson_point_process,Poisson Point-Process GLM,Statistical intensity model,completed,0.35601872205734253,0.6284766363828848,230.0,"Representative model-family ablation on ERA5 -> SEAS5/ECMWF source shift with tp removed. Rows use ERA5-covered sampled case-control domain, years 2021-2024; coverage filter 1574798 -> 1550839 rows. Counts-as-intensity baseline converted to event probability with 1-exp(-lambda)."
representative_model_ablation_era5_to_ecmwf_no_tp_best_neural,Best neural spatial TSN,Deep daily-spatial sequence,completed,0.38687852025032043,0.639774769758854,,"Representative model-family ablation on ERA5 -> SEAS5/ECMWF source shift with tp removed. Rows use ERA5-covered sampled case-control domain, years 2021-2024; coverage filter 1574798 -> 1550839 rows. Best neural checkpoint retrained on ERA5 dynamic climate inputs with tp removed. Source checkpoint: nn_global_full_spatial_tsn_no_tp."
