Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold,evaluation_type,is_primary
Minimal MLP (global full),global full NN features,Central Asia,45961,2503,0.1562245728,0.6903715541000001,0.2547920967,0.0061765621,0.2618807825,0.0114192879,0.8329387587,0.0717160616,0.2953715026,legacy_sampled_case_control,0.0
LSTM attention (global full),global full NN features,Central Asia,45961,2503,0.1219526698,0.8194167,0.2123078516,0.0012142486,0.2473103799,0.0101776663,0.8209585563,0.0867464984,0.2067688853,legacy_sampled_case_control,0.0
LSTM embedding fusion (global full),global full NN features,Central Asia,45961,2503,0.1348329651201714,0.8046344386735917,0.2309633027522935,0.0030274953064658,0.2111657531790085,0.0083609006046627,0.8290847062497805,0.0832440617877657,0.2341229170560836,legacy_sampled_case_control,0.0
CatBoost,all features,Central Asia,45961,2503,0.1467412642,0.5972832601,0.2356000315,0.0022979172,0.1788763558,0.0090977183,0.8067160357000001,0.1375345245,0.497643269,,
Poisson Point-Process GLM,full features,Central Asia,45961,2503,0.0958384404,0.6560127847,0.1672438378,0.001254819,0.1224137238,0.004679516,0.7351574218,0.1014906819,0.32268098,,
Logistic Regression (linear SGD),full features,Central Asia,45961,2503,0.0831200663,0.9212944467,0.152482973,0.0008694588,0.0827784534,0.0004954553,0.6797795106,0.5720747204000001,1.0,,
FWI-only CatBoost,fire-weather variables only,Central Asia,45961,2503,0.0663224673,0.9648421894,0.1241134752,0.0006598984,0.0742887811,0.0012931297,0.6280096449,0.2304355329,0.464663872,,
CatBoost deployment-weighted,all features,Central Asia,45961,2503,0.0604675385,0.8349980024,0.1127687701,0.0008474273,0.07192057,0.002338688,0.5814541396,0.2155573374,0.4626545382,,
Weather-only CatBoost,meteorology/history features only,Central Asia,45961,2503,0.075025871,0.5213743508,0.1311755541,0.002624325,0.0697768633,0.0009542788,0.6203237463,0.2453696427,0.500519092,,
Spatial climate TSN-MLP (global full),global full NN features,Eastern Siberia,128260,31267,0.6059882398,0.8602680142,0.7110793877,0.0021135328,0.7548509283,0.0039425333,0.9070124913,0.1122696509,0.4269461036,legacy_sampled_case_control,0.0
