experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,status,feature_count,threshold,threshold_source,validation_f1_at_threshold,model_path,prediction_paths,notes,primary_full_grid_metrics,sample_weight,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_positive_class_weight,rf_max_features,is_main_nn_model
ablation_no_anthropogenic,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus roads/population/night lights,completed,241.0,0.5009774287000001,validation_f1_max,0.4905655087,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_anthropogenic.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_anthropogenic_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_anthropogenic_test_predictions.parquet')}",Dropped 17 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_ecoregion,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus ecoregion categorical variables,completed_no_op,258.0,0.497643269,validation_f1_max,0.5123005855,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_full.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus ecoregion categorical variables`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00013441488608306363, 'PR-AUC': 0.0030344720693525297, 'average_precision': 0.0030344720693525297, 'ROC-AUC': 0.9111798068974395, 'roc_auc': 0.9111798068974395, 'weighted_brier_score': 4.880209258772255e-05, 'Brier': 4.880209258772255e-05, 'weighted_logloss': 0.0004935634123692852, 'reliability_ece': 8.594299041678848e-05, 'reliability_mce': 0.0008233419730790134, 'reliability_rmse': 0.00020984666795279946, 'daily_expected_observed_count_mae': 30.079525083502684, 'max_f1': 0.02194135140301016, 'precision_at_max_f1': 0.02771022579591833, 'recall_at_max_f1': 0.018160577740016993, 'threshold_at_max_f1': 0.005986751613602123, 'predicted_positive_grid_cells_at_max_f1': 12342.014190673828, 'calibration_intercept': -0.09523744371225147, 'calibration_slope': 1.11188548933563, 'expected_fire_positive_grid_cells': 51871.86657079271, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.7544534075399696, 'observed_prevalence_error': 1.9091060234546766e-12, 'average_precision_error': 0.006584729955531754, 'roc_auc_error': 0.00458326636364294, 'max_f1_error': 0.005890185656741529, 'weighted_brier_score_error': 5.995271912001203e-09, 'weighted_logloss_error': 3.6973722171010373e-06, 'expected_observed_count_ratio_error': 0.042742824564027976, 'mean_calibrated_predicted_probability_error': 2.0845225929444713e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_geography,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus direct geography/location variables,completed_no_op,258.0,0.497643269,validation_f1_max,0.5123005855,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_full.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus direct geography/location variables`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00013441488608306363, 'PR-AUC': 0.0030344720693525297, 'average_precision': 0.0030344720693525297, 'ROC-AUC': 0.9111798068974395, 'roc_auc': 0.9111798068974395, 'weighted_brier_score': 4.880209258772255e-05, 'Brier': 4.880209258772255e-05, 'weighted_logloss': 0.0004935634123692852, 'reliability_ece': 8.594299041678848e-05, 'reliability_mce': 0.0008233419730790134, 'reliability_rmse': 0.00020984666795279946, 'daily_expected_observed_count_mae': 30.079525083502684, 'max_f1': 0.02194135140301016, 'precision_at_max_f1': 0.02771022579591833, 'recall_at_max_f1': 0.018160577740016993, 'threshold_at_max_f1': 0.005986751613602123, 'predicted_positive_grid_cells_at_max_f1': 12342.014190673828, 'calibration_intercept': -0.09523744371225147, 'calibration_slope': 1.11188548933563, 'expected_fire_positive_grid_cells': 51871.86657079271, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.7544534075399696, 'observed_prevalence_error': 1.9091060234546766e-12, 'average_precision_error': 0.006584729955531754, 'roc_auc_error': 0.00458326636364294, 'max_f1_error': 0.005890185656741529, 'weighted_brier_score_error': 5.995271912001203e-09, 'weighted_logloss_error': 3.6973722171010373e-06, 'expected_observed_count_ratio_error': 0.042742824564027976, 'mean_calibrated_predicted_probability_error': 2.0845225929444713e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_fuel_ecoregion_vegetation,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus ecological/fuel variables,completed,252.0,0.4896624382,validation_f1_max,0.5041238605,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_fuel_ecoregion_vegetation.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_fuel_ecoregion_vegetation_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_fuel_ecoregion_vegetation_test_predictions.parquet')}",Dropped 6 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_terrain,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus topography,completed,233.0,0.4998480154,validation_f1_max,0.5074849893,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_terrain.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_terrain_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_terrain_test_predictions.parquet')}",Dropped 25 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_seasonality,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus month/day-of-year features,completed,257.0,0.4986088791,validation_f1_max,0.5099504486,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_seasonality.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_seasonality_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_seasonality_test_predictions.parquet')}",Dropped 1 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_history,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus prior-fire/proximity features,completed,252.0,0.3925787582,validation_f1_max,0.465910767,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_history.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_history_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_history_test_predictions.parquet')}",Dropped 6 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_temporal_history,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus lagged meteorology,completed,96.0,0.4987705373,validation_f1_max,0.5022349062,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_temporal_history.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_temporal_history_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_temporal_history_test_predictions.parquet')}",Dropped 162 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_shorter_sequence_30d,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus >30-day weather-history windows,completed,192.0,0.5013236514,validation_f1_max,0.4989184905,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_shorter_sequence_30d.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_shorter_sequence_30d_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_shorter_sequence_30d_test_predictions.parquet')}",Dropped 66 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_periodic_seasonality,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus periodic seasonality encodings,completed_no_op,258.0,0.497643269,validation_f1_max,0.5123005855,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_full.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus periodic seasonality encodings`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00013441488608306363, 'PR-AUC': 0.0030344720693525297, 'average_precision': 0.0030344720693525297, 'ROC-AUC': 0.9111798068974395, 'roc_auc': 0.9111798068974395, 'weighted_brier_score': 4.880209258772255e-05, 'Brier': 4.880209258772255e-05, 'weighted_logloss': 0.0004935634123692852, 'reliability_ece': 8.594299041678848e-05, 'reliability_mce': 0.0008233419730790134, 'reliability_rmse': 0.00020984666795279946, 'daily_expected_observed_count_mae': 30.079525083502684, 'max_f1': 0.02194135140301016, 'precision_at_max_f1': 0.02771022579591833, 'recall_at_max_f1': 0.018160577740016993, 'threshold_at_max_f1': 0.005986751613602123, 'predicted_positive_grid_cells_at_max_f1': 12342.014190673828, 'calibration_intercept': -0.09523744371225147, 'calibration_slope': 1.11188548933563, 'expected_fire_positive_grid_cells': 51871.86657079271, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.7544534075399696, 'observed_prevalence_error': 1.9091060234546766e-12, 'average_precision_error': 0.006584729955531754, 'roc_auc_error': 0.00458326636364294, 'max_f1_error': 0.005890185656741529, 'weighted_brier_score_error': 5.995271912001203e-09, 'weighted_logloss_error': 3.6973722171010373e-06, 'expected_observed_count_ratio_error': 0.042742824564027976, 'mean_calibrated_predicted_probability_error': 2.0845225929444713e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_no_gaussian_smoothing,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus Gaussian road/light/population rasters,completed,252.0,0.4981489779,validation_f1_max,0.5082135247,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_no_gaussian_smoothing.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_gaussian_smoothing_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_no_gaussian_smoothing_test_predictions.parquet')}",Dropped 6 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_static_only,feature_ablation,legacy_sampled_case_control,False,CatBoost,static non-weather features,completed,56.0,0.4643602732,validation_f1_max,0.4811711231,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_static_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_static_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_static_only_test_predictions.parquet')}",,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_dynamic_weather_fwi_only,feature_ablation,legacy_sampled_case_control,False,CatBoost,meteorology plus fire-weather variables,completed,202.0,0.4935315813,validation_f1_max,0.4388362979,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/ablation_dynamic_weather_fwi_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_dynamic_weather_fwi_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/ablation_dynamic_weather_fwi_only_test_predictions.parquet')}",,,"{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
nn_global_full_ft_transformer,main_model_comparison,primary_full_grid_calibrated,False,FT-Transformer (global full),global full NN features,completed,,0.1592247635,validation_f1_max,0.4663505497,/home/infres/vmorozov/Misc/models/nn_global_full_ft_transformer-ft_transformer-epoch=01-val_f1=0.4663.ckpt,"{'validation': 'outputs/nn_global_full_ft_transformer/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_ft_transformer/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_ft_transformer/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_lstm_attention,main_model_comparison,primary_full_grid_calibrated,False,LSTM attention (global full),global full NN features,completed,,0.2067688853,validation_f1_max,0.493713226,/home/infres/vmorozov/Misc/models/nn_global_full_lstm_attention-lstm_attention-epoch=01-val_f1=0.4936.ckpt,"{'validation': 'outputs/nn_global_full_lstm_attention/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_lstm_attention/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_lstm_attention/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_lstm_gated_moe,main_model_comparison,primary_full_grid_calibrated,False,LSTM gated MoE (global full),global full NN features,completed,,0.2481723875,validation_f1_max,0.4843911351,/home/infres/vmorozov/Misc/models/nn_global_full_lstm_gated_moe-lstm_gated_moe-epoch=00-val_f1=0.4844.ckpt,"{'validation': 'outputs/nn_global_full_lstm_gated_moe/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_lstm_gated_moe/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_lstm_gated_moe/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_lstm_static_concat,main_model_comparison,primary_full_grid_calibrated,False,LSTM static concat (global full),global full NN features,completed,,0.320505619,validation_f1_max,0.5005455883000001,/home/infres/vmorozov/Misc/models/nn_global_full_lstm_static_concat-lstm_mlp-epoch=02-val_f1=0.5004.ckpt,"{'validation': 'outputs/nn_global_full_lstm_static_concat/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_lstm_static_concat/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_lstm_static_concat/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_minimal_mlp,main_model_comparison,primary_full_grid_calibrated,False,Minimal MLP (global full),global full NN features,completed,,0.2953715026,validation_f1_max,0.4890431982,/home/infres/vmorozov/Misc/models/nn_global_full_minimal_mlp-minimal_mlp-epoch=08-val_f1=0.4890-v2.ckpt,"{'validation': 'outputs/nn_global_full_minimal_mlp/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_minimal_mlp/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_minimal_mlp/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_spatial_tsn,main_model_comparison,primary_full_grid_calibrated,False,Spatial climate TSN-MLP (global full),global full NN features,completed,,0.4269461036,validation_f1_max,0.5968885774,/home/infres/vmorozov/Misc/models/nn_global_full_spatial_tsn-spatial_climate_tsn_mlp-epoch=01-val_ap=0.5844.ckpt,"{'validation': 'outputs/nn_global_full_spatial_tsn/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_spatial_tsn/legacy_sampled_predictions/test_predictions.parquet', 'train': 'outputs/nn_global_full_spatial_tsn/legacy_sampled_predictions/train_predictions.parquet'}",Imported from outputs/nn_global_full_spatial_tsn/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_spatial_tsn_ecmwf,main_model_comparison,primary_full_grid_calibrated,False,Spatial climate TSN-MLP (ECMWF global full),global full NN features,completed,,0.2851233482,validation_f1_max,0.4360327883,/home/infres/vmorozov/Misc/models/nn_global_full_spatial_tsn_ecmwf-spatial_climate_tsn_mlp-epoch=01-val_ap=0.3782.ckpt,"{'validation': 'outputs/nn_global_full_spatial_tsn_ecmwf/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_spatial_tsn_ecmwf/legacy_sampled_predictions/test_predictions.parquet', 'train': 'outputs/nn_global_full_spatial_tsn_ecmwf/legacy_sampled_predictions/train_predictions.parquet'}",Imported from outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_spatial_tsn_no_tp,main_model_comparison,primary_full_grid_calibrated,False,Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,completed,,0.3871046007,validation_f1_max,0.59693229,/home/infres/vmorozov/Misc/models/nn_global_full_spatial_tsn_no_tp-spatial_climate_tsn_mlp-epoch=03-val_ap=0.5763.ckpt,"{'validation': 'outputs/nn_global_full_spatial_tsn_no_tp/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_spatial_tsn_no_tp/legacy_sampled_predictions/test_predictions.parquet', 'train': 'outputs/nn_global_full_spatial_tsn_no_tp/legacy_sampled_predictions/train_predictions.parquet'}",Imported from outputs/nn_global_full_spatial_tsn_no_tp/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_tsn,main_model_comparison,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),global full NN features,completed,,0.1911493838,validation_f1_max,0.4310031174,/home/infres/vmorozov/Misc/models/nn_global_full_tsn-tsn_mlp-epoch=00-val_ap=0.3559.ckpt,"{'validation': 'outputs/nn_global_full_tsn/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_tsn/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_tsn/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,1.0
nn_feature_ablation_spatial_tsn_embedding_fusion_full,neural_feature_ablation,primary_full_grid_calibrated,False,Spatial climate TSN embedding fusion (global full),Full neural feature set,completed,,0.4300945103,validation_f1_max,0.6252526845,/home/infres/vmorozov/Misc/models/nn_global_full_spatial_tsn_embedding_fusion-spatial_climate_tsn_embedding_fusion-epoch=00-val_ap=0.6171.ckpt,"{'validation': 'outputs/nn_global_full_spatial_tsn_embedding_fusion/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_spatial_tsn_embedding_fusion/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'full' from outputs/nn_global_full_spatial_tsn_embedding_fusion/metrics.json.,,,,,,,,1.0
nn_global_full_lstm_embedding_fusion,main_model_comparison,primary_full_grid_calibrated,False,LSTM embedding fusion (global full),global full NN features,completed,,0.2341229170560836,validation_f1_max,0.4951446050510417,/home/infres/vmorozov/Misc/models/nn_global_full_lstm_embedding_fusion-lstm_embedding_fusion-epoch=01-val_f1=0.4952.ckpt,"{'validation': 'outputs/nn_global_full_lstm_embedding_fusion/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_lstm_embedding_fusion/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_lstm_embedding_fusion/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_global_full_spatial_tsn_embedding_fusion,main_model_comparison,primary_full_grid_calibrated,False,Spatial climate TSN embedding fusion (global full),global full NN features,completed,,0.4300945103168487,validation_f1_max,0.6252526845488404,/home/infres/vmorozov/Misc/models/nn_global_full_spatial_tsn_embedding_fusion-spatial_climate_tsn_embedding_fusion-epoch=00-val_ap=0.6171.ckpt,"{'validation': 'outputs/nn_global_full_spatial_tsn_embedding_fusion/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_spatial_tsn_embedding_fusion/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_spatial_tsn_embedding_fusion/metrics.json. Primary full-grid status: not_run.,,,,,,,,1.0
nn_global_full_tsn_embedding_fusion,main_model_comparison,primary_full_grid_calibrated,False,TemporalConvNet embedding fusion (global full),global full NN features,completed,,0.1672227084636688,validation_f1_max,0.4075157273992454,/home/infres/vmorozov/Misc/models/nn_global_full_tsn_embedding_fusion-tsn_embedding_fusion-epoch=07-val_ap=0.3449.ckpt,"{'validation': 'outputs/nn_global_full_tsn_embedding_fusion/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_tsn_embedding_fusion/legacy_sampled_predictions/test_predictions.parquet'}",Imported from outputs/nn_global_full_tsn_embedding_fusion/metrics.json. Primary full-grid status: adapter_required.,,,,,,,,0.0
nn_feature_ablation_tsn_full,neural_feature_ablation,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),Full neural feature set,completed,,0.19114938378334045,validation_f1_max,0.4310031173929755,/home/infres/vmorozov/Misc/models/nn_global_full_tsn-tsn_mlp-epoch=00-val_ap=0.3559.ckpt,"{'validation': 'outputs/nn_global_full_tsn/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_global_full_tsn/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'full' from outputs/nn_global_full_tsn/metrics.json.,,,,,,,,1.0
nn_feature_ablation_tsn_dynamic_sequence_only,neural_feature_ablation,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,completed,,0.06578469276428223,validation_f1_max,0.3276983541281334,/home/infres/vmorozov/Misc/models/nn_feature_ablation_tsn_dynamic_sequence_only-tsn_mlp-epoch=02-val_ap=0.1993.ckpt,"{'validation': 'outputs/nn_feature_ablation_tsn_dynamic_sequence_only/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_feature_ablation_tsn_dynamic_sequence_only/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'dynamic_sequence_only' from outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json.,,,,,,,,1.0
nn_feature_ablation_tsn_no_categorical_features,neural_feature_ablation,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),No categorical features,completed,,0.3163717985153198,validation_f1_max,0.44603064066810755,/home/infres/vmorozov/Misc/models/nn_feature_ablation_tsn_no_categorical_features-tsn_mlp-epoch=00-val_ap=0.3675.ckpt,"{'validation': 'outputs/nn_feature_ablation_tsn_no_categorical_features/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_feature_ablation_tsn_no_categorical_features/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'no_categorical_features' from outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json.,,,,,,,,1.0
nn_feature_ablation_tsn_no_dynamic_sequence,neural_feature_ablation,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,completed,,0.30573025345802307,validation_f1_max,0.4091280162508128,/home/infres/vmorozov/Misc/models/nn_feature_ablation_tsn_no_dynamic_sequence-tsn_mlp-epoch=12-val_ap=0.2984.ckpt,"{'validation': 'outputs/nn_feature_ablation_tsn_no_dynamic_sequence/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_feature_ablation_tsn_no_dynamic_sequence/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'no_dynamic_sequence' from outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json.,,,,,,,,1.0
nn_feature_ablation_tsn_no_static_features,neural_feature_ablation,primary_full_grid_calibrated,False,TemporalConvNet / TSN-MLP (global full),No static features,completed,,0.21946614980697632,validation_f1_max,0.4012441408628554,/home/infres/vmorozov/Misc/models/nn_feature_ablation_tsn_no_static_features-tsn_mlp-epoch=00-val_ap=0.3203.ckpt,"{'validation': 'outputs/nn_feature_ablation_tsn_no_static_features/legacy_sampled_predictions/validation_predictions.parquet', 'test': 'outputs/nn_feature_ablation_tsn_no_static_features/legacy_sampled_predictions/test_predictions.parquet'}",Imported neural feature ablation variant 'no_static_features' from outputs/nn_feature_ablation_tsn_no_static_features/metrics.json.,,,,,,,,1.0
