experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,status,feature_count,threshold,threshold_source,validation_f1_at_threshold,model_path,prediction_paths,notes,primary_full_grid_metrics,sample_weight,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_positive_class_weight,rf_max_features,is_main_nn_model
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,completed,258.0,1.0,validation_f1_max,0.4504574881,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/logistic_regression_full.joblib,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/logistic_regression_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/logistic_regression_full_test_predictions.parquet')}",Linear logistic model trained with SGDClassifier and train-only ordinal categorical encoding to keep the full feature table tractable.,"{'Model': 'Logistic Regression (linear SGD)', 'model': 'Logistic Regression (linear SGD)', 'model_name': 'Logistic Regression (linear SGD)', 'model_type': 'linear_sgd', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.07693781743950673, 'PR-AUC': 0.0005511782536813877, 'average_precision': 0.0005511782536813877, 'ROC-AUC': 0.8988558810872409, 'roc_auc': 0.8988558810872409, 'weighted_brier_score': 0.07607446108289317, 'Brier': 0.07607446108289317, 'weighted_logloss': 1.8252751322369989, 'reliability_ece': 0.07690163789144752, 'reliability_mce': 0.9993496420884349, 'reliability_rmse': 0.25384474104452087, 'daily_expected_observed_count_mae': 21642.747537051204, 'max_f1': 0.0012836835502674816, 'precision_at_max_f1': 0.0006424042413139484, 'recall_at_max_f1': 0.7330607476635514, 'threshold_at_max_f1': 0.999999999999, 'predicted_positive_grid_cells_at_max_f1': 21489584.146835327, 'calibration_intercept': -8.796658633065318, 'calibration_slope': 0.06285106999931686, 'expected_fire_positive_grid_cells': 29690968.88028907, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 1576.6232413067687, 'observed_prevalence_error': 1.7243998105269007e-12, 'average_precision_error': 6.544547265684483e-06, 'roc_auc_error': 0.004964175904427229, 'max_f1_error': 2.579340239415693e-05, 'weighted_brier_score_error': 0.0005451079706258439, 'weighted_logloss_error': 0.018865332455114157, 'expected_observed_count_ratio_error': 10.601908796220354, 'mean_calibrated_predicted_probability_error': 0.0005170433426459763}",,,,,,,
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,completed,258.0,0.32268098,validation_f1_max,0.4806634774,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/poisson_point_process_full.joblib,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/poisson_point_process_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/poisson_point_process_full_test_predictions.parquet')}",Poisson GLM estimates cell-day event intensity and converts it to ignition probability as 1-exp(-lambda); equal exposure is assumed for sampled grid-cell days.,"{'Model': 'Poisson Point-Process GLM', 'model': 'Poisson Point-Process GLM', 'model_name': 'Poisson Point-Process GLM', 'model_type': 'poisson_glm', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.0001679044154670991, 'PR-AUC': 0.0015171623528484378, 'average_precision': 0.0015171623528484378, 'ROC-AUC': 0.9320687771885061, 'roc_auc': 0.9320687771885061, 'weighted_brier_score': 4.9064679478489726e-05, 'Brier': 4.9064679478489726e-05, 'weighted_logloss': 0.0005198055710965342, 'reliability_ece': 0.00012195910555776449, 'reliability_mce': 0.001801035257239193, 'reliability_rmse': 0.0004180225405059162, 'daily_expected_observed_count_mae': 38.7018357657869, 'max_f1': 0.009472337086948822, 'precision_at_max_f1': 0.0059507050813317735, 'recall_at_max_f1': 0.02320518266779949, 'threshold_at_max_f1': 0.009894511078455638, 'predicted_positive_grid_cells_at_max_f1': 73436.67582702637, 'calibration_intercept': -0.07654203898656001, 'calibration_slope': 1.138779334792742, 'expected_fire_positive_grid_cells': 64795.76554347951, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.4407267174744853, 'observed_prevalence_error': 3.3708472488633787e-12, 'average_precision_error': 0.0016669751215377905, 'roc_auc_error': 0.005444091059953354, 'max_f1_error': 0.006044421171864948, 'weighted_brier_score_error': 4.756905738478695e-07, 'weighted_logloss_error': 8.439082405805932e-06, 'expected_observed_count_ratio_error': 0.04143423081179809, 'mean_calibrated_predicted_probability_error': 2.020706997147722e-06}",,,,,,,
catboost_full,main_model_comparison,legacy_sampled_case_control,False,CatBoost,all features,completed,258.0,0.497643269,validation_f1_max,0.5123005855,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_full.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_test_predictions.parquet')}",,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00013441488608306363, 'PR-AUC': 0.0030344720693525297, 'average_precision': 0.0030344720693525297, 'ROC-AUC': 0.9111798068974395, 'roc_auc': 0.9111798068974395, 'weighted_brier_score': 4.880209258772255e-05, 'Brier': 4.880209258772255e-05, 'weighted_logloss': 0.0004935634123692852, 'reliability_ece': 8.594299041678848e-05, 'reliability_mce': 0.0008233419730790134, 'reliability_rmse': 0.00020984666795279946, 'daily_expected_observed_count_mae': 30.079525083502684, 'max_f1': 0.02194135140301016, 'precision_at_max_f1': 0.02771022579591833, 'recall_at_max_f1': 0.018160577740016993, 'threshold_at_max_f1': 0.005986751613602123, 'predicted_positive_grid_cells_at_max_f1': 12342.014190673828, 'calibration_intercept': -0.09523744371225147, 'calibration_slope': 1.11188548933563, 'expected_fire_positive_grid_cells': 51871.86657079271, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.7544534075399696, 'observed_prevalence_error': 1.9091060234546766e-12, 'average_precision_error': 0.006584729955531754, 'roc_auc_error': 0.00458326636364294, 'max_f1_error': 0.005890185656741529, 'weighted_brier_score_error': 5.995271912001203e-09, 'weighted_logloss_error': 3.6973722171010373e-06, 'expected_observed_count_ratio_error': 0.042742824564027976, 'mean_calibrated_predicted_probability_error': 2.0845225929444713e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
catboost_deployment_weighted,main_model_comparison,legacy_sampled_case_control,False,CatBoost deployment-weighted,all features,completed,258.0,0.4626545382,validation_f1_max,0.3902775582,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_deployment_weighted.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_deployment_weighted_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_deployment_weighted_test_predictions.parquet')}",,"{'Model': 'CatBoost deployment-weighted', 'model': 'CatBoost deployment-weighted', 'model_name': 'CatBoost deployment-weighted', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00017817259892191642, 'PR-AUC': 0.00021088907683034438, 'average_precision': 0.00021088907683034438, 'ROC-AUC': 0.8116396253889256, 'roc_auc': 0.8116396253889256, 'weighted_brier_score': 4.887385842103174e-05, 'Brier': 4.887385842103174e-05, 'weighted_logloss': 0.0005807869059261632, 'reliability_ece': 0.00013922485350121393, 'reliability_mce': 0.0007564175303950163, 'reliability_rmse': 0.00027923538343496614, 'daily_expected_observed_count_mae': 41.76474760100631, 'max_f1': 0.0007754489545083898, 'precision_at_max_f1': 0.00038870552907735564, 'recall_at_max_f1': 0.1536214953271028, 'threshold_at_max_f1': 0.0009040181887214235, 'predicted_positive_grid_cells_at_max_f1': 7442652.042709351, 'calibration_intercept': -0.10231577233674918, 'calibration_slope': 1.121697654616232, 'expected_fire_positive_grid_cells': 68758.34623264358, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.6511441287512523, 'observed_prevalence_error': 1.0176243557116033e-12, 'average_precision_error': 9.809673814359933e-06, 'roc_auc_error': 0.007748435512715112, 'max_f1_error': 5.68963620233358e-05, 'weighted_brier_score_error': 2.6194461796775443e-09, 'weighted_logloss_error': 4.1909020005004385e-06, 'expected_observed_count_ratio_error': 0.023486415473873104, 'mean_calibrated_predicted_probability_error': 1.1454019135224528e-06}","{'sample_weight_column': 'sample_weight', 'used_sample_weight': True, 'sample_weight_power': 0.5, 'sample_weight_cap_quantile': 0.99, 'sample_weight_cap_value_after_power': 370.9184546500753, 'sample_weight_min_normalized': 0.011347368392277547, 'sample_weight_mean_normalized': 1.0000000000000002, 'sample_weight_max_normalized': 4.208948348408697, 'positive_weight_mean_normalized': 0.011347368392277546, 'negative_weight_mean_normalized': 1.166617311552205}",,,,,,
catboost_weather_only,main_model_comparison,legacy_sampled_case_control,False,Weather-only CatBoost,meteorology/history features only,completed,162.0,0.500519092,validation_f1_max,0.4533625825,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_weather_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_weather_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_weather_only_test_predictions.parquet')}",,"{'Model': 'Weather-only CatBoost', 'model': 'Weather-only CatBoost', 'model_name': 'Weather-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'meteorology/history features only', 'feature_set': 'meteorology/history features only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00017785276766844372, 'PR-AUC': 0.00030506100595532084, 'average_precision': 0.00030506100595532084, 'ROC-AUC': 0.8223757382848346, 'roc_auc': 0.8223757382848346, 'weighted_brier_score': 4.887291478528493e-05, 'Brier': 4.887291478528493e-05, 'weighted_logloss': 0.0005801620644973204, 'reliability_ece': 0.00013899627774476673, 'reliability_mce': 0.0007385811962663273, 'reliability_rmse': 0.00027614952810328414, 'daily_expected_observed_count_mae': 41.67825320364594, 'max_f1': 0.0015238206122081494, 'precision_at_max_f1': 0.000764862815445544, 'recall_at_max_f1': 0.1973768054375531, 'threshold_at_max_f1': 0.0009081440595144169, 'predicted_positive_grid_cells_at_max_f1': 4859695.00012207, 'calibration_intercept': -0.10225923561099642, 'calibration_slope': 1.121602619591761, 'expected_fire_positive_grid_cells': 68634.9205866975, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.644590090627522, 'observed_prevalence_error': 1.9317421629416095e-12, 'average_precision_error': 1.8233456848944122e-05, 'roc_auc_error': 0.006009173442786455, 'max_f1_error': 0.0001263441439715641, 'weighted_brier_score_error': 1.640706129780634e-09, 'weighted_logloss_error': 5.391724178265055e-06, 'expected_observed_count_ratio_error': 0.03484127505796709, 'mean_calibrated_predicted_probability_error': 1.6991643915236746e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
catboost_fwi_only,main_model_comparison,legacy_sampled_case_control,False,FWI-only CatBoost,fire-weather variables only,completed,40.0,0.464663872,validation_f1_max,0.3973849372,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_fwi_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_fwi_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_fwi_only_test_predictions.parquet')}",,"{'Model': 'FWI-only CatBoost', 'model': 'FWI-only CatBoost', 'model_name': 'FWI-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'fire-weather variables only', 'feature_set': 'fire-weather variables only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00017830636527849472, 'PR-AUC': 0.00026953579276485317, 'average_precision': 0.00026953579276485317, 'ROC-AUC': 0.822532698336615, 'roc_auc': 0.822532698336615, 'weighted_brier_score': 4.887318477058478e-05, 'Brier': 4.887318477058478e-05, 'weighted_logloss': 0.0005761429124323965, 'reliability_ece': 0.00014244906999871587, 'reliability_mce': 0.000702243570965118, 'reliability_rmse': 0.00027961291285913284, 'daily_expected_observed_count_mae': 41.799324564029575, 'max_f1': 0.0018370246753601357, 'precision_at_max_f1': 0.0009273159476951565, 'recall_at_max_f1': 0.09675021240441802, 'threshold_at_max_f1': 0.0010294541148609714, 'predicted_positive_grid_cells_at_max_f1': 1964810.3804626465, 'calibration_intercept': -0.10216742646794363, 'calibration_slope': 1.122753373402028, 'expected_fire_positive_grid_cells': 68809.96782631088, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.6538852923911893, 'observed_prevalence_error': 2.661596237456049e-12, 'average_precision_error': 1.08820622229391e-05, 'roc_auc_error': 0.005264807394283755, 'max_f1_error': 0.001162028130556011, 'weighted_brier_score_error': 2.0214416205831088e-09, 'weighted_logloss_error': 3.047720496800277e-06, 'expected_observed_count_ratio_error': 0.03356645826603333, 'mean_calibrated_predicted_probability_error': 1.636997450403994e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
random_forest_full,main_model_comparison,legacy_sampled_case_control,False,Random Forest,full features,completed,258.0,0.2174188197,validation_f1_max,0.4735964302,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/random_forest_full.joblib,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/random_forest_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/random_forest_full_test_predictions.parquet')}",Training capped to stratified 300000 rows for feasibility.,"{'Model': 'Random Forest', 'model': 'Random Forest', 'model_name': 'Random Forest', 'model_type': 'random_forest', 'Feature set': 'full features', 'feature_set': 'full features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.0001289359468502768, 'PR-AUC': 0.00099372752598542, 'average_precision': 0.00099372752598542, 'ROC-AUC': 0.9216203300644732, 'roc_auc': 0.9216203300644732, 'weighted_brier_score': 4.883864020406453e-05, 'Brier': 4.883864020406453e-05, 'weighted_logloss': 0.0004873000023682434, 'reliability_ece': 8.046939195655813e-05, 'reliability_mce': 0.0009234502477122601, 'reliability_rmse': 0.00022000545941434736, 'daily_expected_observed_count_mae': 28.681435397552313, 'max_f1': 0.011302200041118352, 'precision_at_max_f1': 0.007907090897869656, 'recall_at_max_f1': 0.019806711979609176, 'threshold_at_max_f1': 0.00843917641134269, 'predicted_positive_grid_cells_at_max_f1': 47172.848373413086, 'calibration_intercept': -0.0895139191579743, 'calibration_slope': 1.1074117455423655, 'expected_fire_positive_grid_cells': 49757.49657159361, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.642178025254546, 'observed_prevalence_error': 1.3750819553744503e-12, 'average_precision_error': 0.009147354171470336, 'roc_auc_error': 0.00596308846252888, 'max_f1_error': 0.013583287617419903, 'weighted_brier_score_error': 1.4422299113687336e-08, 'weighted_logloss_error': 3.7431084481630953e-06, 'expected_observed_count_ratio_error': 0.021127270432017682, 'mean_calibrated_predicted_probability_error': 1.0303494767096893e-06}",,120.0,18.0,20.0,4.0,,
ablation_full,feature_ablation,legacy_sampled_case_control,False,CatBoost,all features,completed,258.0,0.497643269,validation_f1_max,0.5123005855,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_full.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_full_test_predictions.parquet')}",,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00013441488608306363, 'PR-AUC': 0.0030344720693525297, 'average_precision': 0.0030344720693525297, 'ROC-AUC': 0.9111798068974395, 'roc_auc': 0.9111798068974395, 'weighted_brier_score': 4.880209258772255e-05, 'Brier': 4.880209258772255e-05, 'weighted_logloss': 0.0004935634123692852, 'reliability_ece': 8.594299041678848e-05, 'reliability_mce': 0.0008233419730790134, 'reliability_rmse': 0.00020984666795279946, 'daily_expected_observed_count_mae': 30.079525083502684, 'max_f1': 0.02194135140301016, 'precision_at_max_f1': 0.02771022579591833, 'recall_at_max_f1': 0.018160577740016993, 'threshold_at_max_f1': 0.005986751613602123, 'predicted_positive_grid_cells_at_max_f1': 12342.014190673828, 'calibration_intercept': -0.09523744371225147, 'calibration_slope': 1.11188548933563, 'expected_fire_positive_grid_cells': 51871.86657079271, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 2.7544534075399696, 'observed_prevalence_error': 1.9091060234546766e-12, 'average_precision_error': 0.006584729955531754, 'roc_auc_error': 0.00458326636364294, 'max_f1_error': 0.005890185656741529, 'weighted_brier_score_error': 5.995271912001203e-09, 'weighted_logloss_error': 3.6973722171010373e-06, 'expected_observed_count_ratio_error': 0.042742824564027976, 'mean_calibrated_predicted_probability_error': 2.0845225929444713e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_weather_only,feature_ablation,legacy_sampled_case_control,False,Weather-only CatBoost,meteorology/history features only,completed,162.0,0.500519092,validation_f1_max,0.4533625825,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_weather_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_weather_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_weather_only_test_predictions.parquet')}",,"{'Model': 'Weather-only CatBoost', 'model': 'Weather-only CatBoost', 'model_name': 'Weather-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'meteorology/history features only', 'feature_set': 'meteorology/history features only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00017785276766844372, 'PR-AUC': 0.00030506100595532084, 'average_precision': 0.00030506100595532084, 'ROC-AUC': 0.8223757382848346, 'roc_auc': 0.8223757382848346, 'weighted_brier_score': 4.887291478528493e-05, 'Brier': 4.887291478528493e-05, 'weighted_logloss': 0.0005801620644973204, 'reliability_ece': 0.00013899627774476673, 'reliability_mce': 0.0007385811962663273, 'reliability_rmse': 0.00027614952810328414, 'daily_expected_observed_count_mae': 41.67825320364594, 'max_f1': 0.0015238206122081494, 'precision_at_max_f1': 0.000764862815445544, 'recall_at_max_f1': 0.1973768054375531, 'threshold_at_max_f1': 0.0009081440595144169, 'predicted_positive_grid_cells_at_max_f1': 4859695.00012207, 'calibration_intercept': -0.10225923561099642, 'calibration_slope': 1.121602619591761, 'expected_fire_positive_grid_cells': 68634.9205866975, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.644590090627522, 'observed_prevalence_error': 1.9317421629416095e-12, 'average_precision_error': 1.8233456848944122e-05, 'roc_auc_error': 0.006009173442786455, 'max_f1_error': 0.0001263441439715641, 'weighted_brier_score_error': 1.640706129780634e-09, 'weighted_logloss_error': 5.391724178265055e-06, 'expected_observed_count_ratio_error': 0.03484127505796709, 'mean_calibrated_predicted_probability_error': 1.6991643915236746e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
ablation_fwi_only,feature_ablation,legacy_sampled_case_control,False,FWI-only CatBoost,fire-weather variables only,completed,40.0,0.464663872,validation_f1_max,0.3973849372,/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/models/catboost_fwi_only.cbm,"{'validation': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_fwi_only_validation_predictions.parquet'), 'test': PosixPath('/home/ids/vmorozov/revision_eval_storage/results/revision_experiments_complete_with_nns_no_latlon/predictions/catboost_fwi_only_test_predictions.parquet')}",,"{'Model': 'FWI-only CatBoost', 'model': 'FWI-only CatBoost', 'model_name': 'FWI-only CatBoost', 'model_type': 'CatBoost', 'Feature set': 'fire-weather variables only', 'feature_set': 'fire-weather variables only', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-01-01 to 2025-10-02', 'support': 1948285, 'weighted_support': 385908645.0341339, 'positives': 18832.0, 'observed_prevalence': 4.879911409689797e-05, 'mean_calibrated_predicted_probability': 0.00017830636527849472, 'PR-AUC': 0.00026953579276485317, 'average_precision': 0.00026953579276485317, 'ROC-AUC': 0.822532698336615, 'roc_auc': 0.822532698336615, 'weighted_brier_score': 4.887318477058478e-05, 'Brier': 4.887318477058478e-05, 'weighted_logloss': 0.0005761429124323965, 'reliability_ece': 0.00014244906999871587, 'reliability_mce': 0.000702243570965118, 'reliability_rmse': 0.00027961291285913284, 'daily_expected_observed_count_mae': 41.799324564029575, 'max_f1': 0.0018370246753601357, 'precision_at_max_f1': 0.0009273159476951565, 'recall_at_max_f1': 0.09675021240441802, 'threshold_at_max_f1': 0.0010294541148609714, 'predicted_positive_grid_cells_at_max_f1': 1964810.3804626465, 'calibration_intercept': -0.10216742646794363, 'calibration_slope': 1.122753373402028, 'expected_fire_positive_grid_cells': 68809.96782631088, 'observed_fire_positive_grid_cells': 18832.0, 'expected_observed_count_ratio': 3.6538852923911893, 'observed_prevalence_error': 2.661596237456049e-12, 'average_precision_error': 1.08820622229391e-05, 'roc_auc_error': 0.005264807394283755, 'max_f1_error': 0.001162028130556011, 'weighted_brier_score_error': 2.0214416205831088e-09, 'weighted_logloss_error': 3.047720496800277e-06, 'expected_observed_count_ratio_error': 0.03356645826603333, 'mean_calibrated_predicted_probability_error': 1.636997450403994e-06}","{'sample_weight_column': None, 'used_sample_weight': False}",,,,,,
