experiment_id,experiment,variant,model,feature_set,region,region_display,period,support,positives,positive_rate,predicted_positives,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics,delta_average_precision_vs_full,delta_f1_vs_full
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,central_asia,Central Asia,2021,10197,903,0.08855545748749633,10186,0.08865108973100334,1.0,0.16286409955812067,4.711983199251318e-05,0.08094783182638637,0.002174080349642161,0.465887743339813,0.08275402663344869,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.26481893382864335,0.06775729698255839
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,central_asia,Central Asia,2021,10197,903,0.08855545748749633,6902,0.1303969863807592,0.9966777408637874,0.23062139654067906,0.0012460945064521373,0.34576676565502973,0.01723684526357255,0.8303594216824058,0.12534426862173403,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,central_asia,Central Asia,2021,10197,903,0.08855545748749633,5207,0.1630497407336278,0.9401993355481728,0.2779050736497545,0.002970786462790029,0.31569847412298047,0.012937205151414539,0.8214749224365332,0.12272617253675963,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,0.030068291532049263,-0.04728367710907541
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,central_asia,Central Asia,2021,10197,903,0.08855545748749633,5820,0.14398625429553263,0.9280177187153932,0.24929347017700432,0.001115966676220033,0.23761924201963947,0.00796931050467453,0.775043664079351,0.13341598896567392,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.10814752363539026,-0.018672073636325254
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,central_asia,Central Asia,2021,10197,903,0.08855545748749633,7403,0.11900580845603134,0.9756367663344407,0.21213580544184926,0.0007487980494319012,0.2962003244204951,0.013962275970170909,0.777945844864487,0.1365338007154141,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.04956644123453463,0.0184855910988298
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,central_asia,Central Asia,2021-2023,29340,2012,0.06857532379004772,29315,0.06863380521917108,1.0,0.12845149551505092,2.0007189718584714e-05,0.0709765751979757,0.0006900849670852242,0.521343633893361,0.0673592085549926,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.21993367053042343,0.06129696200749299
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,central_asia,Central Asia,2021-2023,29340,2012,0.06857532379004772,19058,0.10489033476755169,0.9935387673956262,0.1897484575225439,0.0007219946606091472,0.29091024572839913,0.009168298590254037,0.8360408301799275,0.1182175870196582,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,central_asia,Central Asia,2021-2023,29340,2012,0.06857532379004772,14014,0.13422291993720564,0.9348906560636183,0.2347435417446649,0.002480558373025721,0.28400659579347776,0.010915740629755333,0.8324107608447675,0.11464759007907845,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,0.006903649934921374,-0.04499508422212101
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,central_asia,Central Asia,2021-2023,29340,2012,0.06857532379004772,16114,0.11443465309668611,0.9165009940357853,0.20346463643385193,0.0003218043917341083,0.20472423656007305,0.0076584826868594325,0.7782945095091046,0.1274420875578624,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.08618600916832608,-0.013716178911308025
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,central_asia,Central Asia,2021-2023,29340,2012,0.06857532379004772,20935,0.09424408884642943,0.9806163021868787,0.17196147644572277,0.0007914991809125749,0.2451453777797736,0.003973900738995336,0.803568855092513,0.12974975062618063,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.045764867948625526,0.01778698107682114
