experiment,status,reason,precision,recall,f1,f1_error,average_precision,average_precision_error,model,feature_set,region,region_display,period,support,positives,negatives,positive_rate,predicted_positives,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics
LSTM-MLP full current model,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Simple concatenation / one-hot categorical variables,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Learned categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal-only LSTM branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Static-only MLP branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Minimal MLP baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
FT-Transformer baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic + static without categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM gated MoE (global full),,,0.4195290462,0.8894681293000001,0.5701428894,0.0030304897,0.5633756335,0.0058441147,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,66291.0,0.822202934,0.1528839923,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),,,0.2588315217,0.9292682927,0.4048884166,0.0020012961,0.4097469277,0.0078864287,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,4416.0,0.871061466,0.1137697781,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),,,0.1225475026,0.7910507391,0.2122186495,0.0021702051,0.2713345358,0.0095893014,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,16157.0,0.8233672999999999,0.0867972471,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),,,0.1940231936,0.7636938202,0.3094323517,0.002386561,0.2908173874,0.0092661709,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,11210.0,0.8765131976,0.0581783875,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM static concat (global full),,,0.3750715597,0.7674597084,0.5038852203,0.0006942992,0.4374845872,0.0030066256,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,101314.0,0.8468918107000001,0.1140702047,0.320505619,0.320505619,legacy_sampled_case_control,0.0,1185561.0,lstm_mlp,outputs/nn_global_full_lstm_static_concat/metrics.json
LSTM static concat (global full),,,0.4422649208,0.8458438609000001,0.5808314849,0.0045802517,0.4874550147,0.0079950279,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,59799.0,0.806922243,0.1563807126,0.320505619,0.320505619,legacy_sampled_case_control,0.0,1185561.0,lstm_mlp,outputs/nn_global_full_lstm_static_concat/metrics.json
LSTM static concat (global full),,,0.282626539,0.8398373984,0.4229273286,0.0033498998,0.3921855877,0.0175364391,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,3655.0,0.8586953629,0.1189371976,0.320505619,0.320505619,legacy_sampled_case_control,0.0,1185561.0,lstm_mlp,outputs/nn_global_full_lstm_static_concat/metrics.json
LSTM static concat (global full),,,0.1475588309,0.7039552537,0.2439767377,0.0011228251,0.287405016,0.0057449145,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,11941.0,0.8368889405000001,0.0808714183,0.320505619,0.320505619,legacy_sampled_case_control,0.0,1185561.0,lstm_mlp,outputs/nn_global_full_lstm_static_concat/metrics.json
LSTM static concat (global full),,,0.233527733,0.6608146067,0.3450994774,0.0017791189,0.3339792297,0.008320281,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,8059.0,0.8879115225,0.053546997,0.320505619,0.320505619,legacy_sampled_case_control,0.0,1185561.0,lstm_mlp,outputs/nn_global_full_lstm_static_concat/metrics.json
Minimal MLP (global full),,,0.3672254539,0.8198085390000001,0.5072383178000001,0.002736429,0.470318565,0.0030816157,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,110537.0,0.8518846384000001,0.1088568329,0.2953715026,0.2953715026,legacy_sampled_case_control,0.0,1185561.0,minimal_mlp,outputs/nn_global_full_minimal_mlp/metrics.json
Minimal MLP (global full),,,0.4218782965,0.8953529280000001,0.5735211268,0.0018398327,0.5300491311000001,0.0039840963,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,66358.0,0.8129864016,0.1501650912,0.2953715026,0.2953715026,legacy_sampled_case_control,0.0,1185561.0,minimal_mlp,outputs/nn_global_full_minimal_mlp/metrics.json
Minimal MLP (global full),,,0.2627179365,0.8943089431000001,0.4061288536,0.0030156974,0.3911873374,0.0221426058,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,4187.0,0.8606336476,0.1172295435,0.2953715026,0.2953715026,legacy_sampled_case_control,0.0,1185561.0,minimal_mlp,outputs/nn_global_full_minimal_mlp/metrics.json
Minimal MLP (global full),,,0.1562245728,0.6903715541000001,0.2547920967,0.0061765621,0.2618807825,0.0114192879,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,11061.0,0.8329387587,0.0717160616,0.2953715026,0.2953715026,legacy_sampled_case_control,0.0,1185561.0,minimal_mlp,outputs/nn_global_full_minimal_mlp/metrics.json
Minimal MLP (global full),,,0.2458278915,0.5948033708,0.3478796591,0.0082578007,0.3130030218,0.004505359,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,6891.0,0.8760016162,0.051072397,0.2953715026,0.2953715026,legacy_sampled_case_control,0.0,1185561.0,minimal_mlp,outputs/nn_global_full_minimal_mlp/metrics.json
Spatial climate TSN-MLP (global full),,,0.5204029454,0.8221513107,0.6373671108,0.0028076675,0.6915402662,0.0026667909,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,78224.0,0.9151716112,0.0926744533,0.4269461036,0.4269461036,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn/metrics.json
Spatial climate TSN-MLP (global full),,,0.6059882398,0.8602680142,0.7110793877,0.0021135328,0.7548509283,0.0039425333,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,44387.0,0.9070124913,0.1122696509,0.4269461036,0.4269461036,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn/metrics.json
Spatial climate TSN-MLP (global full),,,0.4090719933,0.7991869919,0.5411505643,0.0092725346,0.6083816206,0.0117690428,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,2403.0,0.9111895894,0.0956597985,0.4269461036,0.4269461036,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn/metrics.json
Spatial climate TSN-MLP (global full),,,0.225121738,0.7203355973000001,0.3430365297,0.0032737862,0.4225040541,0.0075652943,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,8009.0,0.8843350334000001,0.0833519808,0.4269461036,0.4269461036,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn/metrics.json
Spatial climate TSN-MLP (global full),,,0.2224222586,0.4771769663,0.3034159411,0.0082383264,0.2990934134,0.0093641227,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,6110.0,0.8432401737,0.0721472566,0.4269461036,0.4269461036,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn/metrics.json
Spatial climate TSN-MLP (ECMWF global full),,,0.3023630655,0.8713899099,0.4489464648,0.0020098685,0.4981894773,0.006011489,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,142696.0,0.8456781622,0.1185037453,0.2851233482,0.2851233482,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json
Spatial climate TSN-MLP (ECMWF global full),,,0.4013384622,0.8976236927000001,0.5546749936,0.0012632581,0.5823210295,0.0064422001,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,69931.0,0.8264415811,0.1479240343,0.2851233482,0.2851233482,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json
