experiment_id,experiment,variant,model,feature_set,region,region_display,period,support,positives,positive_rate,predicted_positives,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics,delta_average_precision_vs_full,delta_f1_vs_full
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,central_asia,Central Asia,2021-2025,45961,2503,0.05445921542177063,45929,0.05449715865792854,1.0,0.1033614139411959,6.981024898583342e-06,0.05548196860088947,0.0018728411237312074,0.5060426958403287,0.05701811219258214,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.216219852309972,0.053376219516381954
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,central_asia,Central Asia,2021-2025,45961,2503,0.05445921542177063,29155,0.08509689590121763,0.9912105473431881,0.15673763345757785,0.0005327518424885228,0.2717018209108615,0.006982185017207716,0.8412475373332203,0.11178935507344281,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,central_asia,Central Asia,2021-2025,45961,2503,0.05445921542177063,21111,0.10890057316091137,0.9184978026368358,0.1947149995765224,0.0005071659119120051,0.2568692074204002,0.005088744014339997,0.833221580097716,0.10998140583976182,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,0.014832613490461277,-0.03797736611894456
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,central_asia,Central Asia,2021-2025,45961,2503,0.05445921542177063,25214,0.08899817561672087,0.8965241709948062,0.16192228596168418,0.001465084632879663,0.15727000466606558,0.005845729646800463,0.7588426586333779,0.12597332484063636,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.1144318162447959,-0.005184652504106324
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,central_asia,Central Asia,2021-2025,45961,2503,0.05445921542177063,32071,0.07661126874746656,0.981622053535757,0.14212992422051252,0.0007509338449138884,0.22717962131831046,0.0070743243119618295,0.808774190011059,0.12144093753803478,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.04452219959255102,0.014607709237065336
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,127878,0.2444282832074321,0.9996801739853519,0.3928115869175909,5.843035573645523e-05,0.27958016913436334,0.0008056316941055925,0.5540935226973333,0.19334923518343575,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.24662954116191937,0.11008213090082308
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,87784,0.3410074728879978,0.9573991748488823,0.502893717818414,0.0009217196788251689,0.5262097102962827,0.00479071463791944,0.8099977034801894,0.1516935143099155,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,77263,0.3806867452726402,0.940704256884255,0.5420252464756289,0.0006141491341700032,0.5482833880774078,0.003693748013029097,0.8169634031542379,0.15931569549548472,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,-0.022073677781125123,-0.03913152865721492
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,85455,0.33436311508981337,0.9138388716538203,0.4895906512911019,0.0006310993954261372,0.3987066290208956,0.0016263624090102442,0.7326676330903821,0.17392653725586718,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.12750308127538712,0.013303066527312057
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,84132,0.34535016402795604,0.9292544855598555,0.5035572231995078,0.0015841091334414937,0.4845814960329801,0.0024691463607127194,0.782524788797121,0.15759360653196314,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.0416282142633026,-0.0006635053810938318
