model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
CatBoost,all features,Central Asia,2021,10197,903,0.0885554575,0.1856646669,0.6511627907,0.2889434889,0.0057892036,0.2262643813,0.0104374321,0.7839948301,0.1624926675,0.497643269
CatBoost,all features,Central Asia,2021-2023,29340,2012,0.0685753238,0.1692267297,0.6406560636,0.2677328902,0.003026976,0.20470099,0.0069081135,0.8019146901,0.1468575508,0.497643269
CatBoost,all features,Central Asia,2021-2025,45961,2503,0.0544592154,0.1467412642,0.5972832601,0.2356000315,0.0026716994,0.1788763558,0.0028099731,0.8067160357000001,0.1375345245,0.497643269
CatBoost,all features,Central Asia,2022,9862,698,0.0707767187,0.1821207798,0.5487106017,0.2734737594,0.0102627688,0.2213773692,0.0116164022,0.7917393369,0.1380396988,0.497643269
CatBoost,all features,Central Asia,2023,9281,411,0.0442840211,0.1354921176,0.7737226277,0.2306018854,0.0051481071,0.1673871156,0.0130509078,0.8369292045000001,0.139049165,0.497643269
CatBoost,all features,Central Asia,2024,9003,187,0.0207708542,0.0627090301,0.4010695187,0.1084598698,0.0113859536,0.0800729843,0.0111001879,0.8308647622,0.1111696764,0.497643269
CatBoost,all features,Central Asia,2025,7618,304,0.039905487,0.0952727273,0.4309210526,0.156045265,0.0094246165,0.0891823086,0.004635076,0.7412903606,0.1327859207,0.497643269
CatBoost,all features,Eastern Siberia,2021,44639,19789,0.4433119021,0.5908855673,0.9808479458,0.7374900262,0.0017818389,0.7341217126,0.00403878,0.8116281844000001,0.2015233927,0.497643269
CatBoost,all features,Eastern Siberia,2021-2023,82438,22636,0.2745821102,0.4825683134,0.950256229,0.6400833209,0.0012067201,0.6854637090000001,0.0026755916,0.8716205421000001,0.1852690883,0.497643269
CatBoost,all features,Eastern Siberia,2021-2025,128260,31267,0.2437782629,0.4505179807,0.9207471136,0.6050079333,0.0026065488,0.6469828931,0.0050884115,0.8645175461,0.1834811901,0.497643269
CatBoost,all features,Eastern Siberia,2022,18946,1456,0.0768499947,0.1852073365,0.6380494505000001,0.2870828183,0.0081662357,0.2538830688,0.0055128454,0.8165229817,0.1531781595,0.497643269
CatBoost,all features,Eastern Siberia,2023,18853,1391,0.0737813611,0.1745416605,0.8418404026,0.2891358025,0.0039034042,0.3289279273,0.0156429805,0.838236109,0.1790323538,0.497643269
CatBoost,all features,Eastern Siberia,2024,26660,6189,0.2321455364,0.3828200731,0.8295362740000001,0.523877551,0.0015797661,0.4944269058,0.0017892392,0.7855373383,0.2003774371,0.497643269
CatBoost,all features,Eastern Siberia,2025,19162,2442,0.1274397245,0.3625147879,0.8783783784,0.5132192846,0.0043261012,0.5702047881,0.0057033471,0.8980305773,0.1522816962,0.497643269
CatBoost,all features,Europe,2021,11926,847,0.071021298,0.366030881,0.4757969303,0.4137577002,0.0091507495,0.3217030754,0.0095154497,0.8827009053,0.0842992619,0.497643269
CatBoost,all features,Europe,2021-2023,32712,1723,0.0526718024,0.2755874154,0.4016250725,0.3268776571,0.0078284478,0.2385367851,0.0026242233,0.8760828525000001,0.0757033909,0.497643269
CatBoost,all features,Europe,2021-2025,52062,2848,0.0547040068,0.2597521799,0.3974719101,0.3141826256,0.0039925702,0.2311038606,0.004345299,0.8591934986,0.0787450415,0.497643269
CatBoost,all features,Europe,2022,10330,382,0.0369796709,0.1600587372,0.2853403141,0.2050799624,0.0174634549,0.148373028,0.0169476327,0.8580285021,0.0702473978,0.497643269
CatBoost,all features,Europe,2023,10456,494,0.0472456006,0.2469135802,0.3643724696,0.2943581357,0.0068878366,0.2047650052,0.0096512102,0.8735217104,0.0712892795,0.497643269
CatBoost,all features,Europe,2024,10472,493,0.0470779221,0.2042889391,0.3671399594,0.2625090645,0.0094722971,0.1940140109,0.0055639971,0.8328032479,0.0783945241,0.497643269
CatBoost,all features,Europe,2025,8878,632,0.0711872043,0.2695109261,0.4098101266,0.3251726303,0.0161180579,0.2521395528,0.0143536418,0.8295136192,0.0903658001,0.497643269
CatBoost,all features,Far East,2021,2141,270,0.1261092947,0.3582342954,0.7814814815000001,0.4912689173,0.0197342543,0.4682411849,0.0297237757,0.8573074411,0.1456806814,0.497643269
CatBoost,all features,Far East,2021-2023,6484,795,0.1226095003,0.3358425014,0.7295597484,0.4599524187,0.0074606921,0.3999072192,0.0140963613,0.8439954187,0.1454545785,0.497643269
CatBoost,all features,Far East,2021-2025,10457,1230,0.1176245577,0.3126614987,0.6886178862,0.4300583905,0.0119292344,0.3748286968,0.0129214934,0.8387397449,0.1459205221,0.497643269
CatBoost,all features,Far East,2022,2076,192,0.0924855491,0.2725321888,0.6614583333,0.3860182371,0.0273581635,0.3346445176,0.0277870759,0.8368027910000001,0.136732911,0.497643269
CatBoost,all features,Far East,2023,2267,333,0.1468901632,0.3601190476,0.7267267267,0.4815920398,0.0108433918,0.3797604252,0.0121658476,0.8309227014,0.1532278892,0.497643269
CatBoost,all features,Far East,2024,2229,298,0.1336922387,0.2608695652,0.6442953020000001,0.3713733075,0.020421679,0.3096078235,0.0146396325,0.7852661798,0.1765546362,0.497643269
CatBoost,all features,Far East,2025,1744,137,0.0785550459,0.3048780488,0.5474452555,0.3916449086,0.0262148994,0.4040165565,0.0421801912,0.875549035,0.1084995005,0.497643269
CatBoost,all features,Global,2021,87238,24772,0.2839588253,0.5238193821,0.9192636848,0.6673602462,0.0019639512,0.6811049477000001,0.0023914935,0.8677985012,0.1700397529,0.497643269
CatBoost,all features,Global,2021-2023,206438,36593,0.1772590318,0.4265652109,0.853305277,0.5687924659,0.0020999426,0.5975421246,0.0051754985,0.8796483074,0.1502621147,0.497643269
CatBoost,all features,Global,2021-2025,321173,49514,0.1541661348,0.399622775,0.8215858141,0.5377040513,0.0016801979,0.5620243065,0.0054312443,0.8765072244000001,0.1444730512,0.497643269
CatBoost,all features,Global,2022,58312,4923,0.0844251612,0.2479033881,0.6004468820000001,0.350923013,0.0034048179,0.2812302,0.004626682,0.8319078045,0.1272898812,0.497643269
CatBoost,all features,Global,2023,60888,6898,0.113289975,0.3087508425,0.7968976515,0.4450651769,0.0028136888,0.4248719406,0.0071743656,0.8566736798,0.1439258134,0.497643269
CatBoost,all features,Global,2024,65063,9134,0.1403870095,0.3491574939,0.7327567331,0.4729533972,0.0032521657,0.4396298565,0.0078125872,0.8401260362,0.1455833836,0.497643269
CatBoost,all features,Global,2025,49672,3787,0.0762401353,0.2930193083,0.7293372062,0.4180731098,0.0028537446,0.4568351911,0.0079201428,0.8736246277,0.1189591949,0.497643269
CatBoost deployment-weighted,all features,Central Asia,2021,10197,903,0.0885554575,0.1058598726,0.9202657807,0.1898777562,0.0014043376,0.1117897371,0.0046398382,0.591300166,0.2180864807,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2021-2023,29340,2012,0.0685753238,0.0780445578,0.8513916501000001,0.1429823463,0.0023482828,0.0934139564,0.0044224653,0.5948502577,0.2165048555,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2021-2025,45961,2503,0.0544592154,0.0604675385,0.8349980024,0.1127687701,0.0012195865,0.07192057,0.0023212785,0.5814541396,0.2155573374,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2022,9862,698,0.0707767187,0.0785267547,0.8094555874,0.1431648296,0.0021196138,0.1044837701,0.0029820019,0.6076111957,0.2165592656,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2023,9281,411,0.0442840211,0.0459154114,0.7712895377000001,0.0866712235,0.0028087653,0.0642760371,0.0042613662,0.5751477821000001,0.2147093136,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2024,9003,187,0.0207708542,0.0184672207,0.6417112299000001,0.0359012715,0.0025646726,0.0296846207,0.0021826372,0.5554254782,0.2127747608,0.4626545382
CatBoost deployment-weighted,all features,Central Asia,2025,7618,304,0.039905487,0.0420140592,0.8453947368,0.0800498365,0.0015244191,0.0442178117,0.001972877,0.5086997449,0.2151965282,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2021,44639,19789,0.4433119021,0.4898683884,0.9968669463,0.6569206947,0.0006238209,0.5784269790000001,0.002463314,0.6794678679,0.2457574624,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2021-2023,82438,22636,0.2745821102,0.323980334,0.9839635978,0.4874595115,0.0006289994,0.3994648972,0.0007633945,0.6881927751,0.2327993324,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2021-2025,128260,31267,0.2437782629,0.286698498,0.9755652925,0.4431610986,0.0008602671,0.3383547421,0.0021643279,0.6657702409,0.2306006212,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2022,18946,1456,0.0768499947,0.0924064768,0.9093406593,0.1677648251,0.0010408091,0.0926216784,0.0029173128,0.5627237739000001,0.2175661341,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2023,18853,1391,0.0737813611,0.086360424,0.8785046729,0.1572614375,0.0017423004,0.1187022444,0.0055409282,0.6493890688,0.2174261935,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2024,26660,6189,0.2321455364,0.2728017104,0.9689772176,0.4257418714,0.0015333025,0.2867784064,0.0023426797,0.6220866465,0.229674216,0.4626545382
CatBoost deployment-weighted,all features,Eastern Siberia,2025,19162,2442,0.1274397245,0.1425652812,0.9144144144,0.24667219,0.0012891368,0.2480269578,0.0035177107,0.5740164643,0.2224303156,0.4626545382
CatBoost deployment-weighted,all features,Europe,2021,11926,847,0.071021298,0.1022995649,0.9716646989,0.1851102114,0.0014214101,0.1133101163,0.0016808817,0.687560296,0.215140244,0.4626545382
