experiment,model,feature_set,region,region_display,period,support,positives,negatives,positive_rate,predicted_positives,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics
FT-Transformer (global full),Neural,global full NN features,global,Global,2021,87238,24772,62466,0.2839588253,49448,0.4495834007,0.8974245115,0.5990568580000001,0.0017708814,0.5813307729,0.0022413396,0.8086770099,0.162284394,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021,44639,19789,24850,0.4433119021,32430,0.5534998458,0.9070695841,0.6874892281,0.0010863461,0.6485319458000001,0.0037509842,0.7407756347000001,0.2164616786,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2021,2141,270,1871,0.1261092947,1161,0.21791559,0.937037037,0.3535988819,0.0051840453,0.4490800664,0.0234694444,0.8619811153,0.1322626851,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2021,10197,903,9294,0.0885554575,4814,0.1645201496,0.8770764120000001,0.2770683925,0.0030132219,0.3086999133,0.0145568559,0.8089548479,0.1003808658,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2021,11926,847,11079,0.071021298,3715,0.2067294751,0.906729634,0.3366944323,0.0025796679,0.270594057,0.0117183745,0.8693229573,0.0685957329,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,global,Global,2022,58312,4923,53389,0.0844251612,21356,0.1957295374,0.8490757668000001,0.3181247384,0.001428286,0.2431916761,0.0017948168,0.8214905602,0.0927373187,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2022,18946,1456,17490,0.0768499947,7264,0.1672632159,0.8344780220000001,0.2786697248,0.0051590523,0.1654444387,0.0056152801,0.7782630106,0.1029527892,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2022,2076,192,1884,0.0924855491,980,0.1806122449,0.921875,0.3020477816,0.0062167354,0.2484253793,0.0180585609,0.8066005396,0.1218054651,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2022,9862,698,9164,0.0707767187,4367,0.1449507671,0.9068767908,0.2499506417,0.0035275796,0.2941063562,0.0114571178,0.8364804849,0.0903784025,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2022,10330,382,9948,0.0369796709,2520,0.1285714286,0.8481675393,0.2232942798,0.0041506479,0.3346041672,0.0213956717,0.8978591819,0.0478953437,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
