experiment_id,experiment_type,model,feature_set,split,region,region_display,support,positives,threshold,metric,value
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,eastern_siberia,Eastern Siberia,44639,19789,0.14228679239749908,recall,0.9763504977512759
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,far_east,Far East,2141,270,0.14228679239749908,recall,0.9185185185185185
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,central_asia,Central Asia,10197,903,0.14228679239749908,recall,0.964562569213732
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,europe,Europe,11926,847,0.14228679239749908,recall,0.9055489964580874
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,global,Global,58312,4923,0.14228679239749908,recall,0.9173268332317692
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,eastern_siberia,Eastern Siberia,18946,1456,0.14228679239749908,recall,0.9436813186813187
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,far_east,Far East,2076,192,0.14228679239749908,recall,0.9895833333333334
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,central_asia,Central Asia,9862,698,0.14228679239749908,recall,0.9713467048710601
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,europe,Europe,10330,382,0.14228679239749908,recall,0.8717277486910995
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,global,Global,60888,6898,0.14228679239749908,recall,0.9034502754421572
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,eastern_siberia,Eastern Siberia,18853,1391,0.14228679239749908,recall,0.8677210639827462
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,far_east,Far East,2267,333,0.14228679239749908,recall,0.8798798798798799
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,central_asia,Central Asia,9281,411,0.14228679239749908,recall,0.9391727493917275
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,europe,Europe,10456,494,0.14228679239749908,recall,0.9352226720647774
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,global,Global,65063,9134,0.14228679239749908,recall,0.8168381869936501
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,eastern_siberia,Eastern Siberia,26660,6189,0.14228679239749908,recall,0.8781709484569398
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,far_east,Far East,2229,298,0.14228679239749908,recall,0.9630872483221476
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,central_asia,Central Asia,9003,187,0.14228679239749908,recall,0.9679144385026738
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,europe,Europe,10472,493,0.14228679239749908,recall,0.8336713995943205
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,global,Global,49672,3787,0.14228679239749908,recall,0.9202534988117244
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,eastern_siberia,Eastern Siberia,19162,2442,0.14228679239749908,recall,0.9696969696969697
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,far_east,Far East,1744,137,0.14228679239749908,recall,1.0
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,central_asia,Central Asia,7618,304,0.14228679239749908,recall,0.875
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,europe,Europe,8878,632,0.14228679239749908,recall,0.875
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,global,Global,206438,36593,0.14228679239749908,recall,0.9504003497936764
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,eastern_siberia,Eastern Siberia,82438,22636,0.14228679239749908,recall,0.9675737762855628
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,far_east,Far East,6484,795,0.14228679239749908,recall,0.919496855345912
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,central_asia,Central Asia,29340,2012,0.14228679239749908,recall,0.9617296222664016
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,europe,Europe,32712,1723,0.14228679239749908,recall,0.9065583284968078
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,global,Global,321173,49514,0.14228679239749908,recall,0.9234559922446177
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,recall,0.9500431765119774
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,far_east,Far East,10457,1230,0.14228679239749908,recall,0.9390243902439024
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,central_asia,Central Asia,45961,2503,0.14228679239749908,recall,0.951658010387535
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,europe,Europe,52062,2848,0.14228679239749908,recall,0.886938202247191
random_forest_full,main_model_comparison,Random Forest,full features,validation,global,Global,147424,28826,0.14228679239749908,f1,0.46486687840646196
random_forest_full,main_model_comparison,Random Forest,full features,test,global,Global,321173,49514,0.14228679239749908,f1,0.43949959869853367
random_forest_full,main_model_comparison,Random Forest,full features,test,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,f1,0.5383925253971562
random_forest_full,main_model_comparison,Random Forest,full features,test,far_east,Far East,10457,1230,0.14228679239749908,f1,0.3387096774193548
random_forest_full,main_model_comparison,Random Forest,full features,test,central_asia,Central Asia,45961,2503,0.14228679239749908,f1,0.18398084498339384
random_forest_full,main_model_comparison,Random Forest,full features,test,europe,Europe,52062,2848,0.14228679239749908,f1,0.25861274635270026
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,global,Global,87238,24772,0.14228679239749908,f1,0.5982299563090482
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,eastern_siberia,Eastern Siberia,44639,19789,0.14228679239749908,f1,0.7010395312131492
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,far_east,Far East,2141,270,0.14228679239749908,f1,0.3570914326853852
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,central_asia,Central Asia,10197,903,0.14228679239749908,f1,0.2607003891050584
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,europe,Europe,11926,847,0.14228679239749908,f1,0.2935323383084577
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,global,Global,58312,4923,0.14228679239749908,f1,0.3123314198768933
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,eastern_siberia,Eastern Siberia,18946,1456,0.14228679239749908,f1,0.2799225832739126
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,far_east,Far East,2076,192,0.14228679239749908,f1,0.2837938760268857
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,central_asia,Central Asia,9862,698,0.14228679239749908,f1,0.23215202876219826
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,europe,Europe,10330,382,0.14228679239749908,f1,0.20441988950276244
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,global,Global,60888,6898,0.14228679239749908,f1,0.3448905614433161
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,eastern_siberia,Eastern Siberia,18853,1391,0.14228679239749908,f1,0.2194146518814761
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,far_east,Far East,2267,333,0.14228679239749908,f1,0.3584097859327217
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,central_asia,Central Asia,9281,411,0.14228679239749908,f1,0.14978657353511834
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,europe,Europe,10456,494,0.14228679239749908,f1,0.25468577728776187
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,global,Global,65063,9134,0.14228679239749908,f1,0.3790965906203953
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,eastern_siberia,Eastern Siberia,26660,6189,0.14228679239749908,f1,0.4763156741597651
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,far_east,Far East,2229,298,0.14228679239749908,f1,0.3541024059222702
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,central_asia,Central Asia,9003,187,0.14228679239749908,f1,0.08658215737861756
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,europe,Europe,10472,493,0.14228679239749908,f1,0.21262286601138128
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,global,Global,49672,3787,0.14228679239749908,f1,0.2989235321868165
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,eastern_siberia,Eastern Siberia,19162,2442,0.14228679239749908,f1,0.40876920421198
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,far_east,Far East,1744,137,0.14228679239749908,f1,0.3277511961722488
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,central_asia,Central Asia,7618,304,0.14228679239749908,f1,0.13181367690782952
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,europe,Europe,8878,632,0.14228679239749908,f1,0.310936182175991
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,global,Global,206438,36593,0.14228679239749908,f1,0.47839663259831905
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,eastern_siberia,Eastern Siberia,82438,22636,0.14228679239749908,f1,0.5768238082696866
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,far_east,Far East,6484,795,0.14228679239749908,f1,0.33509053403621364
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,central_asia,Central Asia,29340,2012,0.14228679239749908,f1,0.21892855122475532
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,europe,Europe,32712,1723,0.14228679239749908,f1,0.25792602377807133
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,global,Global,321173,49514,0.14228679239749908,f1,0.43949959869853367
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,f1,0.5383925253971562
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,far_east,Far East,10457,1230,0.14228679239749908,f1,0.3387096774193548
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,central_asia,Central Asia,45961,2503,0.14228679239749908,f1,0.18398084498339384
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,europe,Europe,52062,2848,0.14228679239749908,f1,0.25861274635270026
random_forest_full,main_model_comparison,Random Forest,full features,validation,global,Global,147424,28826,0.14228679239749908,average_precision,0.37339008742895324
random_forest_full,main_model_comparison,Random Forest,full features,test,global,Global,321173,49514,0.14228679239749908,average_precision,0.46415168749338614
random_forest_full,main_model_comparison,Random Forest,full features,test,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,average_precision,0.5355128063639194
random_forest_full,main_model_comparison,Random Forest,full features,test,far_east,Far East,10457,1230,0.14228679239749908,average_precision,0.4260834378102696
