Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold
Random Forest,full features,Central Asia,45961,2503,0.10183403873284597,0.951658010387535,0.18398084498339384,0.0017374613008586557,0.2600870587929137,0.01363037939614537,0.8402359986369708,0.08497220035026846,0.14228679239749908
Random Forest,full features,Eastern Siberia,128260,31267,0.37563227111785535,0.9500431765119774,0.5383925253971562,0.0005944391282392567,0.5355128063639194,0.00411466219123793,0.8219354830798014,0.14448179576612918,0.14228679239749908
Random Forest,full features,Europe,52062,2848,0.15137532210702942,0.886938202247191,0.25861274635270026,0.0026997993482431068,0.283498885068607,0.019773541491489466,0.873528201102226,0.0531135798768479,0.14228679239749908
Random Forest,full features,Far East,10457,1230,0.20661896243291591,0.9390243902439024,0.3387096774193548,0.001064391014358122,0.4260834378102696,0.0019065988194777222,0.8510371206454017,0.10554666008151939,0.14228679239749908
Random Forest,full features,Global,321173,49514,0.2883721516911686,0.9234559922446177,0.43949959869853367,0.0013813260897797182,0.46415168749338614,0.010555132461029224,0.8474137431890454,0.10800166629234685,0.14228679239749908
