Region,Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
Central Asia,2023,FT-Transformer (global full),0.1756,0.0031,0.2693,0.0204
Central Asia,2023,FWI-only CatBoost,0.0994,0.0013,0.0611,0.0023
Central Asia,2023,LSTM attention (global full),0.1756,0.0045,0.2761,0.0331
Central Asia,2023,LSTM gated MoE (global full),0.164,0.005,0.2728,0.0097
Central Asia,2023,LSTM static concat (global full),0.1894,0.0082,0.2981,0.0073
Central Asia,2023,Logistic Regression (linear SGD),0.1347,0.0013,0.0723,0.0008
Central Asia,2023,Minimal MLP (global full),0.2401,0.0084,0.3114,0.0164
Central Asia,2023,Poisson Point-Process GLM,0.1314,0.0057,0.1036,0.0072
Central Asia,2023,Random Forest,0.2284,0.0028,0.3541,0.0338
Central Asia,2023,Spatial climate TSN-MLP (ECMWF global full),0.1607,0.0021,0.3094,0.0261
Central Asia,2023,Spatial climate TSN-MLP (global full),0.2905,0.0053,0.394,0.0112
Central Asia,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.2881,0.0063,0.3956,0.0205
Central Asia,2023,TemporalConvNet / TSN-MLP (global full),0.1313,0.001,0.2545,0.0132
Central Asia,2023,Weather-only CatBoost,0.0992,0.0038,0.0944,0.0048
Central Asia,2024,CatBoost,0.0795,0.0006,0.0961,0.0315
Central Asia,2024,FT-Transformer (global full),0.1011,0.003,0.1726,0.0298
Central Asia,2024,FWI-only CatBoost,0.047,0.0013,0.0202,0.0011
Central Asia,2024,LSTM attention (global full),0.1055,0.0039,0.3382,0.0431
Central Asia,2024,LSTM gated MoE (global full),0.1129,0.0019,0.2397,0.0173
Central Asia,2024,LSTM static concat (global full),0.1273,0.0063,0.2111,0.036
Central Asia,2024,Logistic Regression (linear SGD),0.0639,0.001,0.0331,0.0005
Central Asia,2024,Minimal MLP (global full),0.1555,0.0046,0.2363,0.0086
Central Asia,2024,Poisson Point-Process GLM,0.0948,0.0035,0.0869,0.0065
Central Asia,2024,Random Forest,0.1145,0.003,0.2583,0.0192
Central Asia,2024,Spatial climate TSN-MLP (ECMWF global full),0.0894,0.001,0.3003,0.0502
Central Asia,2024,Spatial climate TSN-MLP (global full),0.2231,0.0085,0.3612,0.0162
Central Asia,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.1974,0.0056,0.3621,0.0196
