Model,PR-AUC,ROC-AUC,Brier,Logloss,E/O Count
FWI-only CatBoost,0.000257,0.823,0.0,0.0006,3.6542
Logistic Regression (linear SGD),0.000322,0.8744,0.1374,3.2596,2849.1573
Weather-only CatBoost,0.000882,0.8704,0.0,0.0005,3.0611
Poisson Point-Process GLM,0.001013,0.8711,0.0,0.0005,2.9979
Random Forest,0.00119,0.9243,0.0,0.0005,2.8589
CatBoost,0.003711,0.9431,0.0,0.0005,3.5673
