Lead Days,F1,F1 Error,PR-AUC,PR-AUC Error,Threshold
7,0.8191,0.00239,0.9001,0.001153,0.637
14,0.5106,0.004003,0.4971,0.008257,0.5142
30,0.5335,0.003815,0.5503,0.007526,0.5007
