Region,Period,Feature Set,F1,PR-AUC,PR-AUC Error
Central Asia,2021-2023,all features,0.321,0.279,0.0078
Central Asia,2021-2023,fire-weather variables only,0.1554,0.0946,0.0012
Central Asia,2021-2023,full minus >30-day weather-history windows,0.3645,0.3539,0.0084
Central Asia,2021-2023,full minus Gaussian road/light/population rasters,0.3216,0.2809,0.0057
Central Asia,2021-2023,full minus direct geography/location variables,0.321,0.279,0.0078
Central Asia,2021-2023,full minus ecological/fuel variables,0.361,0.2965,0.0064
Central Asia,2021-2023,full minus ecoregion categorical variables,0.321,0.279,0.0078
Central Asia,2021-2023,full minus lagged meteorology,0.3133,0.2595,0.0066
Central Asia,2021-2023,full minus month/day-of-year features,0.3251,0.2821,0.0072
Central Asia,2021-2023,full minus periodic seasonality encodings,0.321,0.279,0.0078
Central Asia,2021-2023,full minus prior-fire/proximity features,0.2992,0.1828,0.0027
Central Asia,2021-2023,full minus roads/population/night lights,0.2281,0.1462,0.003
Central Asia,2021-2023,full minus topography,0.3766,0.3098,0.0082
Central Asia,2021-2023,meteorology plus fire-weather variables,0.1673,0.1046,0.0009
Central Asia,2021-2023,meteorology/history features only,0.1633,0.1001,0.0022
Central Asia,2021-2023,static non-weather features,0.3256,0.3532,0.0158
Central Asia,2021-2025,all features,0.2238,0.2174,0.0061
Central Asia,2021-2025,fire-weather variables only,0.1236,0.0728,0.0011
Central Asia,2021-2025,full minus >30-day weather-history windows,0.2673,0.2816,0.0043
Central Asia,2021-2025,full minus Gaussian road/light/population rasters,0.225,0.2215,0.0066
Central Asia,2021-2025,full minus direct geography/location variables,0.2238,0.2174,0.0061
Central Asia,2021-2025,full minus ecological/fuel variables,0.2693,0.2311,0.0077
Central Asia,2021-2025,full minus ecoregion categorical variables,0.2238,0.2174,0.0061
Central Asia,2021-2025,full minus lagged meteorology,0.21,0.1955,0.0058
Central Asia,2021-2025,full minus month/day-of-year features,0.2273,0.2189,0.0066
Central Asia,2021-2025,full minus periodic seasonality encodings,0.2238,0.2174,0.0061
Central Asia,2021-2025,full minus prior-fire/proximity features,0.2,0.1172,0.0022
Central Asia,2021-2025,full minus roads/population/night lights,0.201,0.1265,0.002
Central Asia,2021-2025,full minus topography,0.2884,0.2429,0.0046
Central Asia,2021-2025,meteorology plus fire-weather variables,0.1398,0.086,0.0008
Central Asia,2021-2025,meteorology/history features only,0.1348,0.0835,0.0011
Central Asia,2021-2025,static non-weather features,0.2313,0.2856,0.0079
Eastern Siberia,2021-2023,all features,0.6471,0.6946,0.0034
Eastern Siberia,2021-2023,fire-weather variables only,0.5073,0.4397,0.0027
Eastern Siberia,2021-2023,full minus >30-day weather-history windows,0.682,0.6925,0.0024
Eastern Siberia,2021-2023,full minus Gaussian road/light/population rasters,0.646,0.6893,0.004
Eastern Siberia,2021-2023,full minus direct geography/location variables,0.6471,0.6946,0.0034
Eastern Siberia,2021-2023,full minus ecological/fuel variables,0.6933,0.7007,0.0026
Eastern Siberia,2021-2023,full minus ecoregion categorical variables,0.6471,0.6946,0.0034
Eastern Siberia,2021-2023,full minus lagged meteorology,0.6415,0.6103,0.0043
Eastern Siberia,2021-2023,full minus month/day-of-year features,0.6486,0.6933,0.0035
Eastern Siberia,2021-2023,full minus periodic seasonality encodings,0.6471,0.6946,0.0034
Eastern Siberia,2021-2023,full minus prior-fire/proximity features,0.5975,0.5292,0.0034
Eastern Siberia,2021-2023,full minus roads/population/night lights,0.6349,0.6575,0.0034
Eastern Siberia,2021-2023,full minus topography,0.6937,0.7129,0.0028
Eastern Siberia,2021-2023,meteorology plus fire-weather variables,0.5517,0.6005,0.0037
Eastern Siberia,2021-2023,meteorology/history features only,0.5484,0.6244,0.002
Eastern Siberia,2021-2023,static non-weather features,0.6453,0.6435,0.003
Eastern Siberia,2021-2025,all features,0.5712,0.6491,0.0035
Eastern Siberia,2021-2025,fire-weather variables only,0.4654,0.3904,0.0026
Eastern Siberia,2021-2025,full minus >30-day weather-history windows,0.6103,0.6452,0.0052
Eastern Siberia,2021-2025,full minus Gaussian road/light/population rasters,0.5686,0.6442,0.0037
Eastern Siberia,2021-2025,full minus direct geography/location variables,0.5712,0.6491,0.0035
Eastern Siberia,2021-2025,full minus ecological/fuel variables,0.6316,0.6568,0.0037
Eastern Siberia,2021-2025,full minus ecoregion categorical variables,0.5712,0.6491,0.0035
Eastern Siberia,2021-2025,full minus lagged meteorology,0.5563,0.5407,0.004
Eastern Siberia,2021-2025,full minus month/day-of-year features,0.5727,0.6484,0.0035
Eastern Siberia,2021-2025,full minus periodic seasonality encodings,0.5712,0.6491,0.0035
Eastern Siberia,2021-2025,full minus prior-fire/proximity features,0.5113,0.4503,0.0049
Eastern Siberia,2021-2025,full minus roads/population/night lights,0.5975,0.6185,0.0029
Eastern Siberia,2021-2025,full minus topography,0.6312,0.6686,0.0046
Eastern Siberia,2021-2025,meteorology plus fire-weather variables,0.5129,0.565,0.0078
Eastern Siberia,2021-2025,meteorology/history features only,0.5103,0.5817,0.0077
Eastern Siberia,2021-2025,static non-weather features,0.5661,0.58,0.0067
Europe,2021-2023,all features,0.4047,0.3446,0.0042
Europe,2021-2023,fire-weather variables only,0.146,0.1144,0.0027
Europe,2021-2023,full minus >30-day weather-history windows,0.4503,0.3805,0.0066
Europe,2021-2023,full minus Gaussian road/light/population rasters,0.4117,0.3396,0.004
Europe,2021-2023,full minus direct geography/location variables,0.4047,0.3446,0.0042
Europe,2021-2023,full minus ecological/fuel variables,0.4534,0.3349,0.0054
Europe,2021-2023,full minus ecoregion categorical variables,0.4047,0.3446,0.0042
Europe,2021-2023,full minus lagged meteorology,0.3576,0.2807,0.006
Europe,2021-2023,full minus month/day-of-year features,0.4146,0.3425,0.004
