Region,Year,Feature Set,F1,PR-AUC,PR-AUC Error
Eastern Siberia,2021,full minus lagged meteorology,0.7448,0.6808,0.0033
Eastern Siberia,2021,full minus month/day-of-year features,0.7456,0.7321,0.0039
Eastern Siberia,2021,full minus periodic seasonality encodings,0.7451,0.733,0.0036
Eastern Siberia,2021,full minus prior-fire/proximity features,0.7226,0.6206,0.0015
Eastern Siberia,2021,full minus roads/population/night lights,0.7367,0.716,0.0032
Eastern Siberia,2021,full minus topography,0.7669,0.7479,0.0032
Eastern Siberia,2021,meteorology plus fire-weather variables,0.689,0.6761,0.0023
Eastern Siberia,2021,meteorology/history features only,0.6833,0.6937,0.0025
Eastern Siberia,2021,static non-weather features,0.7403,0.7017,0.0046
Eastern Siberia,2022,all features,0.3469,0.2833,0.0094
Eastern Siberia,2022,fire-weather variables only,0.1972,0.1503,0.0052
Eastern Siberia,2022,full minus >30-day weather-history windows,0.391,0.3611,0.0111
Eastern Siberia,2022,full minus Gaussian road/light/population rasters,0.3441,0.2784,0.0098
Eastern Siberia,2022,full minus direct geography/location variables,0.3469,0.2833,0.0094
Eastern Siberia,2022,full minus ecological/fuel variables,0.362,0.2981,0.0096
Eastern Siberia,2022,full minus ecoregion categorical variables,0.3469,0.2833,0.0094
Eastern Siberia,2022,full minus lagged meteorology,0.3276,0.2837,0.0119
Eastern Siberia,2022,full minus month/day-of-year features,0.3485,0.2802,0.0094
Eastern Siberia,2022,full minus periodic seasonality encodings,0.3469,0.2833,0.0094
Eastern Siberia,2022,full minus prior-fire/proximity features,0.2741,0.2124,0.0052
Eastern Siberia,2022,full minus roads/population/night lights,0.2465,0.1816,0.0076
Eastern Siberia,2022,full minus topography,0.3816,0.3139,0.0086
Eastern Siberia,2022,meteorology plus fire-weather variables,0.2501,0.1441,0.0046
Eastern Siberia,2022,meteorology/history features only,0.2577,0.1605,0.0045
Eastern Siberia,2022,static non-weather features,0.3057,0.2762,0.0068
Eastern Siberia,2023,all features,0.3066,0.4215,0.0162
Eastern Siberia,2023,fire-weather variables only,0.1626,0.141,0.003
Eastern Siberia,2023,full minus >30-day weather-history windows,0.3515,0.4056,0.0149
Eastern Siberia,2023,full minus Gaussian road/light/population rasters,0.3054,0.4254,0.016
Eastern Siberia,2023,full minus direct geography/location variables,0.3066,0.4215,0.0162
Eastern Siberia,2023,full minus ecological/fuel variables,0.3801,0.4259,0.0164
