Experiment,Status,Interpretation,ROC-AUC,Notes
Best neural ERA5 -> ERA5 (no tp),completed_available_domain,Best neural checkpoint scored on retrospective ERA5 inputs.,0.9312,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp. Neural source rows use checkpoint `nn_global_full_spatial_tsn_no_tp`. The checkpoint is scored with the dynamic climate variables present in its training schema."
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,Best neural checkpoint scored with SEAS5/ECMWF climate inputs to measure source shift.,0.8495,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp. Neural source rows use checkpoint `nn_global_full_spatial_tsn_no_tp`. The checkpoint is scored with the dynamic climate variables present in its training schema."
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,Mixed-source operational robustness test.,0.8948,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp."
ERA5 -> ERA5 (no tp),completed_available_domain,Retrospective upper-bound source setting.,0.9404,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp."
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,Input-source domain-shift test.,0.8935,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp."
SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,Operationally matched setting on the ERA5-available row subset.,0.8961,"Evaluated on ERA5-covered sampled case-control rows only (years 2021-2024, lat 40-75, lon 19-180). Rows without complete 128-day ERA5 lookback coverage for comparison climate variables (t2m, d2m, stl1) were excluded (1574798 -> 1550839 rows). These are legacy source-comparison diagnostics, not primary calibrated full-grid probability metrics. Direct latitude/longitude coordinate features were excluded. Dropped climate variables from model inputs: tp."
