Experiment,Status,Year,Region,F1,F1 Error,PR-AUC,PR-AUC Error
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Eastern Siberia,0.2456,0.0025,0.2054,0.0091
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Europe,0.1868,0.0052,0.1921,0.0182
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Far East,0.209,0.002,0.202,0.0146
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Global,0.2674,0.0013,0.2622,0.0054
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Central Asia,0.14,0.0023,0.2838,0.0132
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Eastern Siberia,0.2391,0.0029,0.2889,0.0054
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Europe,0.2258,0.0054,0.2864,0.0166
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Far East,0.301,0.0022,0.2506,0.0109
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Global,0.3529,0.001,0.423,0.0074
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Central Asia,0.0818,0.0015,0.1644,0.0105
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Eastern Siberia,0.5014,0.0015,0.4336,0.004
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Europe,0.1802,0.0044,0.2433,0.012
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Far East,0.2789,0.0024,0.2487,0.0132
Best neural ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Global,0.3839,0.0015,0.3691,0.0049
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Central Asia,0.3983,0.0083,0.3661,0.0174
