region_display,model_name,period_start,period_end,observed_positive_locations,average_precision,spatial_tolerant_average_precision,spatial_tolerant_weighted_brier_score
Europe,Spatial climate TSN-MLP (global full),2021-04-07,2021-04-09,2,1.0,1.0,0.0287
Europe,Spatial climate TSN-MLP (global full),2021-04-06,2021-04-08,2,1.0,1.0,0.0292
Europe,Spatial climate TSN-MLP (global full),2021-03-30,2021-04-01,1,1.0,1.0,0.0398
Europe,Spatial climate TSN-MLP (global full),2022-01-14,2022-01-16,2,1.0,1.0,0.0136
Europe,Spatial climate TSN-MLP (global full),2021-10-07,2021-10-09,2,1.0,1.0,0.067
Europe,Spatial climate TSN-MLP (global full),2021-03-23,2021-03-25,3,1.0,1.0,0.0278
Europe,Spatial climate TSN-MLP (global full),2021-03-21,2021-03-23,2,1.0,1.0,0.0279
Europe,Spatial climate TSN-MLP (global full),2021-03-15,2021-03-17,2,1.0,1.0,0.0189
Europe,Spatial climate TSN-MLP (global full),2021-03-14,2021-03-16,3,1.0,1.0,0.0259
Europe,Spatial climate TSN-MLP (global full),2021-03-13,2021-03-15,6,1.0,1.0,0.0296
Europe,Spatial climate TSN-MLP (global full),2021-04-26,2021-04-28,1,1.0,1.0,0.0215
Central Asia,Spatial climate TSN-MLP (global full),2024-04-27,2024-04-29,1,1.0,1.0,0.1239
Central Asia,Spatial climate TSN-MLP (global full),2024-03-08,2024-03-10,6,1.0,1.0,0.0336
Central Asia,Spatial climate TSN-MLP (global full),2024-03-04,2024-03-06,4,1.0,1.0,0.0228
Central Asia,Spatial climate TSN-MLP (global full),2024-03-03,2024-03-05,2,1.0,1.0,0.0154
Central Asia,Spatial climate TSN-MLP (global full),2024-03-02,2024-03-04,1,1.0,1.0,0.0133
Central Asia,Spatial climate TSN-MLP (global full),2024-03-01,2024-03-03,1,1.0,1.0,0.0122
Global,Spatial climate TSN-MLP (global full),2022-02-04,2022-02-06,3,1.0,1.0,0.0109
Global,Spatial climate TSN-MLP (global full),2022-01-27,2022-01-29,3,1.0,1.0,0.0102
Global,Spatial climate TSN-MLP (global full),2022-01-26,2022-01-28,3,1.0,1.0,0.0111
Central Asia,Spatial climate TSN-MLP (global full),2024-02-23,2024-02-25,1,1.0,1.0,0.0112
Central Asia,Spatial climate TSN-MLP (global full),2024-02-22,2024-02-24,1,1.0,1.0,0.0104
Europe,Spatial climate TSN-MLP (global full),2021-01-04,2021-01-06,1,1.0,1.0,0.0117
Central Asia,Spatial climate TSN-MLP (global full),2024-02-21,2024-02-23,1,1.0,1.0,0.011
Central Asia,Spatial climate TSN-MLP (global full),2023-11-08,2023-11-10,1,1.0,1.0,0.0285
Central Asia,Spatial climate TSN-MLP (global full),2024-03-29,2024-03-31,1,1.0,1.0,0.0147
