experiment_id,model,feature_set,split,region,region_display,threshold,precision,recall,f1
poisson_point_process_full,Poisson Point-Process GLM,full features,test,far_east,Far East,0.3036547601222992,0.21334971334971334,0.8471544715447155,0.3408570493948315
poisson_point_process_full,Poisson Point-Process GLM,full features,test,central_asia,Central Asia,0.3036547601222992,0.09382842509603073,0.7319216939672393,0.166333757036499
poisson_point_process_full,Poisson Point-Process GLM,full features,test,europe,Europe,0.3036547601222992,0.1443079023724185,0.59375,0.2321845393381848
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021,global,Global,0.3036547601222992,0.452092288120892,0.9468351364443727,0.611978657064955
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021,eastern_siberia,Eastern Siberia,0.3036547601222992,0.5552554516248258,0.9869119207640609,0.7106728284996907
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021,far_east,Far East,0.3036547601222992,0.2306910569105691,0.8407407407407408,0.3620414673046252
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021,central_asia,Central Asia,0.3036547601222992,0.14142023737678536,0.778516057585825,0.2393598910452843
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021,europe,Europe,0.3036547601222992,0.19741207697412078,0.7024793388429752,0.3082103082103082
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2022,global,Global,0.3036547601222992,0.17642136581283993,0.7708714198659354,0.2871302110917757
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2022,eastern_siberia,Eastern Siberia,0.3036547601222992,0.16598044261451364,0.885989010989011,0.2795838751625488
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2022,far_east,Far East,0.3036547601222992,0.1837160751565762,0.9166666666666666,0.3060869565217391
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2022,central_asia,Central Asia,0.3036547601222992,0.12479627473806752,0.7679083094555874,0.2147005808131384
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2022,europe,Europe,0.3036547601222992,0.10570918822479929,0.6204188481675392,0.18064024390243902
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2023,global,Global,0.3036547601222992,0.22361019513519803,0.8356045230501594,0.3528079571537873
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2023,eastern_siberia,Eastern Siberia,0.3036547601222992,0.12280137280137281,0.8231488138030194,0.21371908539430703
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2023,far_east,Far East,0.3036547601222992,0.25237683664649957,0.8768768768768769,0.3919463087248322
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2023,central_asia,Central Asia,0.3036547601222992,0.06993006993006994,0.6326034063260341,0.12593848389440543
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2023,europe,Europe,0.3036547601222992,0.11405405405405405,0.4271255060728745,0.18003412969283278
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2024,global,Global,0.3036547601222992,0.25521034011699184,0.7976790015327349,0.3866995727516387
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2024,eastern_siberia,Eastern Siberia,0.3036547601222992,0.32537439105070065,0.8741315236710292,0.4742286115007013
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2024,far_east,Far East,0.3036547601222992,0.2150706436420722,0.9194630872483222,0.3486005089058524
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2024,central_asia,Central Asia,0.3036547601222992,0.04221165279429251,0.7593582887700535,0.07997747113489158
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2024,europe,Europe,0.3036547601222992,0.11804670912951168,0.563894523326572,0.1952247191011236
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2025,global,Global,0.3036547601222992,0.163280784441194,0.7958806443094798,0.270970062033624
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2025,eastern_siberia,Eastern Siberia,0.3036547601222992,0.23294117647058823,0.8918918918918919,0.3694029850746269
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2025,far_east,Far East,0.3036547601222992,0.14285714285714285,0.5328467153284672,0.22530864197530864
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2025,central_asia,Central Asia,0.3036547601222992,0.06011960969468052,0.6282894736842105,0.10973858086756678
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2025,europe,Europe,0.3036547601222992,0.16393442622950818,0.5854430379746836,0.25614399446175146
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2023,global,Global,0.3036547601222992,0.3329064526212829,0.902194408766704,0.486351114450288
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2023,eastern_siberia,Eastern Siberia,0.3036547601222992,0.4202299642235359,0.9703569535253579,0.5864762031907083
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2023,far_east,Far East,0.3036547601222992,0.22426589222329785,0.8742138364779874,0.3569594247560349
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2023,central_asia,Central Asia,0.3036547601222992,0.11544978434996919,0.7450298210735586,0.19991997866097627
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2023,europe,Europe,0.3036547601222992,0.14677737123557558,0.6053395240858966,0.236266847887643
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2025,global,Global,0.3036547601222992,0.29631200530863266,0.8747828896877651,0.4426774864454676
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2025,eastern_siberia,Eastern Siberia,0.3036547601222992,0.3776934284180661,0.9451818210893274,0.539716745957101
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2025,far_east,Far East,0.3036547601222992,0.21334971334971334,0.8471544715447155,0.3408570493948315
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2025,central_asia,Central Asia,0.3036547601222992,0.09382842509603073,0.7319216939672393,0.166333757036499
poisson_point_process_full,Poisson Point-Process GLM,full features,test_2021-2025,europe,Europe,0.3036547601222992,0.1443079023724185,0.59375,0.2321845393381848
catboost_full,CatBoost,all features,validation,global,Global,0.4920829446562272,0.40976393941957867,0.6720321931589537,0.5091061995742556
catboost_full,CatBoost,all features,test,global,Global,0.4920829446562272,0.3866930421881538,0.8211818879508825,0.5257917264745057
catboost_full,CatBoost,all features,test,eastern_siberia,Eastern Siberia,0.4920829446562272,0.43778106373572767,0.9184763488662168,0.5929428282369459
catboost_full,CatBoost,all features,test,far_east,Far East,0.4920829446562272,0.30345572354211664,0.6853658536585366,0.42065868263473055
catboost_full,CatBoost,all features,test,central_asia,Central Asia,0.4920829446562272,0.1343710860619073,0.600079904115062,0.2195745925005482
catboost_full,CatBoost,all features,test,europe,Europe,0.4920829446562272,0.22818944029005211,0.3535814606741573,0.2773722627737226
catboost_full,CatBoost,all features,test_2021,global,Global,0.4920829446562272,0.5139414256268545,0.9159534958824479,0.6584350198052843
catboost_full,CatBoost,all features,test_2021,eastern_siberia,Eastern Siberia,0.4920829446562272,0.5833057104113304,0.978169690231947,0.7308113414127685
catboost_full,CatBoost,all features,test_2021,far_east,Far East,0.4920829446562272,0.3344103392568659,0.7666666666666667,0.46569178852643417
catboost_full,CatBoost,all features,test_2021,central_asia,Central Asia,0.4920829446562272,0.17363896848137536,0.6710963455149501,0.27589346687912586
catboost_full,CatBoost,all features,test_2021,europe,Europe,0.4920829446562272,0.3008356545961003,0.3825265643447462,0.3367983367983368
