experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,split,region,region_display,support,positives,predicted_positives,positive_rate,predicted_positive_rate,threshold,precision,recall,f1,average_precision,roc_auc,brier_score,precision_error,recall_error,f1_error,average_precision_error,roc_auc_error,brier_score_error
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,validation,global,Global,147424,28826,95531,0.19553125678315605,0.6480016822227046,1.0,0.2878542043943851,0.9539651703323389,0.4422589801941185,0.2855645206259492,0.6937312888484787,0.4774267097256931,0.0002918084008790446,0.0005423984514343758,0.00028547140765407925,0.0006783960449608075,0.0013560017473154757,0.0006631598249872197
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test,global,Global,321173,49514,196806,0.15416613476226207,0.6127725556008755,1.0,0.2436765139274209,0.9685543482651371,0.389387788242936,0.24198571085052614,0.7124738799518786,0.4763168711036003,0.0015242936338833479,0.0025229239679052827,0.002149298913700736,0.0016162553760759812,0.0026018166072043192,0.003139090697010607
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test,eastern_siberia,Eastern Siberia,128260,31267,94518,0.24377826290347732,0.7369249961016685,1.0,0.3268160562009353,0.9879425592477692,0.4911555431887745,0.3262099307667461,0.6664937603668432,0.507244254145458,0.0006367941552184178,0.0037704627380742645,0.0011840344692367912,0.000797098195230996,0.0013757513598697442,0.0011664070953591307
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test,far_east,Far East,10457,1230,7345,0.11762455771253706,0.7024003060151095,1.0,0.16432947583390062,0.9813008130081301,0.2815160349854227,0.16372479738420723,0.6585084776825876,0.6003274377991046,0.002074898276039191,0.0028744178097013895,0.003161194430363295,0.002093518118718469,0.005195571716722729,0.009354149440024334
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test,central_asia,Central Asia,45961,2503,28362,0.05445921542177063,0.6170884010356606,1.0,0.08384458077709611,0.9500599280862965,0.1540903936497651,0.08299014271466568,0.6796518392113273,0.5719970795464392,4.863805975056587e-05,0.0006493175217506866,7.360839419168693e-05,0.00016413543675993701,0.001257604191696105,0.0004984457238611222
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test,europe,Europe,52062,2848,20006,0.05470400676116938,0.3842725980561638,1.0,0.12616215135459363,0.8862359550561798,0.22088037105101951,0.11991789968584869,0.7718643929481562,0.3488342461432599,0.0008572394142894228,0.001939049674186173,0.0013745555383131215,0.0009793769166250054,0.002304138560794133,0.0017357992805395964
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test_2021,global,Global,87238,24772,62094,0.28395882528256033,0.711776977922465,1.0,0.395207266402551,0.9906345874374294,0.5650081735086224,0.39451160092777665,0.6951594023034207,0.4391143729323302,0.001113698827472505,0.0008715878620013719,0.0009941530709407002,0.0010508071335688977,0.0012730693298124108,0.0014008642971770687
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test_2021,eastern_siberia,Eastern Siberia,44639,19789,38354,0.4433119021483456,0.8592038352113622,1.0,0.5144443865046671,0.997069078781141,0.6787059491254321,0.5143133933916334,0.6239127249219709,0.4232649218955606,0.0024422356143180683,0.0011165683438542904,0.002383537971220247,0.0024977894651108477,0.003782457999572073,0.0041143930155373085
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test_2021,far_east,Far East,2141,270,1474,0.12610929472209248,0.6884633348902383,1.0,0.17978290366350066,0.9814814814814815,0.3038990825688073,0.17914631519009308,0.6683571866896293,0.5798887154058457,0.003362065822030309,0.007856742013183912,0.004436117704624914,0.003293354073845206,0.007280049030922723,0.01623143631606416
logistic_regression_full,main_model_comparison,legacy_sampled_case_control,False,Logistic Regression (linear SGD),full features,test_2021,central_asia,Central Asia,10197,903,6593,0.08855545748749633,0.6465627145238796,1.0,0.13119975731836797,0.9579180509413068,0.2307897545357524,0.1299024393956667,0.6725251242719377,0.5690573297384234,0.000982639679301063,0.0039153199401248204,0.0016339408545126724,0.0010540991460083352,0.003200839348511818,0.0030334510432193105
