model_name,model_type,q_label,top_fraction_requested,top_fraction_observed,top_weighted_support,captured_fire_positive_grid_cells,observed_fire_positive_grid_cells,recall_at_top_q,precision_at_top_q,lift_at_q,average_precision,observed_prevalence,ap_lift,recall_at_top_q_error,precision_at_top_q_error,lift_at_q_error,ap_lift_error
Minimal MLP (global full),Neural,top_0.1pct,0.001,0.0010001549849976,3588.0,0.0,357.0,0.0,0.0,0.0,0.0003176972094659,9.951374850729378e-05,3.1924956524242374,0.0,0.0,0.0,2.3878310100629387
Minimal MLP (global full),Neural,top_0.5pct,0.005,0.0050002174249967,17938.0,1.0,357.0,0.0028011204481792,5.574757498048835e-05,0.5601997293509889,0.0003176972094659,9.951374850729378e-05,3.1924956524242374,0.0,0.0,0.0,2.356840681923287
Minimal MLP (global full),Neural,top_1pct,0.01,0.0100001560999976,35875.0,5.0,357.0,0.0140056022408963,0.0001393728222996,1.4005383616861378,0.0003176972094659,9.951374850729378e-05,3.1924956524242374,0.0,0.0,0.0,1.943849250104463
Minimal MLP (global full),Neural,top_5pct,0.05,0.0500002229999966,179373.0,49.0,357.0,0.1372549019607843,0.0002731737775473,2.74508579613322,0.0003176972094659,9.951374850729378e-05,3.1924956524242374,0.1095445115010332,0.000219089023002,2.1908902300206647,3.84842609043598
Minimal MLP full-grid optimized,Neural,top_0.1pct,0.001,0.0010001549849976,3588.0,0.0,357.0,0.0,0.0,0.0,0.0003133221783554,9.951374850729378e-05,3.14853156528857,0.0,0.0,0.0,1.869970189243132
Minimal MLP full-grid optimized,Neural,top_0.5pct,0.005,0.0050002174249967,17938.0,3.0,357.0,0.0084033613445378,0.0001672427249414,1.6805991880529667,0.0003133221783554,9.951374850729378e-05,3.14853156528857,0.0,0.0,0.0,1.3989285255009396
Minimal MLP full-grid optimized,Neural,top_1pct,0.01,0.0100001560999976,35875.0,6.0,357.0,0.0168067226890756,0.0001672473867595,1.680646034023365,0.0003133221783554,9.951374850729378e-05,3.14853156528857,0.0894427190999915,0.0008944271909999,8.94427190999916,6.935572697394312
Minimal MLP full-grid optimized,Neural,top_5pct,0.05,0.0500002229999966,179373.0,53.0,357.0,0.1484593837535014,0.0002954736777552,2.9691744325522578,0.0003133221783554,9.951374850729378e-05,3.14853156528857,0.2683281572999747,0.0005366563145999,5.366563145999494,15.034620292464735
Minimal MLP full-grid rank optimized,Neural,top_0.1pct,0.001,0.0010001549849976753,3588.0,0.0,357.0,0.0,0.0,0.0,0.00032013290901864155,9.951374850729378e-05,3.216971662917287,0.0,0.0,0.0,14.868344713969334
Minimal MLP full-grid rank optimized,Neural,top_0.5pct,0.005,0.005000217424996739,17938.0,1.0,357.0,0.0028011204481792717,5.574757498048835e-05,0.5601997293509889,0.00032013290901864155,9.951374850729378e-05,3.216971662917287,0.0,0.0,0.0,1.1167770189890251
Minimal MLP full-grid rank optimized,Neural,top_1pct,0.01,0.010000156099997659,35875.0,5.0,357.0,0.014005602240896359,0.00013937282229965157,1.4005383616861378,0.00032013290901864155,9.951374850729378e-05,3.216971662917287,0.0,0.0,0.0,0.7483100945172821
Minimal MLP full-grid rank optimized,Neural,top_5pct,0.05,0.05000022299999665,179373.0,54.0,357.0,0.15126050420168066,0.00030104865280727866,3.025196591657017,0.00032013290901864155,9.951374850729378e-05,3.216971662917287,0.16733200530681513,0.00033466401061363023,3.3466401061363023,8.611580509666124
