model_name,model_type,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,weighted_brier_score,weighted_brier_score_error,weighted_logloss,weighted_logloss_error,reliability_ece,reliability_mce,reliability_rmse,calibration_intercept,calibration_slope,expected_observed_count_ratio,expected_observed_count_ratio_error,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,daily_expected_observed_count_mae,observed_prevalence_error,mean_calibrated_predicted_probability_error,average_precision_error,roc_auc_error,max_f1_error
Minimal MLP (global full),Neural,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,2.3240331650802176e-05,0.0003176972094659,0.8444164933190381,0.0007556059292841,0.0003780028995045,0.7142857142857143,3.995576676283587e-05,674598.0,9.950317113433496e-05,5.707858615220758e-09,0.0010070283545154,4.701365853357802e-05,7.809034500351574e-05,0.0003857043495789,0.0001430965327399,-0.0638389290324267,0.8437410074056826,0.233538902909587,0.0022267457363269,83.37338833872256,357.0,9.736848019993207,0.0,2.2267457363285449e-07,0.0005946997602377,0.0624470020562787,0.0041196093124056
Minimal MLP full-grid optimized,Neural,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,1.927880669562522e-05,0.0003133221783554,0.8356453448776928,0.0007616456433461,0.0003810998909687,0.5238095238095238,4.147946589829e-05,490685.0,9.950614838226778e-05,6.336762174794078e-10,0.0010300750438637,1.1433543589867731e-05,8.538109863143126e-05,0.0003749293103169,0.0001448846754234,-0.0704977829363847,0.8413309252814019,0.1937300823736149,0.0005563770245519,69.16163940738052,357.0,9.934826987234183,0.0,5.5637702455192054e-08,6.828238950467928e-05,0.0361725440175778,0.0003991942756905
Minimal MLP full-grid rank optimized,Neural,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,3587444,3587444.0,357.0,9.951374850729378e-05,2.1582262895967736e-05,0.00032013290901864155,0.8383581208949553,0.0007970556763316309,0.00039881154160601405,0.5602240896358543,4.748521850354593e-05,501490.0,9.950389886730361e-05,3.3256779489035504e-09,0.0010223181613241393,8.439172950096842e-05,7.873553575366323e-05,0.0004258863901910283,0.00013956750633319223,-0.0616027244089279,0.834747609374663,0.21687719757028992,0.0022740857170884103,77.4251595325935,357.0,9.792215634294012,0.0,2.2740857172846644e-07,0.00014893906215294783,0.08362917412610633,0.0006642970291652676
