model_name,model_type,calibration_method,raw_mean_predicted_probability,calibrated_mean_predicted_probability,raw_expected_fire_positive_grid_cells,calibrated_expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,raw_expected_observed_count_ratio,calibrated_expected_observed_count_ratio,eo_ratio_reduction_factor,raw_expected_observed_count_ratio_error,calibrated_expected_observed_count_ratio_error
Minimal MLP (global full),Neural,prior_offset_month,0.1721890267985184,2.3240331650802176e-05,617718.4910541843,83.37338833872256,357.0,1730.30389651032,0.233538902909587,7409.060653077554,6.669065827496021,0.0016103628099603
Minimal MLP full-grid optimized,Neural,prior_offset_month,0.1990534333150015,1.927880669562522e-05,714093.0450253024,69.16163940738052,357.0,2000.260630322976,0.1937300823736149,10324.987249349364,7.788600380489931,0.0010454003428115
Minimal MLP full-grid rank optimized,Neural,prior_offset_month,0.14907837988341688,2.1582262895967736e-05,534810.3394424845,77.4251595325935,357.0,1498.0681777100408,0.21687719757028992,6907.448982618455,7.54078079705252,0.0012879880496313864
