model_name,model_type,scale,spatial_resolution_degrees,support_units,weighted_support,positive_units,observed_prevalence,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,weighted_brier_score,weighted_logloss,observed_fire_positive_grid_cells,expected_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error
Minimal MLP (global full),Neural,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0003176972094659,0.8444164933190381,0.0007556059292841,0.0003780028995045,0.7142857142857143,3.995576676283587e-05,9.950317113433496e-05,0.0010070283545154,357.0,83.37338833872256,0.233538902909587,0.0,0.0003740103163033,0.0480449055395734,0.0009506370552444
Minimal MLP (global full),Neural,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0018328074983187,0.8528944400903523,0.0042101572833171,0.002111680904394,0.6732925586136596,4.35815950626634e-05,0.0005468355610648,0.0053946863585104,1962.0,83.37338833872256,0.0424940817220808,0.0,0.0003306368038341,0.019293002199571,0.0008641002306907
Minimal MLP (global full),Neural,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0043688694198018,0.8574940144116554,0.0098845073353449,0.0049856068542861,0.5683580766674052,5.384928481427351e-05,0.001257828004193,0.0123188887649937,357.0,83.37338833868036,0.0184740501525992,5.77078589138307e-06,0.0002003289156148,0.0051527071873479,0.0004567660301615
Minimal MLP (global full),Neural,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0142913153223106,0.8511662757541009,0.0330657188202804,0.0169088979114486,0.7434143870314083,4.029488695011391e-05,0.0044014546727339,0.0432455540341465,357.0,83.37338833868036,0.0052794698796023,1.1800330155003595e-05,0.0005260539588243,0.0042764801718841,0.0014118383964409
Minimal MLP full-grid optimized,Neural,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0003133221783554,0.8356453448776928,0.0007616456433461,0.0003810998909687,0.5238095238095238,4.147946589829e-05,9.950614838226778e-05,0.0010300750438637,357.0,69.16163940738052,0.1937300823736149,0.0,0.0001828423303319,0.0733522679542851,0.0007464373984845
Minimal MLP full-grid optimized,Neural,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0018333469726116,0.8477202702823547,0.0042304992322495,0.0021229646401835,0.582059123343527,3.975090093351437e-05,0.0005468610897325,0.0055517814183173,1962.0,69.16163940738052,0.0352505807377066,0.0,0.000479370048164,0.0239556540104578,0.0015847139344174
Minimal MLP full-grid optimized,Neural,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0042898631312736,0.852795089178747,0.0098032611354764,0.0049411617537996,0.6126744959007312,3.882939543734056e-05,0.0012578916987308,0.0127354100292015,357.0,69.16163940738053,0.0153249810342079,8.743843213529673e-07,0.0004544300913747,0.0074462353227171,0.0024960820880179
Minimal MLP full-grid optimized,Neural,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0132621971003973,0.842595867255736,0.0308678140773117,0.0157385441846629,0.7973657548125633,3.174582287243929e-05,0.004401666883333,0.0447541135517469,357.0,69.16163940738052,0.0043795364366375,3.237584120491388e-05,0.0011947889291155,0.0101254279948856,0.0017577363134332
Minimal MLP full-grid rank optimized,Neural,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.00032013290901864155,0.8383581208949553,0.0007970556763316309,0.00039881154160601405,0.5602240896358543,4.748521850354593e-05,9.950389886730361e-05,0.0010223181613241393,357.0,77.4251595325935,0.21687719757028992,0.0,0.00029039000450985935,0.050499727363526765,0.0029892345275193384
Minimal MLP full-grid rank optimized,Neural,neighborhood_3x3_cell_day,0.30000000000000004,3587444,3587444.0,1962.0,0.0005469074917963876,0.0018421767905511801,0.8489704402814071,0.004257094542205418,0.002136284976339671,0.5876656472986749,4.384812471971882e-05,0.0005468392906324903,0.005471525521492225,1962.0,77.4251595325935,0.03946236469551147,0.0,0.0005640751301049162,0.022798063491410985,0.005148854610427131
Minimal MLP full-grid rank optimized,Neural,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.0012579987311300191,0.0043291118187327865,0.8551916071097042,0.010155015613530898,0.0051133952161172965,0.7234655439840461,3.730700734687086e-05,0.0012578392555857424,0.012476259300201787,357.0,77.42515953256206,0.017156029145260817,3.8138672882204106e-06,0.0004350975994182189,0.01432462773542379,0.0023073556712944385
Minimal MLP full-grid rank optimized,Neural,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.004402019933969701,0.013652962125611318,0.8462387387193993,0.03265895685578282,0.01673826545979107,0.66862968591692,3.8979068240174505e-05,0.004401512772719455,0.043879116741004,357.0,77.42515953256206,0.004902808987624244,3.080048455170285e-05,0.0006224538441058287,0.0044425801048998586,0.000956664692640224
