Variant,F1,F1 Error,PR-AUC,PR-AUC Error,Threshold
FT-Transformer (global full),0.44,0.002841,0.4234,0.002944,0.1592
LSTM attention (global full),0.4709,0.002294,0.4465,0.003236,0.2068
LSTM embedding fusion (global full),0.4896,0.002675,0.4516,0.001849,0.2341
LSTM gated MoE (global full),0.481,0.002122,0.4905,0.009525,0.2482
LSTM static concat (global full),0.5039,0.000694,0.4375,0.003007,0.3205
Minimal MLP (global full),0.5072,0.002736,0.4703,0.003082,0.2954
Spatial climate TSN embedding fusion (global full),0.637,0.003816,0.6842,0.005598,0.4301
Spatial climate TSN-MLP (ECMWF global full),0.4489,0.00201,0.4982,0.006011,0.2851
Spatial climate TSN-MLP (global full),0.6374,0.002808,0.6915,0.002667,0.4269
Spatial climate TSN-MLP no tp (ERA5 global full),0.6292,0.005191,0.6712,0.005249,0.3871
TemporalConvNet / TSN-MLP (global full),0.3927,0.001094,0.4492,0.005582,0.1911
TemporalConvNet embedding fusion (global full),0.4128,0.001425,0.3728,0.005861,0.1672
