Region,Experiment,F1,F1 Error,PR-AUC,PR-AUC Error
Central Asia,CatBoost <=30d climate windows,0.2392,0.004322,0.2229,0.011
Central Asia,CatBoost dynamic weather+FWI only,0.1354,0.001333,0.073,0.0015
Central Asia,CatBoost no Gaussian-smoothed anthropogenic rasters,0.231,0.004034,0.1778,0.0099
Central Asia,CatBoost no anthropogenic,0.1998,0.004537,0.1248,0.005
Central Asia,CatBoost no fuel/ecoregion/vegetation,0.2226,0.001839,0.1705,0.0076
Central Asia,CatBoost no history,0.1577,0.001124,0.1059,0.0019
Central Asia,CatBoost no seasonality,0.2302,0.005373,0.1657,0.0074
Central Asia,CatBoost no sine/cos seasonality,0.2356,0.002298,0.1789,0.0091
Central Asia,CatBoost no temporal-history/weather lags,0.2222,0.002097,0.1707,0.009
Central Asia,CatBoost no terrain,0.2309,0.003957,0.1732,0.0093
Central Asia,CatBoost static only,0.1853,0.003119,0.2334,0.0066
Central Asia,CatBoost-no-ecoregion,0.2356,0.002298,0.1789,0.0091
Central Asia,CatBoost-no-geography,0.2356,0.002298,0.1789,0.0091
Central Asia,FWI-only CatBoost,0.1241,0.00066,0.0743,0.0013
Central Asia,Full CatBoost,0.2356,0.002298,0.1789,0.0091
Central Asia,Weather-only CatBoost,0.1312,0.002624,0.0698,0.001
Eastern Siberia,CatBoost <=30d climate windows,0.6007,0.002328,0.6257,0.0012
Eastern Siberia,CatBoost dynamic weather+FWI only,0.5347,0.000825,0.5274,0.0044
Eastern Siberia,CatBoost no Gaussian-smoothed anthropogenic rasters,0.6041,0.001607,0.6446,0.0013
Eastern Siberia,CatBoost no anthropogenic,0.602,0.001436,0.6235,0.0031
Eastern Siberia,CatBoost no fuel/ecoregion/vegetation,0.5984,0.001735,0.6359,0.0023
Eastern Siberia,CatBoost no history,0.5045,0.000868,0.5667,0.0048
Eastern Siberia,CatBoost no seasonality,0.6018,0.002007,0.6341,0.0023
Eastern Siberia,CatBoost no sine/cos seasonality,0.605,0.001477,0.647,0.0013
Eastern Siberia,CatBoost no temporal-history/weather lags,0.5426,0.001631,0.5422,0.0049
Eastern Siberia,CatBoost no terrain,0.6033,0.002068,0.6401,0.0016
Eastern Siberia,CatBoost static only,0.5472,0.00193,0.5508,0.0034
Eastern Siberia,CatBoost-no-ecoregion,0.605,0.001477,0.647,0.0013
Eastern Siberia,CatBoost-no-geography,0.605,0.001477,0.647,0.0013
Eastern Siberia,FWI-only CatBoost,0.4599,0.00083,0.4011,0.0034
Eastern Siberia,Full CatBoost,0.605,0.001477,0.647,0.0013
Eastern Siberia,Weather-only CatBoost,0.5348,0.002428,0.4601,0.0033
Europe,CatBoost <=30d climate windows,0.3121,0.006106,0.2383,0.0057
Europe,CatBoost dynamic weather+FWI only,0.2281,0.001654,0.1393,0.0024
Europe,CatBoost no Gaussian-smoothed anthropogenic rasters,0.3045,0.004733,0.22,0.0047
Europe,CatBoost no anthropogenic,0.1861,0.00568,0.1663,0.004
Europe,CatBoost no fuel/ecoregion/vegetation,0.3201,0.007838,0.2231,0.0046
Europe,CatBoost no history,0.2526,0.002414,0.1825,0.0039
Europe,CatBoost no seasonality,0.313,0.004204,0.2258,0.0042
Europe,CatBoost no sine/cos seasonality,0.3142,0.007377,0.2311,0.0053
Europe,CatBoost no temporal-history/weather lags,0.2337,0.004919,0.1885,0.0038
Europe,CatBoost no terrain,0.3064,0.006361,0.222,0.0045
Europe,CatBoost static only,0.2843,0.007211,0.2493,0.0051
Europe,CatBoost-no-ecoregion,0.3142,0.007377,0.2311,0.0053
Europe,CatBoost-no-geography,0.3142,0.007377,0.2311,0.0053
Europe,FWI-only CatBoost,0.1423,0.001704,0.1335,0.0031
Europe,Full CatBoost,0.3142,0.007377,0.2311,0.0053
Europe,Weather-only CatBoost,0.2231,0.001548,0.1176,0.0008
Far East,CatBoost <=30d climate windows,0.4425,0.003718,0.3885,0.0136
Far East,CatBoost dynamic weather+FWI only,0.3346,0.00693,0.2541,0.0053
Far East,CatBoost no Gaussian-smoothed anthropogenic rasters,0.4297,0.008204,0.3763,0.0128
Far East,CatBoost no anthropogenic,0.4024,0.006055,0.3219,0.0091
Far East,CatBoost no fuel/ecoregion/vegetation,0.4231,0.005549,0.3598,0.0117
Far East,CatBoost no history,0.3484,0.00356,0.3141,0.0044
Far East,CatBoost no seasonality,0.4261,0.00574,0.361,0.012
Far East,CatBoost no sine/cos seasonality,0.4301,0.007529,0.3748,0.0131
Far East,CatBoost no temporal-history/weather lags,0.4226,0.008687,0.3242,0.0099
Far East,CatBoost no terrain,0.43,0.007349,0.3706,0.0127
Far East,CatBoost static only,0.3304,0.004336,0.2985,0.0077
Far East,CatBoost-no-ecoregion,0.4301,0.007529,0.3748,0.0131
Far East,CatBoost-no-geography,0.4301,0.007529,0.3748,0.0131
Far East,FWI-only CatBoost,0.2916,0.003237,0.2933,0.0042
Far East,Full CatBoost,0.4301,0.007529,0.3748,0.0131
Far East,Weather-only CatBoost,0.3081,0.005046,0.2083,0.0042
