model_name,model_type,index,evaluation_type,score_transform,scale,spatial_resolution_degrees,support_units,weighted_support,positive_units,observed_prevalence,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,observed_fire_positive_grid_cells,weighted_score_sum,weighted_score_observed_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error
FWI buinfdr,Fire weather index,buinfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,exact_0.1_degree_cell_day,0.1,706071,138711389.9549513,12578.0,9.067748512998756e-05,0.0007830344634134,0.8779011936733454,0.0024468409853695,0.0012338643487589,0.1445380823660359,0.3653846153846153,12578.0,6380745.332566096,507.29411135046087,1.2563901498962992e-12,5.408154747989038e-05,0.0037005183180403,0.0005191217161316
FWI buinfdr,Fire weather index,buinfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,neighborhood_3x3_cell_day,0.3,706071,138711389.9549513,54378.01654063758,0.0003920227211211,0.0033644031189931,0.8803741956956568,0.0094922913793758,0.0048591877750678,0.2040161682836973,0.3269230769230769,54378.01654063758,6380745.332566096,117.3405309441116,7.441172287358642e-05,0.0012053510211641,0.05151329139855,0.0060256250955301
FWI buinfdr,Fire weather index,buinfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,coarse_0.5_degree_cell_day,0.5,658841,138711389.95495126,131178.03780726032,0.0009456904573579,0.0067678327843857,0.8672155085986939,0.0205506747062756,0.010875894802082,0.18608292729547,0.3076923076923077,12578.0,6380745.332463057,48.641872063527714,0.0001148676228783,0.0027726579233335,0.0302610865327433,0.0068172230432677
FWI buinfdr,Fire weather index,buinfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,coarse_1_degree_cell_day,1.0,553954,138711389.95495132,398778.2005779936,0.002874877115048,0.0182422278290585,0.8675147558747915,0.0528627790352726,0.0282629318405005,0.4078685766968462,0.2308169497887869,12578.0,6380745.332463059,16.000737561165824,0.0002099500026295,0.0019472551933989,0.0117757470976377,0.0034753829042028
FWI drtcode,Fire weather index,drtcode,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,exact_0.1_degree_cell_day,0.1,1618034,319865630.1212056,18798.0,5.876842720762758e-05,0.0002912819512899,0.815043325667798,0.0010275313973898,0.0005149532102593,0.2227896584743058,0.3761198947322926,18798.0,42249531.64274147,2247.554614466511,1.2706700102544497e-12,6.358749386112858e-06,0.0049815429452364,7.345423117733757e-05
FWI drtcode,Fire weather index,drtcode,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,neighborhood_3x3_cell_day,0.3,1618034,319865630.1212056,79597.92808867735,0.0002488480180209,0.0011489682724482,0.8100999317170365,0.0043041990537654,0.0021889041275605,0.1279932250467346,0.4139202131943005,79597.92808867735,42249531.64274147,530.786826456999,8.371547064357046e-05,0.0005968464217675,0.0179823207420398,0.0033993425941362
FWI drtcode,Fire weather index,drtcode,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,coarse_0.5_degree_cell_day,0.5,1515612,319865630.1212056,199797.73539679265,0.000624630209007,0.0025318135379272,0.7826608546663345,0.0091194101859205,0.0047544991734916,0.1112924686248535,0.4132745138042022,18798.0,42249531.64272701,211.4615141099317,0.0001162757481115,0.0020592364614791,0.0658690589215768,0.018514437106016
FWI drtcode,Fire weather index,drtcode,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,coarse_1_degree_cell_day,1.0,1275601,319865630.1212056,602797.2239226756,0.001884532651083,0.0066186146459307,0.7619359888256001,0.0221047825186001,0.0118260006018168,0.1689555419002288,0.3704515617726536,18798.0,42249531.642727,70.0891277630697,0.0001154010968558,0.0025644502717363,0.0340264480245611,0.0093507222408577
FWI drtmrk,Fire weather index,drtmrk,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,exact_0.1_degree_cell_day,0.1,706071,138711389.9549513,12578.0,9.067748512998756e-05,0.0003284966411737,0.8442324273670828,0.0009401191747071,0.0004704991865722,0.5031006519319446,0.6325447305739598,12578.0,77433475.74697502,6156.262978770474,5.938902347823653e-13,1.3226126979557452e-05,0.0066996903588712,4.7956594438735946e-05
FWI drtmrk,Fire weather index,drtmrk,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,neighborhood_3x3_cell_day,0.3,706071,138711389.9549513,54378.01654063758,0.0003920227211211,0.0014380312106146,0.8299168234758802,0.0043181913092872,0.0021682697045941,0.5102982567684625,0.636518109514632,54378.01654063758,77433475.74697502,1423.9849239279945,7.632248252381324e-05,0.0004957951777117,0.0447065908985235,0.0013850831348657
