feature,coefficient_scaled,coefficient_original_units,training_weighted_mean,training_weighted_scale
intercept,-9.109484487096374,-9.56491234820197,,
drtcode,0.01236071052233361,6.645995385538729e-05,234.130657208389,185.98734734648997
dufmcode,0.026058891831512734,0.0014513288238416232,8.000452958589161,17.95519485552257
fbupinx,0.09995352290556163,0.003906504739519166,12.559737517773756,25.58643328764128
fdsrte,-0.4181441151676413,-0.11394004107944107,0.8019529749957786,3.6698610181832705
ffmcode,0.11325055332869359,0.005587536353780861,62.561527459270636,20.268423533756785
fwinx,0.18120421825649763,0.024661857407805025,3.0238740302692464,7.347549507732935
infsinx,0.0726779105316505,0.0245703560059296,1.889552680136211,2.957951057530914
