Model,model,model_name,model_type,index,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,score_transform,test_universe,test_period,available_months,available_days,support,weighted_support,positives,observed_prevalence,mean_normalized_score,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,raw_score_min,raw_score_max,raw_score_mean,raw_threshold_at_max_f1,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Global,global,Global,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023-03-01 to 2024-10-31 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",490,706071,138711389.9549513,12578.0,9.067748512998756e-05,0.5582344447137525,0.0003284966411737,0.8442324273670828,0.0009401191747071,0.0004704991865722,0.5031006519319446,0.6325447305739598,13449545.037690232,0.1889891773462295,10.000121116638184,5.680731810044957,6.394968986511231,1.7861804097917133e-12,5.238394173948003e-06,0.0034082678926874,1.7377606943701488e-05
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Eastern Siberia,eastern_siberia,Eastern Siberia,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023-03-01 to 2024-10-31 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",490,241180,46942770.29058654,6499.0,0.0001384451739803,0.5556100502817528,0.0007137515623138,0.8716757569274973,0.0020779710374187,0.0010409293064803,0.5563932912755809,0.6443065232343608,3473818.9975903947,0.1889891773462295,10.000121116638184,5.680731810044957,6.51036548614502,2.177293070700684e-12,2.1030631597920628e-05,0.0054473016008892,6.226122082545165e-05
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Far East,far_east,Far East,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023-03-01 to 2024-10-31 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",490,25710,5039721.539219677,514.0,0.0001019897619342,0.5315577245108173,0.0001854693073002,0.6757575616954586,0.002841717224036,0.0016638940780981,0.0097276264591439,0.8527732704265628,3004.998975484719,0.1889891773462295,10.000121116638184,5.680731810044957,8.555660247802734,9.914259115662769e-13,2.422960383570439e-05,0.0079956737920728,0.0015017155190214
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Central Asia,central_asia,Central Asia,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023-03-01 to 2024-10-31 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",490,38515,7664803.735165268,192.0,2.504956508137649e-05,0.6199242144170077,6.265118946472271e-05,0.710751641011748,0.0002065659322591,0.0001033149781617,0.3333333333333333,0.9483706662039748,619464.8746845464,0.1889891773462295,10.000121116638184,5.680731810044957,9.493578910827637,4.626137967462081e-13,4.25384821145627e-06,0.0132053070062865,1.982777994119731e-05
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Europe,europe,Europe,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023-03-01 to 2024-10-31 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",490,102693,20464801.76167879,371.0,1.8128687700982928e-05,0.597200596193501,7.968645323170298e-05,0.8101037539723708,0.0002644545303735,0.000132265887074,0.4528301886792453,0.8840951842028115,1270168.7768207905,0.1889891773462295,10.000121116638184,5.680731810044957,8.862963676452637,3.511250437750624e-13,8.770761016059535e-06,0.01821224880488,2.627531883656927e-05
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022-01-01 to 2025-10-02 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",1130,1618034,319865630.1212056,18798.0,5.876842720762758e-05,0.0137731060873058,0.0007248958254086,0.9320021256903784,0.0020142889519576,0.0010110167954521,0.2629535056920949,0.1028657616892911,4889137.373617543,0.0,828.75,12.047714850244184,85.25,2.2195151874934705e-12,2.0897800162088443e-05,0.003371611586873,0.0005868410279224
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Eastern Siberia,eastern_siberia,Eastern Siberia,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022-01-01 to 2025-10-02 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",1130,550908,108239035.2723858,9761.0,9.018003509950212e-05,0.013119443072311,0.0029211299014439,0.943248457155119,0.0191595597084597,0.0116801445845369,0.0532732302018235,0.1828054298642533,44519.996840485685,0.0,828.75,12.047714850244184,151.5,2.4714566492982376e-12,0.0077447142923162,0.004201835304815,0.0086932617345454
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Far East,far_east,Far East,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022-01-01 to 2025-10-02 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",1130,59231,11689772.229738278,786.0,6.723826474569365e-05,0.0086312121093509,0.000907418531535,0.8686870313748375,0.007545353311513,0.0041717256054122,0.0394402035623409,0.0995475113122171,7430.977713342778,0.0,828.75,12.047714850244184,82.5,2.6297460024816088e-12,8.548658391523202e-05,0.0081230962789171,0.0006539450543132
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Central Asia,central_asia,Central Asia,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022-01-01 to 2025-10-02 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",1130,88702,17636303.35965152,523.0,2.9654740527798117e-05,0.0365045978456736,9.184450478950015e-05,0.7304790348287796,0.0004021814931986,0.0002013521824233,0.1548757170172084,0.2015082956259427,402280.2187944891,0.0,828.75,12.047714850244184,167.0,5.507188081265669e-13,7.080299648875329e-06,0.0144015816715548,2.7125316131157654e-05
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Europe,europe,Europe,test,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022-01-01 to 2025-10-02 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",1130,236121,47054398.5144033,853.0,1.812795460001253e-05,0.025922205733149,9.74216369373951e-05,0.8211588516602609,0.0003214321225623,0.0001609435239254,0.1137162954279015,0.2099547511312217,602695.8875645454,0.0,828.75,12.047714850244184,174.0,5.076620778306828e-13,1.844605917648874e-05,0.0158737892779371,0.0001153951299749
