Model,model,model_name,model_type,index,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,score_transform,test_universe,test_period,available_months,available_days,support,weighted_support,positives,observed_prevalence,mean_normalized_score,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,raw_score_min,raw_score_max,raw_score_mean,raw_threshold_at_max_f1,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,period
FWI buinfdr,FWI buinfdr,FWI buinfdr,Fire weather index,buinfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0468290522817021,0.0006296078485059,0.8736065490254431,0.002309196200359,0.0016366552129603,0.0039200313602508,0.6538461538461539,12220.044785012384,0.0,52.0,2.561522849685088,34.0,2.838547989189121e-12,0.0012433273056152,0.0075292689994665,0.0017304790949769,2023
FWI buinfdr,FWI buinfdr,FWI buinfdr,Fire weather index,buinfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0451712322911916,0.0009487362825083,0.8810809941530997,0.0029436638664339,0.0014867721817266,0.1464686998394863,0.3653846153846153,736494.8130307045,0.0,52.0,2.561522849685088,19.0,9.460384035124885e-13,0.0008266716783081,0.0084350317468096,0.0004031699778685,2024
FWI drtcode,FWI drtcode,FWI drtcode,Fire weather index,drtcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.1259816854689868,0.0001238522303926,0.7809503892865708,0.000885871551508,0.0009366245637681,0.0008403361344537,0.7234523583227002,3202.9909486152687,0.0,1858.449951171875,248.48351677542573,1344.5,8.589048796060868e-13,1.2453474426818577e-05,0.010245242526333,7.923005530605392e-05,2022
FWI drtcode,FWI drtcode,FWI drtcode,Fire weather index,drtcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.13904981365035,0.0001640593333436,0.7296427511432657,0.0005056121745975,0.0002530494783743,0.2628381027048216,0.2982324058016783,5299358.878805074,0.0,1858.449951171875,248.48351677542573,554.25,2.9555680776132677e-12,2.867140987910904e-06,0.005753558011183,2.111319322450796e-05,2023
FWI drtcode,FWI drtcode,FWI drtcode,Fire weather index,drtcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.1406853619454063,0.0006713382379594,0.864374932384392,0.002139088988902,0.0010722078316049,0.4305778491171749,0.3761198947322926,3002216.4594541374,0.0,1858.449951171875,248.48351677542573,699.0,1.1329428285433962e-12,2.1707200760766024e-05,0.0051849513488871,9.100147171484636e-05,2024
FWI drtcode,FWI drtcode,FWI drtcode,Fire weather index,drtcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.1263181776111507,0.0001770421998554,0.8329100607841444,0.0004990977542926,0.0002496836664837,0.4622641509433962,0.3052274825277439,4906207.9921024265,0.0,1858.449951171875,248.48351677542573,567.25,1.2969528546304012e-12,1.055588597898882e-05,0.0093222488024215,6.324986814414776e-05,2025
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.5572447657925002,0.0002310851247101,0.8187304921268747,0.0006873940564364,0.0003439467694968,0.473343786750294,0.6285812177673601,7021435.332951791,0.1889891773462295,10.000121116638184,5.680731810044957,6.356082439422607,1.2352647682383285e-12,1.1088260280970404e-05,0.0079056971198147,3.724135478600412e-05,2023
FWI drtmrk,FWI drtmrk,FWI drtmrk,Fire weather index,drtmrk,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.5592241521740315,0.0004283671809991,0.8608272141124302,0.0012177810496038,0.0006096244709963,0.5057517388978063,0.6398850371205472,6202178.8492522845,0.1889891773462295,10.000121116638184,5.680731810044957,6.466985702514648,2.344755399565976e-12,1.0131112294499496e-05,0.0033904521731042,3.518988142839636e-05,2024
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.0096536385624001,0.0004499530305668,0.9367880400261936,0.0013735808426981,0.0006886000014884,0.261344537815126,0.0895927601809954,1354923.0293106183,0.0,828.75,12.047714850244184,74.25,5.004167753352483e-13,2.5437199994785825e-05,0.0082507829121153,0.0003228735306675,2022
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0175291731168534,0.0005477284706743,0.9067921575256104,0.0014127261665493,0.0007091871876887,0.1773814190513524,0.1070889894419306,1276108.7844091328,0.0,828.75,12.047714850244184,88.75,2.139923818370544e-12,2.868127136510401e-05,0.0045615301372715,0.0001328457226748,2023
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0182294384292578,0.0012136803667834,0.9365255829330952,0.0031661477753218,0.0015886381458392,0.4519796682718031,0.0965309200603318,2126979.0158632435,0.0,828.75,12.047714850244184,80.0,9.780405203490266e-13,6.493457442433096e-05,0.0031778946683322,0.0002142677082568,2024
FWI dufmcode,FWI dufmcode,FWI dufmcode,Fire weather index,dufmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.0119237469124498,0.0004304835134841,0.9153127300623276,0.0013870928413179,0.0006951555200926,0.2996226415094339,0.0811463046757164,1142190.45530155,0.0,828.75,12.047714850244184,67.25,3.0635167557702985e-12,2.496006612138733e-05,0.0056186379301329,0.0010245258701815,2025
FWI ercnfdr,FWI ercnfdr,FWI ercnfdr,Fire weather index,ercnfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0742071165832499,0.0009274436578234,0.8846602470521483,0.0051840484848659,0.002866743611417,0.027048216385731,0.7674418604651163,48138.24279590382,0.0,43.0,3.374418436672799,33.0,1.794531689649317e-12,0.0001443485451479,0.0062659180184832,0.0028548132521014,2023
