index,model_name,year,available_start_date,available_end_date,available_days,available_months,source_files,grid_types
drtcode,FWI drtcode,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
drtcode,FWI drtcode,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
drtcode,FWI drtcode,2024,2024-03-01,2024-10-31,245,"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",d2e455456ebc3bb16dbce068b7199cfe.grib,reduced_gg
drtcode,FWI drtcode,2025,2025-01-01,2025-10-02,275,"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",f9fdd85d8ea8547b6de3f6e65b5dce6c.grib,regular_ll
dufmcode,FWI dufmcode,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
dufmcode,FWI dufmcode,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
dufmcode,FWI dufmcode,2024,2024-03-01,2024-10-31,245,"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",d2e455456ebc3bb16dbce068b7199cfe.grib,reduced_gg
dufmcode,FWI dufmcode,2025,2025-01-01,2025-10-02,275,"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",f9fdd85d8ea8547b6de3f6e65b5dce6c.grib,regular_ll
fbupinx,FWI fbupinx,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
fbupinx,FWI fbupinx,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
fbupinx,FWI fbupinx,2024,2024-03-01,2024-10-31,245,"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",d2e455456ebc3bb16dbce068b7199cfe.grib,reduced_gg
fbupinx,FWI fbupinx,2025,2025-01-01,2025-10-02,275,"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",f9fdd85d8ea8547b6de3f6e65b5dce6c.grib,regular_ll
fdsrte,FWI fdsrte,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
fdsrte,FWI fdsrte,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
fdsrte,FWI fdsrte,2024,2024-03-01,2024-10-31,245,"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",d2e455456ebc3bb16dbce068b7199cfe.grib,reduced_gg
fdsrte,FWI fdsrte,2025,2025-01-01,2025-10-02,275,"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",f9fdd85d8ea8547b6de3f6e65b5dce6c.grib,regular_ll
ffmcode,FWI ffmcode,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
ffmcode,FWI ffmcode,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
ffmcode,FWI ffmcode,2024,2024-03-01,2024-10-31,245,"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",d2e455456ebc3bb16dbce068b7199cfe.grib,reduced_gg
ffmcode,FWI ffmcode,2025,2025-01-01,2025-10-02,275,"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",f9fdd85d8ea8547b6de3f6e65b5dce6c.grib,regular_ll
fwinx,FWI fwinx,2022,2022-01-01,2022-12-31,365,"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",c00ff253b984969a537c88605893c76.grib,reduced_gg
fwinx,FWI fwinx,2023,2023-03-01,2023-10-31,245,"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",a2677ecf17cc7cb3047c524687dd2d8e.grib,reduced_gg
