model_name,model_type,index,evaluation_type,score_transform,q_label,top_fraction_requested,top_fraction_observed,top_weighted_support,captured_fire_positive_grid_cells,observed_fire_positive_grid_cells,recall_at_top_q,precision_at_top_q,lift_at_q,average_precision,observed_prevalence,ap_lift,average_precision_error,max_f1_error
FWI icnfdr,Fire weather index,icnfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_5pct,0.05,0.0500011784147084,6935732.957289721,6928.0,12578.0,0.550802989346478,0.0009988850555035,11.015800163310798,0.001248835474941,9.067748512998756e-05,13.772277353643451,8.220208159398204e-05,0.0015660236992332
FWI infsinx,Fire weather index,infsinx,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.1pct,0.001,0.0010002053696912,319931.3208269129,333.0,18798.0,0.0177146504947334,0.0010408483893959,17.711013189422616,0.0006273586737388,5.876842720762758e-05,10.675097217123206,0.0008415573472198,0.0015038933187906
FWI infsinx,Fire weather index,infsinx,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.5pct,0.005,0.0050006035566897,1599521.2076469015,1326.0,18798.0,0.0705394190871369,0.0008289980737115,14.106181041440571,0.0006273586737388,5.876842720762758e-05,10.675097217123206,0.0008011132104309,0.0007015687291875
FWI infsinx,Fire weather index,infsinx,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_1pct,0.01,0.0100001000761131,3198688.312121059,2296.0,18798.0,0.1221406532609852,0.0007177942256204,12.21394309370338,0.0006273586737388,5.876842720762758e-05,10.675097217123206,0.0024458072652669,0.0037265193971016
FWI infsinx,Fire weather index,infsinx,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_5pct,0.05,0.0500005282655156,15993450.4800423,10479.0,18798.0,0.55745292052346,0.0006552057051776,11.148940618451917,0.0006273586737388,5.876842720762758e-05,10.675097217123206,6.227590073253661e-05,0.0007817701256951
FWI kbdi,Fire weather index,kbdi,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.1pct,0.001,0.0010007834908326,138820.069057366,20.0,12578.0,0.0015900779138177,0.0001440713877741,1.588833077666804,0.0004918145326044,9.067748512998756e-05,5.423777819813168,1.5071203099775511e-05,0.0001185663437373
FWI kbdi,Fire weather index,kbdi,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.5pct,0.005,0.0050007597205833,693662.3316728527,62.0,12578.0,0.0049292415328351,8.938066429307083e-05,0.9856985354737428,0.0004918145326044,9.067748512998756e-05,5.423777819813168,1.6182515019185016e-05,0.0001104941079243
FWI kbdi,Fire weather index,kbdi,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_1pct,0.01,0.0100004547126605,1387176.973374694,176.0,12578.0,0.0139926856415964,0.0001268763851895,1.3992049405395208,0.0004918145326044,9.067748512998756e-05,5.423777819813168,1.7095581943928604e-05,0.0001617637879485
FWI kbdi,Fire weather index,kbdi,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_5pct,0.05,0.0500006619681388,6935661.320268212,4652.0,12578.0,0.3698521227540149,0.0006707363271048,7.396944524248299,0.0004918145326044,9.067748512998756e-05,5.423777819813168,1.9153965827247563e-05,0.0003546670734408
FWI scnfdr,Fire weather index,scnfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.1pct,0.001,0.0010013468547302,138898.2140466516,98.0,12578.0,0.0077913817777071,0.000705552628395,7.780902032998355,0.0003068766576701,9.067748512998756e-05,3.3842652035428618,0.0005064662936677,0.0008268723244651
FWI scnfdr,Fire weather index,scnfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_0.5pct,0.005,0.0050009858305933,693693.6957066169,293.0,12578.0,0.0232946414374304,0.0004223766221509,4.658009885756208,0.0003068766576701,9.067748512998756e-05,3.3842652035428618,1.1163152268645045e-05,0.001049761450366
FWI scnfdr,Fire weather index,scnfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_1pct,0.01,0.0100009764812705,1387249.3486238187,648.0,12578.0,0.0515185244076959,0.0004671114105354,5.151349421146806,0.0003068766576701,9.067748512998756e-05,3.3842652035428618,2.1753123228725123e-05,0.0021207565643906
FWI scnfdr,Fire weather index,scnfdr,fire_weather_index_full_grid_ranking,minmax_per_index_evaluation_rows,top_5pct,0.05,0.0500007361171224,6935671.605576783,2460.0,12578.0,0.1955795833995866,0.0003546880734696,3.911534081047492,0.0003068766576701,9.067748512998756e-05,3.3842652035428618,2.061216844315094e-05,0.0010247588534949
FWI Logistic Regression (train 2022),FWI logistic regression,logistic_train_2022,fire_weather_index_full_grid_ranking,weighted_logistic_regression_probability,top_0.1pct,0.001,0.0010005851231128958,216668.31850833597,68.0,15228.0,0.004465458366167586,0.00031384376113752785,4.462847051208605,0.00021079661965509613,7.032366503632122e-05,2.997520387286734,2.158629953767289e-05,0.00023371843999259433
FWI Logistic Regression (train 2022),FWI logistic regression,logistic_train_2022,fire_weather_index_full_grid_ranking,weighted_logistic_regression_probability,top_0.5pct,0.005,0.005000693892423903,1082858.3316085767,457.0,15228.0,0.03001050696086157,0.00042203119896684036,6.001268545216848,0.00021079661965509613,7.032366503632122e-05,2.997520387286734,1.3209850633722994e-05,0.00033574440495258
FWI Logistic Regression (train 2022),FWI logistic regression,logistic_train_2022,fire_weather_index_full_grid_ranking,weighted_logistic_regression_probability,top_1pct,0.01,0.010000641683010321,2165555.1011203066,953.0,15228.0,0.06258208563173102,0.0004400719240563237,6.257807010329063,0.00021079661965509613,7.032366503632122e-05,2.997520387286734,1.5508666818145183e-05,0.0005202263669006927
FWI Logistic Regression (train 2022),FWI logistic regression,logistic_train_2022,fire_weather_index_full_grid_ranking,weighted_logistic_regression_probability,top_5pct,0.05,0.05000017381824064,10827118.3891072,3317.0,15228.0,0.21782243236143944,0.0003063603703952404,4.356433502676651,0.00021079661965509613,7.032366503632122e-05,2.997520387286734,1.3518498306159685e-05,0.00027843933082628467
