model_name,model_type,evaluation_type,is_primary,calibration_method,test_universe,test_period,metric_name,metric_value
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,average_precision,0.0003551164502724
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,roc_auc,0.8545967843562654
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,max_f1,0.0007204822204256
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,precision_at_max_f1,0.0003603758384761
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,recall_at_max_f1,0.9635854341736696
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,threshold_at_max_f1,0.999999999999
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_brier_score,0.2759086088930572
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_logloss,7.493276839325877
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_ece,0.2762776846693167
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_mce,0.9997435497169046
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_rmse,0.5135355534893908
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,calibration_intercept,-10.142005537495775
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,calibration_slope,0.0799955884654139
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,expected_observed_count_ratio,2777.2373170941905
Logistic Regression (linear SGD),linear_sgd,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,daily_expected_observed_count_mae,31971.50716777486
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,average_precision,9.951374850729378e-05
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,roc_auc,0.2434794584017616
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,max_f1,0.000199007693013
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,precision_at_max_f1,9.951374850729378e-05
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,recall_at_max_f1,1.0
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,threshold_at_max_f1,1e-12
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_brier_score,9.951473539709684e-05
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_logloss,0.0027706187477703
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_ece,0.0001204655155993
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_mce,0.0004460004896005
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_rmse,0.0001737464600513
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,calibration_intercept,-12.61459085343173
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,calibration_slope,-0.1477441728903593
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,expected_observed_count_ratio,0.2105414406947887
Poisson Point-Process GLM,poisson_glm,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,daily_expected_observed_count_mae,9.739220319772548
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,average_precision,0.0001945614138752
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,roc_auc,0.7435688835844695
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,max_f1,0.0020338983050847
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,precision_at_max_f1,0.001156961048978
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,recall_at_max_f1,0.0084033613445378
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,threshold_at_max_f1,0.000102217131093
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_brier_score,9.95082543755694e-05
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,weighted_logloss,0.0010625584520153
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_ece,8.376724029142074e-05
CatBoost,CatBoost,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022-05-01 to 2022-05-31,reliability_mce,0.0003315903425008
