model_name,model_type,scale,spatial_resolution_degrees,support_units,weighted_support,positive_units,observed_prevalence,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,weighted_brier_score,weighted_logloss,observed_fire_positive_grid_cells,expected_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error
Logistic Regression (linear SGD),linear_sgd,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0003551164502724,0.8545967843562654,0.0007204822204256,0.0003603758384761,0.9635854341736696,0.999999999999,0.2759086088930572,7.493276839325877,357.0,991473.722202626,2777.2373170941905,0.0,3.466808201605676e-06,0.0012198811856654,6.928391643572296e-06
Logistic Regression (linear SGD),linear_sgd,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0009621699183583,0.6652803203752049,0.0024589109909766,0.0012319825175814,0.599388379204893,0.999999999999,0.2758901290663402,7.492758350444637,1962.0,991473.722202626,505.3382885844169,0.0,9.62614122017598e-05,0.032509436785754,0.0002585749820159
Logistic Regression (linear SGD),linear_sgd,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0042146452285429,0.8072240769606565,0.0193704600484261,0.0172057811424638,0.0221582096166629,0.96,0.1427553420229268,0.4214219220939839,357.0,991473.7222010208,219.6928256597214,9.13642233848659e-07,2.390828610618285e-05,0.0083124307082154,0.0081079883694147
Logistic Regression (linear SGD),linear_sgd,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0097930817974569,0.7606688839198702,0.0233032779816601,0.0137290986891872,0.0770010131712259,0.69,0.1325232395427374,0.3861222553828444,357.0,991473.7222010208,62.78329041299767,9.95013260986944e-06,0.003237293204894,0.0450097332314349,0.0097126454612953
Poisson Point-Process GLM,poisson_glm,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,9.951374850729378e-05,0.2434794584017616,0.000199007693013,9.951374850729378e-05,1.0,1e-12,9.951473539709684e-05,0.0027706187477703,357.0,75.1632943280396,0.2105414406947887,0.0,0.0,0.0035358874946822,0.0
Poisson Point-Process GLM,poisson_glm,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0005175940520834,0.4468961939926497,0.0010932170949733,0.0005469074917963,1.0,1e-12,0.0005468889398095,0.0114758966552958,1962.0,75.1632943280396,0.0383095281998163,0.0,5.331612811780107e-07,0.0017317570194013,0.0
Poisson Point-Process GLM,poisson_glm,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0009991204803464,0.4336662199584736,0.0029468613057869,0.0014756786854187,0.9672058497673388,1.1351355915443966e-05,0.0012579486034145,0.0137172185090785,357.0,75.16329260152727,0.0166548399642615,2.3630084523694e-06,4.4131580174749776e-05,0.0171556424187236,5.75999738395371e-05
Poisson Point-Process GLM,poisson_glm,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0041167694257261,0.5157514306188693,0.0110650082582294,0.0055752363447304,0.7218211752786221,2.17567655045894e-05,0.0044018196022241,0.0471781946397502,357.0,75.16329260152727,0.0047595803400366,3.185410706653866e-05,4.9518497223748e-05,0.0008412235597847,0.0003063536292075
CatBoost,CatBoost,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0001945614138752,0.7435688835844695,0.0020338983050847,0.001156961048978,0.0084033613445378,0.000102217131093,9.95082543755694e-05,0.0010625584520153,357.0,68.4978894716056,0.1918708388560381,0.0,1.5013497671255751e-05,0.0417941901871437,4.4270922012391215e-05
CatBoost,CatBoost,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0009875830285233,0.7381878362633767,0.0040676242532096,0.002709568162574,0.0081549439347604,8.877243831205588e-05,0.0005468753341011,0.0057652121847804,1962.0,68.4978894716056,0.0349122780181476,0.0,9.76475333366555e-05,0.0226961470091461,0.0002153054699354
CatBoost,CatBoost,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0025928426942407,0.7421219190419059,0.0174489617867736,0.0410509031198686,0.0110791048083314,9.96483495956532e-05,0.0012579233047984,0.0132041663433804,357.0,68.49788947160562,0.0151779059321084,5.0976815860570776e-06,0.0004854953939112,0.0593072076324163,0.0010080302458699
CatBoost,CatBoost,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0073876831053174,0.7286450602558106,0.0190169544738839,0.0096116262759001,0.8860182370820668,1.8897690327509626e-05,0.0044017680308424,0.0463182251157482,357.0,68.49788947160562,0.0043375056656285,2.779866019130248e-06,0.0002586753670432,0.0017492130497268,0.0002499795156032
CatBoost deployment-weighted,CatBoost,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0001020856996429,0.4663520459204189,0.0003061207669973,0.0001531891626916,0.1820728291316526,1.957214337597572e-05,9.951025018997562e-05,0.0010987987582672,357.0,69.98570111840546,0.1960383784829284,0.0,2.080054899804005e-05,0.1142975632656023,8.231742840431852e-05
CatBoost deployment-weighted,CatBoost,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0005663674039188,0.4542853300053853,0.0017969662705208,0.0009026376817059,0.1952089704383282,1.957214337597572e-05,0.0005468865628293,0.0059512785062321,1962.0,69.98570111840546,0.0356705918034686,0.0,0.0002161265767632,0.2043891348655042,0.0005435162253033
CatBoost deployment-weighted,CatBoost,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0010736626506539,0.4024302351007635,0.0030201038244581,0.0015332720024532,0.0997119432749833,1.957214337597572e-05,0.0012579500960617,0.0136637982190753,357.0,69.98570111840546,0.0155075783555075,6.75013207747201e-07,5.179996375856084e-05,0.0140864724622667,0.0005128018097714
CatBoost deployment-weighted,CatBoost,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0034071609459847,0.3659040630932313,0.008879834616454,0.0044597180877546,1.0,1.930592606853301e-05,0.0044018487907968,0.0477637522060819,357.0,69.98570111840547,0.004431718662513,5.742862368282737e-05,0.0002303608063558,0.0282241922172612,5.819327185327922e-06
Weather-only CatBoost,CatBoost,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0001631001659611,0.6611154924637753,0.0004200703617855,0.0002101477338569,0.392156862745098,2.051833093387501e-05,9.951014733547307e-05,0.0010962237663405,357.0,69.05766867353267,0.1934388478250215,0.0,0.0002959791469013,0.2559275368650981,0.0006865192195763
Weather-only CatBoost,CatBoost,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0008902020519751,0.662212222818812,0.0022808908045977,0.0011438040942782,0.3883792048929663,2.051833093387501e-05,0.0005468860212415,0.0059379202687766,1962.0,69.05766867353267,0.0351975885186201,0.0,0.0004459126986437,0.1008004789129554,0.001050093915056
Weather-only CatBoost,CatBoost,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0020498932854248,0.6661462092381316,0.0052878717373831,0.0026598043713884,0.4431641923332595,2.043099212680784e-05,0.0012579488236209,0.0136324802952724,357.0,69.05766867353267,0.0153019429810619,1.3246391995085368e-06,0.0002910864317159,0.0366095347600607,0.0011647435149436
Weather-only CatBoost,CatBoost,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0077054359435946,0.6823213120283649,0.0178377830799704,0.0090733078543973,0.5240628166160081,1.9917822213343e-05,0.0044018445060868,0.0476581549000808,357.0,69.05766867353267,0.0043729526768954,3.683141791207032e-05,0.0011446735929051,0.0569462118342614,0.0055769962144431
FWI-only CatBoost,CatBoost,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.000307557579337,0.7530456614297363,0.002658690594882,0.0013493569470799,0.0896358543417367,2.5104544365738588e-05,9.95095958390212e-05,0.001083205808779,357.0,69.9999999999999,0.1960784313725487,0.0,0.0031590600915133,0.1679546559974047,0.0122264019283345
FWI-only CatBoost,CatBoost,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0012523866034235,0.7367958564819803,0.0085679791252872,0.0046384145055871,0.056065239551478,2.5104544365738588e-05,0.0005468830697288,0.0058691427645951,1962.0,69.9999999999999,0.0356778797145769,0.0,0.0004666098635601,0.0904646069345783,0.000978501332552
