model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Logistic Regression (linear SGD),linear_sgd,0,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,1,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,2,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,5.575006132506746e-06,1.7937199999999997e-07,1.0,1.7937199999999997e-07
Logistic Regression (linear SGD),linear_sgd,3,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,4,179373,179373.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937299999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,5,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,6,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,7,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,8,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,9,179373,179373.0,1e-12,1e-12,9.999999999999998e-13,5.574975051986642e-06,1.7937299999999997e-07,1.0,1.7937299999999997e-07
Logistic Regression (linear SGD),linear_sgd,10,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,5.575006132506746e-06,1.7937199999999997e-07,1.0,1.7937199999999997e-07
