model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Logistic Regression (linear SGD),linear_sgd,11,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,1.672501839752024e-05,1.7937199999999997e-07,3.0,5.979066666666665e-08
Logistic Regression (linear SGD),linear_sgd,12,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Logistic Regression (linear SGD),linear_sgd,13,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,5.575006132506746e-06,1.7937199999999997e-07,1.0,1.7937199999999997e-07
Logistic Regression (linear SGD),linear_sgd,14,179373,179373.0,1e-12,0.999999999999,0.5274635658711823,6.132472557185307e-05,94612.72220101158,11.0,8601.156563728326
Logistic Regression (linear SGD),linear_sgd,15,179372,179372.0,0.999999999999,0.999999999999,0.999999999999,0.0002564502820953,179371.9999998206,46.0,3899.391304343926
Logistic Regression (linear SGD),linear_sgd,16,179372,179372.0,0.999999999999,0.999999999999,0.999999999999,0.0002954753250228,179371.9999998206,53.0,3384.377358487181
Logistic Regression (linear SGD),linear_sgd,17,179372,179372.0,0.999999999999,0.999999999999,0.999999999999,0.0005184755703231,179371.9999998206,93.0,1928.73118279377
Logistic Regression (linear SGD),linear_sgd,18,179372,179372.0,0.999999999999,0.999999999999,0.999999999999,0.0005129005641906,179371.9999998206,92.0,1949.695652171963
Logistic Regression (linear SGD),linear_sgd,19,179373,179373.0,0.999999999999,0.999999999999,0.999999999999,0.0003066236278592,179372.9999998206,55.0,3261.327272724011
Poisson Point-Process GLM,poisson_glm,0,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0002453002698302,1.7937199999999997e-07,44.0,4.076636363636362e-09
Poisson Point-Process GLM,poisson_glm,1,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0002397252636977,1.7937199999999997e-07,43.0,4.171441860465115e-09
Poisson Point-Process GLM,poisson_glm,2,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0004460004906005,1.7937199999999997e-07,80.0,2.2421499999999993e-09
Poisson Point-Process GLM,poisson_glm,3,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937199999999997e-07,0.0,
Poisson Point-Process GLM,poisson_glm,4,179373,179373.0,1e-12,1e-12,9.999999999999998e-13,0.0,1.7937299999999997e-07,0.0,
Poisson Point-Process GLM,poisson_glm,5,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,6.690007359008096e-05,1.7937199999999997e-07,12.0,1.4947666666666663e-08
Poisson Point-Process GLM,poisson_glm,6,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0001505251655776,1.7937199999999997e-07,27.0,6.643407407407405e-09
Poisson Point-Process GLM,poisson_glm,7,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0003177753495528,1.7937199999999997e-07,57.0,3.146877192982455e-09
Poisson Point-Process GLM,poisson_glm,8,179372,179372.0,1e-12,1e-12,9.999999999999998e-13,0.0002954753250228,1.7937199999999997e-07,53.0,3.384377358490565e-09
Poisson Point-Process GLM,poisson_glm,9,179373,179373.0,1e-12,1.253812871488056e-11,1.8761717504265322e-12,0.0002285739771314,3.365345553892584e-07,41.0,8.208159887542888e-09
Poisson Point-Process GLM,poisson_glm,10,179372,179372.0,1.2538379820512967e-11,2.550750428373591e-06,1.9106217863963738e-07,0.0,0.034271205106949,0.0,
Poisson Point-Process GLM,poisson_glm,11,179372,179372.0,2.550750428373591e-06,4.72973163142976e-05,4.046569588336501e-05,0.0,7.258412801990948,0.0,
Poisson Point-Process GLM,poisson_glm,12,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,13,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,14,179373,179373.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483861519244503,0.0,
Poisson Point-Process GLM,poisson_glm,15,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,16,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,17,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,18,179372,179372.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483814221928188,0.0,
Poisson Point-Process GLM,poisson_glm,19,179373,179373.0,4.72973163142976e-05,4.72973163142976e-05,4.72973163142976e-05,0.0,8.483861519244503,0.0,
CatBoost,CatBoost,0,179372,179372.0,5.996499474492868e-07,2.498812621725916e-06,2.1052465513418733e-06,0.0,0.3776222844072945,0.0,
CatBoost,CatBoost,1,179372,179372.0,2.498812621725916e-06,3.1698325900521243e-06,2.806180411728931e-06,0.0,0.5033501928126418,0.0,
CatBoost,CatBoost,2,179372,179372.0,3.1698325900521243e-06,3.945927605932655e-06,3.568483910887335e-06,5.575006132506746e-06,0.640086096063683,1.0,0.640086096063683
CatBoost,CatBoost,3,179372,179372.0,3.945927605932655e-06,4.676127270824261e-06,4.313782936889269e-06,0.0,0.7737718729557019,0.0,
CatBoost,CatBoost,4,179373,179373.0,4.676127270824261e-06,5.396888830030238e-06,5.0361922931693296e-06,0.0,0.903356920202662,0.0,
CatBoost,CatBoost,5,179372,179372.0,5.396888830030238e-06,6.167336247498168e-06,5.776054166023152e-06,0.0,1.0360623878679047,0.0,
CatBoost,CatBoost,6,179372,179372.0,6.167336247498168e-06,7.272980757556341e-06,6.6796988837305134e-06,0.0,1.1981509481725097,0.0,
CatBoost,CatBoost,7,179372,179372.0,7.272980757556341e-06,8.896020947663772e-06,8.029318379400018e-06,5.575006132506746e-06,1.4402348963497402,1.0,1.4402348963497402
CatBoost,CatBoost,8,179372,179372.0,8.896020947663772e-06,1.0913846420752922e-05,9.876329767422707e-06,5.575006132506746e-06,1.7715370230421463,1.0,1.7715370230421463
CatBoost,CatBoost,9,179373,179373.0,1.0913919277986118e-05,1.3197295090760728e-05,1.2033110155742976e-05,4.4599800415893136e-05,2.1584150679660845,8.0,0.2698018834957605
CatBoost,CatBoost,10,179372,179372.0,1.3197295090760728e-05,1.5571495475446493e-05,1.43906177900554e-05,0.0001003501103851,2.581273894237817,18.0,0.1434041052354343
CatBoost,CatBoost,11,179372,179372.0,1.5571495475446493e-05,1.8150520980695776e-05,1.6830162916601162e-05,0.0001561001717101,3.018859982676584,28.0,0.1078164279527351
CatBoost,CatBoost,12,179372,179372.0,1.8150520980695776e-05,2.118514792791711e-05,1.9635043847081e-05,0.0003512253863479,3.521977084938612,63.0,0.0559043981736287
CatBoost,CatBoost,13,179372,179372.0,2.118514792791711e-05,2.446463475221924e-05,2.2794730264997635e-05,0.0001338001471801,4.088736357093156,24.0,0.1703640148788815
CatBoost,CatBoost,14,179373,179373.0,2.446463475221924e-05,2.8014217245442105e-05,2.62203384129014e-05,0.0001505243264036,4.703220762137362,27.0,0.174193361560643
CatBoost,CatBoost,15,179372,179372.0,2.8014217245442105e-05,3.167722185212354e-05,2.980218054150029e-05,0.0002453002698302,5.345676728089991,44.0,0.1214926529111361
CatBoost,CatBoost,16,179372,179372.0,3.167722185212354e-05,3.705318076894305e-05,3.4090712704162255e-05,0.0002954753250228,6.114919319170991,53.0,0.1153758362107734
CatBoost,CatBoost,17,179372,179372.0,3.705318076894305e-05,4.528448570705141e-05,4.112343442402919e-05,0.0001672501839752,7.376392679506964,30.0,0.2458797559835654
CatBoost,CatBoost,18,179372,179372.0,4.528448570705141e-05,5.527213987555316e-05,4.9751674405639696e-05,0.0001895502085052,8.924057341488403,34.0,0.2624722747496589
CatBoost,CatBoost,19,179373,179373.0,5.527213987555316e-05,0.0001222444699059,6.701224617096977e-05,0.0001393743762996,12.020187632425362,25.0,0.4808075052970145
CatBoost deployment-weighted,CatBoost,0,179372,179372.0,1.874513378005332e-05,1.93244103253188e-05,1.9237720118048165e-05,7.805008585509444e-05,3.450708333014536,14.0,0.2464791666438954
CatBoost deployment-weighted,CatBoost,1,179372,179372.0,1.93244103253188e-05,1.9499553315257803e-05,1.936338372905643e-05,0.0003568003924804,3.4732488662483103,64.0,0.0542695135351298
CatBoost deployment-weighted,CatBoost,2,179372,179372.0,1.9499553315257803e-05,1.9499553315257803e-05,1.949955331525781e-05,0.0001115001226501,3.497673877264423,20.0,0.1748836938632211
CatBoost deployment-weighted,CatBoost,3,179372,179372.0,1.9499553315257803e-05,1.9499553315257803e-05,1.949955331525781e-05,4.4600049060053966e-05,3.497673877264423,8.0,0.4372092346580529
CatBoost deployment-weighted,CatBoost,4,179373,179373.0,1.9499553315257803e-05,1.952435474110419e-05,1.9502490900470807e-05,0.0001560993014556,3.49822030029015,28.0,0.1249364392960767
CatBoost deployment-weighted,CatBoost,5,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,0.0001170751287826,3.5021225586213403,21.0,0.1667677408867305
CatBoost deployment-weighted,CatBoost,6,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,0.0002230002453002,3.5021225586213403,40.0,0.0875530639655335
CatBoost deployment-weighted,CatBoost,7,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,0.0001003501103851,3.5021225586213403,18.0,0.1945623643678522
CatBoost deployment-weighted,CatBoost,8,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,2.787503066253373e-05,3.5021225586213403,5.0,0.700424511724268
CatBoost deployment-weighted,CatBoost,9,179373,179373.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,5.574975051986642e-06,3.502142082976081,1.0,3.502142082976081
CatBoost deployment-weighted,CatBoost,10,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,0.0,3.5021225586213403,0.0,
CatBoost deployment-weighted,CatBoost,11,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,0.0001282251410476,3.5021225586213403,23.0,0.1522661982009278
CatBoost deployment-weighted,CatBoost,12,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,5.575006132506746e-06,3.5021225586213403,1.0,3.5021225586213403
CatBoost deployment-weighted,CatBoost,13,179372,179372.0,1.952435474110419e-05,1.952435474110419e-05,1.9524354741104182e-05,1.1150012265013491e-05,3.5021225586213403,2.0,1.75106127931067
CatBoost deployment-weighted,CatBoost,14,179373,179373.0,1.952435474110419e-05,1.955457458843327e-05,1.9533950734169866e-05,7.8049650727813e-05,3.5038633450402514,14.0,0.2502759532171608
CatBoost deployment-weighted,CatBoost,15,179372,179372.0,1.955457458843327e-05,1.955457458843327e-05,1.955457458843327e-05,5.575006132506746e-05,3.5075431530764525,10.0,0.3507543153076452
CatBoost deployment-weighted,CatBoost,16,179372,179372.0,1.955457458843327e-05,1.955457458843327e-05,1.955457458843327e-05,3.345003679504048e-05,3.5075431530764525,6.0,0.584590525512742
CatBoost deployment-weighted,CatBoost,17,179372,179372.0,1.955457458843327e-05,1.957214337597572e-05,1.956099662025985e-05,0.0003122003434203,3.508695085769249,56.0,0.0626552693887365
CatBoost deployment-weighted,CatBoost,18,179372,179372.0,1.957214337597572e-05,1.957214337597572e-05,1.957214337597572e-05,8.920009812010793e-05,3.5106945016355176,16.0,0.2194184063522198
CatBoost deployment-weighted,CatBoost,19,179373,179373.0,1.957214337597572e-05,1.957214337597572e-05,1.957214337597572e-05,5.574975051986643e-05,3.5107140737788933,10.0,0.3510714073778893
Weather-only CatBoost,CatBoost,0,179372,179372.0,1.5518206712918246e-05,1.6583103859193574e-05,1.6344196338941004e-05,0.0,2.9316911857085257,0.0,
Weather-only CatBoost,CatBoost,1,179372,179372.0,1.6583103859193574e-05,1.7354944238657556e-05,1.6928949717850394e-05,0.0,3.036579568790261,0.0,
Weather-only CatBoost,CatBoost,2,179372,179372.0,1.7354944238657556e-05,1.7846103283434754e-05,1.768831749881889e-05,0.0,3.172788886398142,0.0,
Weather-only CatBoost,CatBoost,3,179372,179372.0,1.7846103283434754e-05,1.8573771301888813e-05,1.827247453707781e-05,6.690007359008096e-05,3.2775703026647207,12.0,0.2731308585553934
Weather-only CatBoost,CatBoost,4,179373,179373.0,1.8573771301888813e-05,1.8573771301888813e-05,1.8573771301888813e-05,0.0,3.331633079733702,0.0,
Weather-only CatBoost,CatBoost,5,179372,179372.0,1.8573771301888813e-05,1.8573771301888813e-05,1.8573771301888813e-05,0.0,3.3316145059624,0.0,
Weather-only CatBoost,CatBoost,6,179372,179372.0,1.8573771301888813e-05,1.9029036340587e-05,1.87132865461708e-05,4.4600049060053966e-05,3.356639634359748,8.0,0.4195799542949684
Weather-only CatBoost,CatBoost,7,179372,179372.0,1.9029036340587e-05,1.909942362786864e-05,1.9079485776940783e-05,0.0001170751287826,3.4223255227814224,21.0,0.1629678820372106
Weather-only CatBoost,CatBoost,8,179372,179372.0,1.909942362786864e-05,1.941862189756409e-05,1.9202967642458643e-05,0.0003066253372878,3.444474711963092,55.0,0.0626268129447834
Weather-only CatBoost,CatBoost,9,179373,179373.0,1.941862189756409e-05,1.941862189756409e-05,1.941862189756409e-05,7.8049650727813e-05,3.4831764656317645,14.0,0.2487983189736974
Weather-only CatBoost,CatBoost,10,179372,179372.0,1.941862189756409e-05,1.943153081366649e-05,1.942438323867964e-05,6.132506745757421e-05,3.4841904702884445,11.0,0.3167445882080404
Weather-only CatBoost,CatBoost,11,179372,179372.0,1.943153081366649e-05,1.96887282898322e-05,1.9581655153441973e-05,0.0001115001226501,3.5124006481831933,20.0,0.1756200324091596
Weather-only CatBoost,CatBoost,12,179372,179372.0,1.96887282898322e-05,1.96887282898322e-05,1.968872828983219e-05,0.0001728251901077,3.53160657080378,31.0,0.1139227926065735
Weather-only CatBoost,CatBoost,13,179372,179372.0,1.96887282898322e-05,1.9912708307280065e-05,1.979595555783265e-05,7.247507972258769e-05,3.550840140319558,13.0,0.2731415492553506
Weather-only CatBoost,CatBoost,14,179373,179373.0,1.9912708307280065e-05,1.992690992156428e-05,1.9913334491641e-05,1.6724925155959926e-05,3.571914547769121,3.0,1.190638182589707
Weather-only CatBoost,CatBoost,15,179372,179372.0,1.992690992156428e-05,2.043099212680784e-05,2.017366957630699e-05,0.0001338001471801,3.618591459241337,24.0,0.1507746441350557
Weather-only CatBoost,CatBoost,16,179372,179372.0,2.043099212680784e-05,2.051833093387501e-05,2.049335712629376e-05,0.0003735254108779,3.675934454457563,67.0,0.0548646933501128
Weather-only CatBoost,CatBoost,17,179372,179372.0,2.051833093387501e-05,2.099235236208376e-05,2.0935205654951004e-05,0.0001226501349151,3.7551897087398713,22.0,0.1706904413063578
Weather-only CatBoost,CatBoost,18,179372,179372.0,2.099235236208376e-05,2.1099818868239274e-05,2.104773441109923e-05,0.0001784001962402,3.775374216787691,32.0,0.1179804442746153
Weather-only CatBoost,CatBoost,19,179373,179373.0,2.1099818868239274e-05,2.145528901964745e-05,2.11466195745644e-05,0.0001337994012476,3.7931325929483393,24.0,0.1580471913728474
FWI-only CatBoost,CatBoost,0,179372,179372.0,1.3555926499223583e-05,1.3801724551464388e-05,1.3599435990915372e-05,0.0,2.439358032562472,0.0,
FWI-only CatBoost,CatBoost,1,179372,179372.0,1.3801724551464388e-05,1.3801724551464388e-05,1.380172455146439e-05,0.0,2.4756429362452703,0.0,
FWI-only CatBoost,CatBoost,2,179372,179372.0,1.3801724551464388e-05,1.407554856595512e-05,1.3948716996783796e-05,0.0,2.502009265147102,0.0,
FWI-only CatBoost,CatBoost,3,179372,179372.0,1.407554856595512e-05,1.4158726708800951e-05,1.407982899391863e-05,0.0,2.5255270862971724,0.0,
FWI-only CatBoost,CatBoost,4,179373,179373.0,1.4158726708800951e-05,1.504306366462298e-05,1.4608912674397015e-05,0.0,2.620444493144616,0.0,
FWI-only CatBoost,CatBoost,5,179372,179372.0,1.504306366462298e-05,1.7347308892127027e-05,1.590358783794244e-05,0.0,2.852658357667411,0.0,
FWI-only CatBoost,CatBoost,6,179372,179372.0,1.7347308892127027e-05,1.797538777831241e-05,1.7567981327110233e-05,0.0,3.151203946606417,0.0,
FWI-only CatBoost,CatBoost,7,179372,179372.0,1.797538777831241e-05,1.938700251017086e-05,1.858415186010077e-05,0.0,3.333476487449996,0.0,
FWI-only CatBoost,CatBoost,8,179372,179372.0,1.938700251017086e-05,2.010889729128517e-05,1.983929467419467e-05,0.0,3.5586139642996466,0.0,
FWI-only CatBoost,CatBoost,9,179373,179373.0,2.010889729128517e-05,2.098782029877037e-05,2.059554026408344e-05,7.8049650727813e-05,3.694283843789439,14.0,0.2638774174135313
FWI-only CatBoost,CatBoost,10,179372,179372.0,2.098782029877037e-05,2.134707291243497e-05,2.123129884279698e-05,0.0002118502330352,3.8083005360301794,38.0,0.1002184351586889
FWI-only CatBoost,CatBoost,11,179372,179372.0,2.134707291243497e-05,2.134707291243497e-05,2.134707291243497e-05,0.0002564502820953,3.8290671624492862,46.0,0.0832405904880279
FWI-only CatBoost,CatBoost,12,179372,179372.0,2.134707291243497e-05,2.1441039940478293e-05,2.138905858847666e-05,0.0001059251165176,3.8365982171322353,19.0,0.2019262219543281
FWI-only CatBoost,CatBoost,13,179372,179372.0,2.1441039940478293e-05,2.179994565833852e-05,2.14627773410926e-05,0.0003289253618178,3.849821297226462,59.0,0.0652512084275671
FWI-only CatBoost,CatBoost,14,179373,179373.0,2.179994565833852e-05,2.2257073641565533e-05,2.196065281769209e-05,5.017477546787978e-05,3.939148177867883,9.0,0.4376831308742092
FWI-only CatBoost,CatBoost,15,179372,179372.0,2.227081685137732e-05,2.352182395858003e-05,2.295103833285128e-05,2.787503066253373e-05,4.1167736478402,5.0,0.8233547295680399
FWI-only CatBoost,CatBoost,16,179372,179372.0,2.352182395858003e-05,2.403124099068138e-05,2.3864820237103225e-05,0.0002397252636977,4.28068053556968,43.0,0.0995507101295274
FWI-only CatBoost,CatBoost,17,179372,179372.0,2.403124099068138e-05,2.4289565906873222e-05,2.411336842138436e-05,7.247507972258769e-05,4.325263120480555,13.0,0.3327125477292734
FWI-only CatBoost,CatBoost,18,179372,179372.0,2.4289565906873222e-05,2.4705372493430345e-05,2.4413283492478463e-05,0.0002508752759628,4.379059486612848,45.0,0.097312433035841
FWI-only CatBoost,CatBoost,19,179373,179373.0,2.4705372493430345e-05,2.5616347759954283e-05,2.4987425117386822e-05,0.0003679483534311,4.482069405581027,66.0,0.0679101425088034
Random Forest,random_forest,0,179372,179372.0,1e-12,9.45944151728466e-07,4.682277629325974e-07,0.0,0.0839869502927458,0.0,
Random Forest,random_forest,1,179372,179372.0,9.459482112852268e-07,1.6159593801982763e-06,1.2906536997684764e-06,0.0,0.2315071354348711,0.0,
Random Forest,random_forest,2,179372,179372.0,1.6159636182191177e-06,2.214891497775938e-06,1.919381567072191e-06,0.0,0.344283310448873,0.0,
Random Forest,random_forest,3,179372,179372.0,2.2148988907698743e-06,2.806894178619172e-06,2.5082492709646187e-06,0.0,0.4499096882314656,0.0,
Random Forest,random_forest,4,179373,179373.0,2.806899532335024e-06,3.4763065293442024e-06,3.1319322142574216e-06,0.0,0.5617840770679965,0.0,
Random Forest,random_forest,5,179372,179372.0,3.4763065293442024e-06,4.298960888354313e-06,3.871102360967426e-06,5.575006132506746e-06,0.6943673726914491,1.0,0.6943673726914491
Random Forest,random_forest,6,179372,179372.0,4.298964988147229e-06,5.352652374283622e-06,4.800886256869691e-06,0.0,0.8611445696672303,0.0,
Random Forest,random_forest,7,179372,179372.0,5.35265620277982e-06,6.751455113987142e-06,6.022594308373763e-06,0.0,1.0802847862816187,0.0,
Random Forest,random_forest,8,179372,179372.0,6.751463162299276e-06,8.494952254729544e-06,7.592854484766321e-06,0.0,1.3619454946415046,0.0,
Random Forest,random_forest,9,179373,179373.0,8.494999850288037e-06,1.0565457187172707e-05,9.508808835207252e-06,1.6724925155959926e-05,1.7056235671976303,3.0,0.5685411890658768
Random Forest,random_forest,10,179372,179372.0,1.0565462225123258e-05,1.2772251537490964e-05,1.1665712580411845e-05,6.132506745757421e-05,2.092502196973633,11.0,0.1902274724521484
Random Forest,random_forest,11,179372,179372.0,1.277225915025116e-05,1.5115512748791189e-05,1.3924595720962744e-05,5.017505519256071e-05,2.4976825836605294,9.0,0.2775202870733921
Random Forest,random_forest,12,179372,179372.0,1.511556139969156e-05,1.774774642038815e-05,1.640260177228e-05,7.805008585509444e-05,2.942167485097408,14.0,0.2101548203641005
Random Forest,random_forest,13,179372,179372.0,1.7747752767365367e-05,2.085499710472282e-05,1.925125907317798e-05,0.0001115001226501,3.4531368424740805,20.0,0.172656842123704
Random Forest,random_forest,14,179373,179373.0,2.085501823622262e-05,2.4881467799630888e-05,2.2764035292911603e-05,0.0001505243264036,4.083253302595433,27.0,0.1512316037998308
Random Forest,random_forest,15,179372,179372.0,2.488147669771737e-05,3.0424983052146023e-05,2.750964462717645e-05,0.0002676002943603,4.934459976065895,48.0,0.1028012495013728
Random Forest,random_forest,16,179372,179372.0,3.042501025338517e-05,3.815106048896801e-05,3.407431594541246e-05,0.0003623753986129,6.111978199760523,65.0,0.0940304338424695
Random Forest,random_forest,17,179372,179372.0,3.815112074719742e-05,4.8769175158972254e-05,4.316853758241443e-05,0.0003456503802154,7.743226923232841,62.0,0.1248907568263361
Random Forest,random_forest,18,179372,179372.0,4.876932340230492e-05,6.821442184688995e-05,5.695998197568336e-05,0.0002397252636977,10.217025886942276,43.0,0.237605253184704
Random Forest,random_forest,19,179373,179373.0,6.821447368355227e-05,0.0003297545626077,0.0001052470919425,0.0003010486528072,18.87848662300618,54.0,0.349601604129744
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,0,179372,179372.0,9.965458910519232e-11,1.4599931410689997e-06,9.967906045887691e-07,5.575006132506746e-06,0.17879632432629672,1.0,0.17879632432629672
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,1,179372,179372.0,1.4599931410689997e-06,2.1632885151762515e-06,1.818673552161078e-06,0.0,0.32621911239823687,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,2,179372,179372.0,2.1632895467106137e-06,2.833518997537729e-06,2.500463074740369e-06,5.575006132506746e-06,0.4485130626423295,1.0,0.4485130626423295
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,3,179372,179372.0,2.8335196730994685e-06,3.5193405514829097e-06,3.173298828909041e-06,0.0,0.5692009575390725,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,4,179373,179373.0,3.5193430687034717e-06,4.269345737126474e-06,3.8873230552218755e-06,0.0,0.6972807983843134,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,5,179372,179372.0,4.26934980867641e-06,5.119201975543974e-06,4.685306300067616e-06,0.0,0.8404127616557285,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,6,179372,179372.0,5.119206857572755e-06,6.098427276657693e-06,5.597090967902341e-06,0.0,1.0039614010945788,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,7,179372,179372.0,6.098440362397223e-06,7.27561878341954e-06,6.6675286723798874e-06,0.0,1.1959679530221252,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,8,179372,179372.0,7.275629191207415e-06,8.718862592674703e-06,7.973326515827196e-06,5.575006132506746e-06,1.430191523796956,1.0,1.430191523796956
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,9,179373,179373.0,8.718866750117107e-06,1.0540005220062583e-05,9.589361662437341e-06,0.0,1.7200725694763732,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,10,179372,179372.0,1.0540007732969464e-05,1.2928763986347108e-05,1.167663180469155e-05,0.0,2.0944608000711327,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,11,179372,179372.0,1.2928800975412263e-05,1.617078913273485e-05,1.4462549174356077e-05,0.0,2.5941763705025984,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,12,179372,179372.0,1.617078913273485e-05,2.0742335861134906e-05,1.8319810510561904e-05,0.0,3.2860610509005097,0.0,
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,13,179372,179372.0,2.0742533672304704e-05,2.7358404268449894e-05,2.3844568765163474e-05,1.672501839752024e-05,4.277047988544902,3.0,1.4256826628483008
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,14,179373,179373.0,2.73584075297368e-05,3.690486929716505e-05,3.183838277268965e-05,1.1149950103973284e-05,5.710946233085661,2.0,2.8554731165428304
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,15,179372,179372.0,3.6905058465008144e-05,5.095811497117097e-05,4.348760993331691e-05,1.672501839752024e-05,7.800459568958921,3.0,2.6001531896529735
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,16,179372,179372.0,5.0958136231474366e-05,7.165482103896314e-05,6.0642272398413836e-05,0.00011150012265013492,10.877525684648287,20.0,0.5438762842324143
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,17,179372,179372.0,7.165518404548273e-05,0.0001020834220222402,8.583917878048959e-05,0.00014495015944517538,15.397145176213979,26.0,0.5921978913928453
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,18,179372,179372.0,0.00010208410343531035,0.00015226571490888565,0.00012454073270258092,0.0004683005151305666,22.339120306327345,84.0,0.2659419084086589
