Model,model,model_name,model_type,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,calibration_method,test_universe,test_period,support,weighted_support,positives,observed_prevalence,mean_calibrated_predicted_probability,PR-AUC,average_precision,ROC-AUC,roc_auc,weighted_brier_score,Brier,weighted_logloss,reliability_ece,reliability_mce,reliability_rmse,daily_expected_observed_count_mae,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,calibration_intercept,calibration_slope,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,weighted_brier_score_error,weighted_logloss_error,expected_observed_count_ratio_error,mean_calibrated_predicted_probability_error,period
Logistic Regression (linear SGD),Logistic Regression (linear SGD),Logistic Regression (linear SGD),linear_sgd,full features,full features,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,0.2763732959179351,0.0003551164502724,0.0003551164502724,0.8545967843562654,0.8545967843562654,0.2759086088930572,0.2759086088930572,7.493276839325877,0.2762776846693167,0.9997435497169046,0.5135355534893908,31971.50716777486,0.0007204822204256,0.0003603758384761,0.9635854341736696,0.999999999999,954559.0,-10.142005537495775,0.0799955884654139,991473.722202626,357.0,2777.2373170941905,0.0,3.3102718535194965e-06,0.0012022017481919,6.61563304007839e-06,0.0026474714601579,0.0678651841876409,26.0948432423908,0.002609484324243,2022
Poisson Point-Process GLM,Poisson Point-Process GLM,Poisson Point-Process GLM,poisson_glm,full features,full features,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,2.095176749839921e-05,9.951374850729378e-05,9.951374850729378e-05,0.2434794584017616,0.2434794584017616,9.951473539709684e-05,9.951473539709684e-05,0.0027706187477703,0.0001204655155993,0.0004460004896005,0.0001737464600513,9.739220319772548,0.000199007693013,9.951374850729378e-05,1.0,1e-12,3587444.0,-12.61459085343173,-0.1477441728903593,75.1632943280396,357.0,0.2105414406947887,0.0,0.0,0.0003182298745213,0.0,8.547249163774304e-12,1.8588440490812682e-07,0.0018588013115106,1.858801316289815e-07,2022
CatBoost,CatBoost,CatBoost,CatBoost,all features,all features,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,1.9093786403803264e-05,0.0001945614138752,0.0001945614138752,0.7435688835844695,0.7435688835844695,9.95082543755694e-05,9.95082543755694e-05,0.0010625584520153,8.376724029142074e-05,0.0003315903425008,0.0001267247764992,9.887186291132464,0.0020338983050847,0.001156961048978,0.0084033613445378,0.000102217131093,2593.0,-0.0728144428039413,0.8387473736656303,68.4978894716056,357.0,0.1918708388560381,0.0,6.694263101055988e-05,0.0360306935708117,0.0002609612853357,4.90193463888083e-10,8.970017387195987e-06,0.0002126616687322,2.126616687322701e-08,2022
CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost deployment-weighted,CatBoost,all features,all features,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,1.9508513894127813e-05,0.0001020856996429,0.0001020856996429,0.4663520459204189,0.4663520459204189,9.951025018997562e-05,9.951025018997562e-05,0.0010987987582672,8.558497872002316e-05,0.0003374370087513,0.0001248948903503,9.82668884879336,0.0003061207669973,0.0001531891626916,0.1820728291316526,1.957214337597572e-05,424312.0,-0.0777737269168899,0.8433804808550662,69.98570111840546,357.0,0.1960383784829284,0.0,0.0001414094197712,0.3333104346862181,0.000470894627663,3.0230086584327164e-11,7.808353198531544e-07,7.429741528063967e-06,7.429741528054308e-10,2022
Weather-only CatBoost,Weather-only CatBoost,Weather-only CatBoost,CatBoost,meteorology/history features only,meteorology/history features only,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,1.924982485399986e-05,0.0001631001659611,0.0001631001659611,0.6611154924637753,0.6611154924637753,9.951014733547307e-05,9.951014733547307e-05,0.0010962237663405,8.939366715555468e-05,0.0003530320537516,0.000126890329852,9.849075356915664,0.0004200703617855,0.0002101477338569,0.392156862745098,2.051833093387501e-05,666198.0,-0.077437900934892,0.8426924051308855,69.05766867353267,357.0,0.1934388478250215,0.0,0.0002787070853114,0.2730147131831499,0.0005475592973257,1.858570789502076e-10,4.704117058447384e-06,4.289902485738066e-05,4.28990248573781e-09,2022
FWI-only CatBoost,FWI-only CatBoost,FWI-only CatBoost,CatBoost,fire-weather variables only,fire-weather variables only,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,1.951249970731248e-05,0.000307557579337,0.000307557579337,0.7530456614297363,0.7530456614297363,9.95095958390212e-05,9.95095958390212e-05,0.001083205808779,9.419460460953269e-05,0.0003429609283137,0.0001444877434692,9.826222684703437,0.002658690594882,0.0013493569470799,0.0896358543417367,2.5104544365738588e-05,23715.0,-0.0770359260184838,0.844417765050608,69.9999999999999,357.0,0.1960784313725487,0.0,4.996491124878119e-06,0.0156197830077585,1.7408361843349673e-05,2.596992726064523e-11,6.204236444793749e-07,0.0004810408337529,4.810408337529991e-08,2022
Random Forest,Random Forest,Random Forest,random_forest,full features,full features,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,1.960414070731809e-05,0.0004952894451177,0.0004952894451177,0.8186534231873184,0.8186534231873184,9.950593874931325e-05,9.950593874931325e-05,0.0010358198800592,8.268308440560143e-05,0.0003283010826675,0.0001344002248553,9.775962841515842,0.0067567567567567,0.0085106382978723,0.0056022408963585,0.000229243696103,235.0,-0.0694999039634961,0.8387300107212204,70.32875697176418,357.0,0.1969993192486391,0.0,0.0013527533311479,0.0083093356125032,0.0054714928364168,4.1241337360714455e-09,1.9456753453298336e-05,0.0007481602814166,7.481602853055094e-08,2022
Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Spatial climate TSN-MLP no tp (ERA5 global full),Neural,daily spatial neural dense full-grid,daily spatial neural dense full-grid,Global,global,Global,test_2022,primary_full_grid_calibrated,True,prior_offset_month,land_or_burnable,2022,3587444,3587444.0,357.0,9.951374850729378e-05,3.374692595994348e-05,0.001291201654417044,0.001291201654417044,0.9395800389389092,0.9395800389389092,9.948238364510811e-05,9.948238364510811e-05,0.0009067638852135707,7.945147328443837e-05,0.000990797681870437,0.00023537906752923128,8.747491569467847,0.004120004494550358,0.0020879204312504746,0.15406162464985995,0.00026681058953012635,26342.0,-0.0713687467092333,0.8797745620341018,121.06520705344346,357.0,0.33911822704045785,0.0,0.0012434256159454496,0.03082199449693352,0.005468851559996512,7.101705019865519e-09,2.6442889001608818e-05,0.002083842888725943,2.083842888725927e-07,2022
