model_name,model_type,calibration_method,raw_mean_predicted_probability,calibrated_mean_predicted_probability,raw_expected_fire_positive_grid_cells,calibrated_expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,raw_expected_observed_count_ratio,calibrated_expected_observed_count_ratio,eo_ratio_reduction_factor,raw_expected_observed_count_ratio_error,calibrated_expected_observed_count_ratio_error
Logistic Regression (linear SGD),linear_sgd,prior_offset_month,0.3044660690061844,0.2763732959179351,1092254.9724612124,991473.722202626,357.0,3059.537737986589,2777.2373170941905,1.1016479287365215,47.2558037941297,49.61705059699223
Poisson Point-Process GLM,poisson_glm,prior_offset_month,0.6776375758592516,2.095176749839921e-05,2430986.855689098,75.1632943280396,357.0,6809.486990725765,0.2105414406947887,32342.73959679573,10.589942714944412,0.0001642577283564
CatBoost,CatBoost,prior_offset_month,0.3001892938968852,1.9093786403803264e-05,1076912.2812546175,68.4978894716056,357.0,3016.561011917696,0.1918708388560381,15721.831571190662,6.01023254166206,0.0004487998967998
CatBoost deployment-weighted,CatBoost,prior_offset_month,0.4628206173586037,1.9508513894127813e-05,1660343.046819419,69.98570111840546,357.0,4650.820859438148,0.1960383784829284,23724.032485012383,0.0263530546012854,2.059020983209323e-06
Weather-only CatBoost,CatBoost,prior_offset_month,0.4815703385355825,1.924982485399986e-05,1727606.6215574443,69.05766867353267,357.0,4839.234234054466,0.1934388478250215,25016.8685787039,0.4664195320386581,2.8706460592016048e-05
FWI-only CatBoost,CatBoost,prior_offset_month,0.4506553534204209,1.951249970731248e-05,1616700.8436959684,69.9999999999999,357.0,4528.573791865458,0.1960784313725487,23095.72633851387,5.346901562949384,0.0003774358041358
Random Forest,random_forest,prior_offset_month,0.2081586000706399,1.960414070731809e-05,746757.3208718328,70.32875697176418,357.0,2091.7572013216604,0.1969993192486391,10618.093551285763,0.939292273103209,0.0003721141513043
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,prior_offset_month,0.15063990207159172,3.374692595994348e-05,540412.2128473193,121.06520705344346,357.0,1513.759699852435,0.33911822704045785,4463.811081649229,5.956240729769491,0.0023733479338979104
