region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-11-02,2021-11-29,28,1,1.0,0.0036,0.0,1.0,0.0,0.0
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-10,2021-10-07,28,269,0.9312,0.1144,1.0,0.9483,0.0447,0.0895
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-11,2021-10-08,28,231,0.9308,0.1049,0.0,0.9336,0.0572,0.0611
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-09,2021-10-06,28,281,0.9224,0.1189,2.0,0.9489,0.0404,0.1342
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-07,2021-09-03,28,1582,0.9101,0.1205,0.0,0.9074,0.0614,0.0873
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-08,2021-10-05,28,294,0.9045,0.1234,3.0,0.9517,0.0372,0.1742
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-06,2021-09-02,28,1717,0.9026,0.1249,1.0,0.9031,0.07,0.1288
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-05,2021-09-01,28,1834,0.8983,0.1283,2.0,0.892,0.0844,0.1703
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-12,2021-10-09,28,182,0.8913,0.0964,0.0,0.9003,0.0903,0.0778
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-04,2021-08-31,28,1953,0.8872,0.1333,3.0,0.8813,0.0932,0.2123
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-07,2021-09-03,28,1977,0.8777,0.1128,0.0,0.8651,0.1013,0.1143
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-03,2021-08-30,28,1988,0.8751,0.1351,4.0,0.7692,0.2137,0.289
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-08,2021-09-04,28,1345,0.8744,0.1217,0.0,0.8978,0.0668,0.0912
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-02,2021-08-29,28,2158,0.873,0.1367,5.0,0.7228,0.2627,0.3344
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-06,2021-09-02,28,2164,0.8717,0.1178,1.0,0.8668,0.1035,0.1517
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-17,2022-09-13,28,12,0.8703,0.0063,22.0,0.0,0.0,0.3926
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-05,2021-09-01,28,2310,0.8697,0.122,2.0,0.8602,0.1136,0.1902
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-10-29,2023-11-25,28,6,0.868,0.0122,0.0,0.8571,0.1429,0.0849
