Region,Lead Days,F1,F1 Error,PR-AUC,PR-AUC Error
Central Asia,7,0.4196,0.0083,0.4233,0.0282
Central Asia,14,0.2394,0.0033,0.233,0.0099
Central Asia,30,0.224,0.0017,0.2228,0.0083
Eastern Siberia,7,0.8819,0.0018,0.9515,0.0016
Eastern Siberia,14,0.6021,0.0012,0.6005,0.0031
Eastern Siberia,30,0.5685,0.001,0.6562,0.0032
Europe,7,0.3703,0.0046,0.347,0.0117
Europe,14,0.3822,0.003,0.2885,0.0049
Europe,30,0.3417,0.0014,0.2807,0.0064
Far East,7,0.7083,0.0071,0.7903,0.0084
Far East,14,0.4717,0.0118,0.4004,0.0132
Far East,30,0.433,0.0048,0.4278,0.0118
